symbol,name,consensus1_T,forecast1_T,forecast10_T,delta_f10_c1_pct,delta_f10_prev_act_pct
TX,Ternium S.A.,34.58,34.70,34.61,0.1%,0.1%
TXG,Torex Gold Resources Inc.,13.96,14.01,14.24,2.0%,2.0%
TXO,TXO Partners L.P.,13.89,13.86,13.88,-0.1%,0.2%
UAL,United Airlines Holdings Inc.,106.60,106.96,107.11,0.5%,0.5%
UBER,Uber Technologies Inc.,91.05,90.99,91.04,-0.0%,0.1%
UHS,Universal Health Services Inc.,190.23,190.80,197.20,3.7%,3.7%
UIS,Unisys Corporation,3.90,3.88,3.89,-0.1%,0.3%
UPWK,Upwork Inc.,16.20,16.25,16.82,3.8%,3.9%
UTL,Unitil Corporation,46.54,46.61,49.63,6.6%,6.8%
UTZ,Utz Brands Inc.,13.86,13.90,14.67,5.8%,5.9%
VCEL,Vericel Corporation,34.13,34.05,34.11,-0.1%,0.2%
VERA,Vera Therapeutics Inc.,24.34,24.28,33.86,39.1%,40.0%
W,Wayfair Inc.,89.58,89.93,87.50,-2.3%,-2.4%
WDAY,Workday Inc.,231.27,231.90,243.26,5.2%,5.3%
WELL,WELL Health Technologies Corp.,167.86,167.82,167.85,-0.0%,0.0%
XPO,XPO Inc.,130.94,131.33,132.78,1.4%,1.4%
ZBH,Zimmer Biomet Holdings Inc.,105.75,106.11,107.03,1.2%,1.2%
ZM,Zoom Video Communications Inc.,83.71,83.93,85.68,2.3%,2.4%
ZTS,Zoetis Inc.,153.47,153.87,162.60,6.0%,6.1%
