market_bin,above_ma200,prev_rule_ok,n_closed_total,win_rate_pct,mean_delta_w
0-2,>0,NO,143,55.2,0.14186433566433562
0-2,<0,NO,67,47.8,-0.6836194029850746
>2,>0,NO,190,18.4,-3.0352178947368422
>2,<0,NO,242,3.7,-5.789598347107438
