symbol,f10_over_c1_x,f10_T,a1_prev,f10_over_prev_a1_x,bb_percent_b,rule_4a,spy_trend_bin,stop_loss_pct,prev_rule_ok
BHVN,1.015029117926549,12.960546896081013,12.18,1.0640843100230717,0.701552737107153,True,<0,-0.2087186896502291,True
CVNA,1.004097561316088,475.68129870954425,410.03,1.160113403188899,0.7799863100252734,True,<0,-0.0009940417999242,True
DAVA,1.013433410002852,7.04735940699354,6.61,1.0661663248099154,0.7787656903765691,True,<0,-0.0640850425433134,True
FLOC,1.0076921890241306,20.943737956540375,19.81,1.05723058841698,0.8450867842011759,True,<0,-0.0993441909971425,True
NESR,1.0024757529755486,20.31766733861367,19.3,1.0527288776483767,0.8591219605407732,True,<0,-0.263714589071705,True
SLP,1.0042708691963398,20.20877065443406,18.63,1.0847434597119732,0.6793201133144473,True,<0,-0.0559301316575974,True
TXG,0.9949309885279244,22.36902152346788,21.08,1.0611490286275085,0.7780389440087092,True,<0,-0.2805572538180807,True
UPWK,1.0238248684251956,22.3993302090443,20.51,1.0921175138490635,1.0145342669212816,True,<0,-0.0730369020600129,True
