r4a_reco,market_bin,above_ma200,sent7_gt_0_2,prev_rule_ok,n_closed,wins,mean_delta,median_delta,pct_win,pct_loss
NO,0-2,<0,NO,NO,55,39,4.248937744309156,0.5408272567102088,70.9090909090909,29.090909090909093
NO,0-2,>0,NO,NO,123,62,-2.0284640277612627,0.0040421898065083894,50.40650406504065,49.59349593495935
NO,>2,<0,NO,NO,11,7,5.843223940808008,0.862275598800025,63.63636363636363,36.36363636363637
NO,>2,>0,NO,NO,32,21,0.44074550949588254,0.6108107053856244,65.625,34.375
YES,0-2,<0,NO,NO,29,15,-0.558349618886952,0.04873227409088088,51.724137931034484,48.275862068965516
YES,0-2,>0,NO,NO,84,54,2.163851133409825,0.6754730758241916,64.28571428571429,35.71428571428571
YES,>2,<0,NO,NO,1,1,4.528974119458425,4.528974119458425,100.0,0.0
YES,>2,>0,NO,NO,18,11,7.123838461558798,0.3683154870557601,61.111111111111114,38.888888888888886
