period_label,r4a_reco,n_closed,pct_win,pct_loss,avg_win,avg_loss,median_delta,mean_delta,max_dd,sparkline_points,open_pending,as_of_cet
YTD,YES,54,27.8,72.2,10.7903,-18.7415,-4.5067,-10.5382,-573.4304,-7.41|-23.68|-25.85|-73.52|-98.99|-110.27|-134.59|-136.48|-176.87|-242.23|-281.39|-337.72|-349.36|-375.42|-425.08|-485.63|-567.32|-507.37|-526.87|-569.07,0,2026-01-29 08:29
YTD,NO,851,32.2,67.8,8.1383,-8.3204,-1.1701,-3.0211,-2768.4112,-20.34|98.91|4.73|-238.21|-304.00|-310.09|-504.29|-817.22|-971.36|-1065.64|-1224.67|-1483.29|-1507.84|-1659.49|-1808.67|-1944.36|-2017.72|-2214.56|-2431.28|-2570.97,0,2026-01-29 08:29
