symbol,f10_over_c1_x,f10_over_prev_a1_x,a1_prev,a1_T,pct_change,shares,end_value_usd,pnl_usd,outcome,news_count_7d,sentiment_mean_7d,sentiment_weighted_by_rel_7d,relevance_mean_7d,pos_articles_7d,neg_articles_7d,neutral_articles_7d
NX,1.012056,1.418572,14.34,14.625,1.987448,69.735007,1019.874477,19.874477,win,7,0.11049728571428571,0.11340858585072168,0.07284571428571429,0,0,7
KRO,1.009988,1.219055,5.0,4.81,-3.8,200.0,962.0,-38.0,loss,1,0.0,0.0,0.985002,0,0,1
CHMI,1.011929,1.209276,2.41,2.42,0.414938,414.937759,1004.149378,4.149378,win,0,,,,0,0,0
ALK,1.007367,1.207027,47.78,47.3,-1.004604,20.929259,989.953956,-10.046044,loss,4,0.0461,0.061340970983584264,0.39527625,0,0,4
CAL,1.011334,1.188646,12.69,12.47,-1.733649,78.802206,982.663515,-17.336485,loss,1,0.038428,0.038428,0.092213,0,0,1
MATV,1.008043,1.147245,10.79,10.5,-2.687674,92.678406,973.123262,-26.876738,loss,0,,,,0,0,0
PFE,1.01155,1.137209,24.23,24.52,1.196863,41.271151,1011.968634,11.968634,win,35,0.15234479999999997,0.2166008388350777,0.23286900000000002,0,0,35
CG,1.005195,1.114655,56.99,57.14,0.263204,17.546938,1002.632041,2.632041,win,2,0.2072505,0.2254257844423595,0.20677299999999998,0,0,2
SNPS,1.004692,1.113241,440.2,447.64,1.690141,2.271695,1016.901408,16.901408,win,13,0.1420846923076923,0.1757729772906691,0.4533886923076923,0,0,13
DVN,1.011935,1.105317,32.03,31.72,-0.967843,31.220731,990.321574,-9.678426,loss,3,0.3509706666666667,0.3264675909305632,0.4494876666666667,0,0,3
BABA,1.0183,1.06663,165.09,167.05,1.187231,6.057302,1011.872312,11.872312,win,50,0.12169784,0.17029783253055403,0.25801196,0,0,50
WDAY,1.005275,1.063268,227.6,234.25,2.921793,4.393673,1029.217926,29.217926,win,3,0.08688966666666666,0.09459310243410901,0.10585666666666667,0,0,3
UPWK,1.003793,1.061958,16.74,16.2,-3.225806,59.737157,967.741935,-32.258065,loss,0,,,,0,0,0
HQY,1.008611,1.058465,91.04,91.46,0.461336,10.984183,1004.613357,4.613357,win,3,0.47608500000000004,0.482187241439124,0.4170036666666667,0,0,3
EFX,1.005608,1.051506,227.2,226.91,-0.127641,4.401408,998.723592,-1.276408,loss,7,0.17957385714285715,0.2194603040120076,0.1838837142857143,0,0,7
KINS,1.014586,1.036839,14.59,14.47,-0.822481,68.540096,991.775188,-8.224812,loss,0,,,,0,0,0
