symbol,f10_over_c1_x,f10_T,f10_date,a1_prev,a1_prev_date,f10_over_prev_a1_x,a1_T,a1_over_prev_pct
NX,0.9996122574810594,20.12366827510675,20251003,14.76,20251002,1.3633921595600778,14.75,-0.06775067750677266
MAX,1.0438099869773256,14.007389406517357,20251003,11.18,20251002,1.2528970846616598,11.18,0.0
CHMI,0.9996163412647752,2.8833555022936146,20251003,2.44,20251002,1.1817030747104975,2.45,0.4098360655737876
ALK,0.9997629151762956,57.2911947826225,20251003,48.98,20251002,1.1696854794328808,49.19,0.4287464271131025
ALAB,1.0002524345684265,245.0125113093443,20251003,209.6,20251002,1.168952821132368,200.74,-4.227099236641219
HLF,1.0000615840646896,9.948142489801748,20251003,8.7,20251002,1.1434646540002011,8.66,-0.45977011494251485
CAL,0.9997334524630926,14.972103776130538,20251003,13.25,20251002,1.1299700963117387,14.315,8.037735849056604
MATV,0.9997411811189854,12.28964706909414,20251003,11.29,20251002,1.0885426987683031,11.05,-2.1257750221434724
CIVI,1.0493220357582664,36.47196742908842,20251003,33.69,20251002,1.0825754653929482,33.68,-0.029682398337782523
NFLX,1.0294624497966427,1246.8700309518897,20251003,1162.53,20251002,1.0725486920353795,1162.53,0.0
UAL,1.0497651523164797,99.62919556832432,20251003,93.15,20251002,1.0695565815171693,95.33,2.340311325818556
HQY,0.999722936061892,95.6203522959953,20251003,89.68,20251002,1.0662394323817497,88.59,-1.2154326494201673
SBUX,1.032683273572926,89.60152537261312,20251003,84.4,20251002,1.0616294475428094,86.72,2.7488151658767723
AMZN,1.0437023739056823,236.03266813225187,20251003,222.41,20251002,1.0612502501337704,222.41,0.0
KRO,0.999678697440336,6.040887108934779,20251003,5.71,20251002,1.057948705592781,5.71,0.0
MANH,1.0275963839887403,210.73050054761035,20251003,199.57,20251002,1.0559227366217887,201.36,0.8969283960515106
TMUS,1.0362095342786213,246.21246765924352,20251003,233.26,20251002,1.0555280273482102,230.27,-1.2818314327359914
BA,1.0361287319968966,229.38750797606383,20251003,217.39,20251002,1.0551888678231007,217.43,0.018400110400662584
DIS,1.0420303963944149,118.31939635878796,20251003,112.16,20251002,1.054916158691048,112.49,0.29422253922966046
MA,1.0222055242894648,606.9985909747465,20251003,577.46,20251002,1.0511526183194446,577.33,-0.02251238180999149
BHVN,0.9980995094203428,16.29407390358883,20251003,15.52,20251002,1.0498758958497958,15.815,1.900773195876293
SLVM,1.048869183948233,47.02640505706259,20251003,44.81,20251002,1.0494622864776295,44.78,-0.06694934166481259
LNTH,0.9994370987379156,55.24434354216599,20251003,52.69,20251002,1.0484787159264757,52.69,0.0
IMXI,0.999911185426498,14.68395469913176,20251003,14.02,20251002,1.0473576818210957,14.02,0.0
INSW,1.0453575037908809,48.16349343661212,20251003,46.07,20251002,1.0454415766575238,46.05,-0.043412198827874615
