symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
LVO,LiveOne Inc.,4.29,4.18,4.13,7.49,-1.2%,-3.6%,78.9%,74.5%
JANX,Janux Therapeutics,23.31,24.66,24.58,38.03,-0.3%,5.5%,54.3%,63.2%
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,15.52,15.14,15.03,23.19,-0.7%,-3.1%,53.2%,49.5%
SPRY,ARS Pharmaceuticals Inc.,10.28,10.13,10.06,15.39,-0.7%,-2.1%,51.9%,49.7%
RARE,ULTRAGENYX PHARMACEUTICAL INC.,29.99,30.31,30.11,44.34,-0.6%,0.4%,46.3%,47.8%
GPCR,Structure Therapeutics Inc.,26.62,28.18,28.17,39.35,-0.1%,5.8%,39.6%,47.8%
CMPS,COMPASS Pathways plc,6.01,5.77,5.76,8.03,-0.1%,-4.1%,39.3%,33.6%
GDEV,GDEV Inc.,35.20,27.52,27.51,38.06,-0.0%,-21.8%,38.3%,8.1%
ALIT,Alight Inc.,3.19,3.28,3.26,4.45,-0.5%,2.1%,35.7%,39.3%
SNDX,Syndax Pharmaceuticals Inc.,15.44,15.47,15.40,20.94,-0.5%,-0.2%,35.3%,35.6%
RCKT,Rocket Pharmaceuticals Inc.,3.16,3.28,3.26,4.41,-0.4%,3.3%,34.6%,39.6%
PMTS,CPI Card Group Inc.,15.30,15.22,15.16,19.87,-0.4%,-0.9%,30.6%,29.9%
BTM,Bitcoin Depot Inc.,3.83,3.38,3.36,4.37,-0.4%,-12.2%,29.4%,14.1%
CLDX,Celldex Therapeutics Inc.,25.85,25.99,26.02,33.50,0.1%,0.7%,28.9%,29.6%
ACCO,ACCO Brands Corporation,4.07,4.01,3.99,5.16,-0.4%,-1.9%,28.8%,26.9%
VERA,Vera Therapeutics Inc.,,29.19,29.23,37.51,0.1%,,28.5%,
FLOC,Flowco,15.30,16.08,16.08,20.48,0.0%,5.1%,27.3%,33.8%
CRNT,Ceragon Networks Ltd.,2.34,2.34,2.34,2.94,0.2%,0.2%,25.6%,25.5%
MNMD,Mind Medicine (MindMed) Inc.,12.22,11.84,11.86,14.80,0.2%,-2.9%,25.0%,21.1%
DDI,DoubleDown Interactive Co. Ltd.,9.35,9.72,9.69,12.08,-0.2%,3.7%,24.3%,29.2%
KELYA,Kelly Services Inc.,12.96,13.17,13.13,16.35,-0.3%,1.3%,24.2%,26.2%
NX,Quanex Building Products Corporation,14.76,14.27,14.24,17.68,-0.3%,-3.5%,23.8%,19.8%
MNKD,MANNKIND CORPORATION,5.49,5.39,5.38,6.68,-0.3%,-2.1%,23.8%,21.6%
CRNX,CRINETICS PHARMACEUTICALS INC.,41.51,41.80,41.90,51.34,0.2%,0.9%,22.8%,23.7%
DAVA,Endava plc,9.33,9.13,9.11,11.20,-0.3%,-2.4%,22.7%,20.1%
PAR,PAR Technology Corporation,38.20,39.73,39.62,48.72,-0.3%,3.7%,22.6%,27.6%
KOP,Koppers Holdings Inc.,26.94,28.10,28.03,34.15,-0.2%,4.0%,21.5%,26.8%
ADV,Advantage Solutions Inc.,1.46,1.54,1.53,1.86,-0.2%,4.9%,21.0%,27.2%
PRCT,PROCEPT BioRobotics Corporation,34.73,35.81,35.73,43.20,-0.2%,2.9%,20.6%,24.4%
EVH,Evolent Health Inc.,7.89,8.49,8.47,10.22,-0.2%,7.3%,20.4%,29.5%
CBZ,CBIZ Inc.,54.85,53.13,53.02,63.51,-0.2%,-3.3%,19.5%,15.8%
BMRN,Biomarin Pharmaceutical Inc.,55.57,54.33,54.22,64.63,-0.2%,-2.4%,19.0%,16.3%
VCEL,Vericel Corporation,30.91,31.56,31.50,37.41,-0.2%,1.9%,18.5%,21.0%
