symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev
NVDA,1.0403426558762234,1.0525161432037187,190.67382450278566,181.16
PFGC,1.042261327566215,1.0498953598968912,106.14967036237519,101.105
NKE,1.0470021063482577,1.0394484989015689,71.04630489992222,68.35
PFE,1.0408160565592455,1.038782416423864,25.787773487722422,24.825
ALAB,1.0419579276025968,1.0376421105025506,163.43900882525674,157.51
AHL,1.024106760624741,1.0279743887354724,37.73693981047919,36.71
NESR,1.038862349468301,1.0209141091875515,11.832394525483723,11.59
PEP,0.9946993660560871,1.0011815735514566,153.36099343661212,153.18
MU,0.9691511017928213,0.9940846795548254,201.09338982714561,202.29
AAPL,0.9806453107394196,0.9820958697761698,258.0653317010841,262.77
AVGO,1.0122228236036286,,354.7471202044412,
PRU,1.0328287362100828,,105.22009638735892,
UTL,1.0441417673277347,,52.24328970968715,
PG,1.0279036247176954,,156.747439723179,
NFLX,1.020952200277982,,1268.9404249535721,
QCOM,1.0137603464848846,,169.93175961492673,
UNH,0.9808961491859259,,358.76949183346295,
