bin,count,mean_f10_vs_a1_pct,trend_7d
<0%,44,-9.064420691811385,
0-2%,10,1.337136866430635,
2-5%,17,3.3961139306997206,
5-10%,34,7.152667268103497,
10-20%,40,13.711666868572967,
>20%,44,31.650179204929653,
