symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
LVO,LiveOne Inc.,4.82,0.46,0.46,0.78,0.2%,-90.5%,69.8%,-83.8%
JANX,Janux Therapeutics,23.23,22.00,22.06,36.03,0.3%,-5.1%,63.8%,55.1%
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,14.99,13.95,14.00,22.30,0.3%,-6.6%,59.8%,48.7%
GDEV,GDEV Inc.,26.00,20.64,20.48,32.88,-0.7%,-21.2%,59.3%,26.5%
SPRY,ARS Pharmaceuticals Inc.,9.80,9.63,9.67,15.01,0.4%,-1.4%,55.9%,53.2%
RARE,ULTRAGENYX PHARMACEUTICAL INC.,29.08,28.06,28.19,42.65,0.5%,-3.1%,52.0%,46.7%
GPCR,Structure Therapeutics Inc.,25.00,25.18,25.04,37.09,-0.5%,0.2%,47.3%,48.4%
PACS,PACS Group Inc.,13.98,12.78,12.85,18.21,0.6%,-8.0%,42.5%,30.2%
CMPS,COMPASS Pathways plc,5.80,5.70,5.67,7.98,-0.4%,-2.2%,40.1%,37.6%
ALIT,Alight Inc.,3.25,3.09,3.11,4.31,0.7%,-4.4%,39.4%,32.3%
IMVT,Immunovant Inc.,16.23,15.77,15.88,21.83,0.7%,-2.2%,38.4%,34.5%
SNDX,Syndax Pharmaceuticals Inc.,15.03,15.12,15.23,20.67,0.7%,1.3%,36.7%,37.5%
RCKT,Rocket Pharmaceuticals Inc.,3.26,3.21,3.23,4.36,0.7%,-0.9%,36.0%,33.8%
MNMD,Mind Medicine (MindMed) Inc.,10.67,9.83,9.90,13.29,0.7%,-7.2%,35.2%,24.5%
VERA,Vera Therapeutics Inc.,28.20,27.10,27.02,35.94,-0.3%,-4.2%,32.6%,27.4%
PMTS,CPI Card Group Inc.,15.44,15.03,15.15,19.73,0.8%,-1.9%,31.3%,27.8%
CLDX,Celldex Therapeutics Inc.,26.14,25.37,25.30,33.03,-0.3%,-3.2%,30.2%,26.4%
FLOC,Flowco,16.01,15.76,15.72,20.24,-0.2%,-1.8%,28.4%,26.4%
BTM,Bitcoin Depot Inc.,3.54,3.55,3.58,4.50,0.9%,1.0%,26.8%,27.0%
NX,Quanex Building Products Corporation,13.79,13.55,13.67,17.13,0.9%,-0.9%,26.5%,24.2%
DDI,DoubleDown Interactive Co. Ltd.,9.32,9.38,9.36,11.83,-0.2%,0.4%,26.1%,26.9%
KELYA,Kelly Services Inc.,13.14,12.92,13.04,16.17,0.9%,-0.8%,25.1%,23.0%
CRNT,Ceragon Networks Ltd.,2.37,2.37,2.37,2.96,-0.2%,-0.2%,24.9%,24.9%
DAVA,Endava plc,8.89,8.83,8.92,10.98,0.9%,0.2%,24.3%,23.5%
MNKD,MANNKIND CORPORATION,5.53,5.35,5.34,6.65,-0.2%,-3.4%,24.2%,20.2%
CRNX,CRINETICS PHARMACEUTICALS INC.,45.91,36.03,35.97,44.43,-0.2%,-21.7%,23.3%,-3.2%
PAR,PAR Technology Corporation,39.89,40.04,40.42,48.96,0.9%,1.3%,22.3%,22.7%
KOP,Koppers Holdings Inc.,28.37,28.25,28.52,34.26,1.0%,0.5%,21.3%,20.8%
CBZ,CBIZ Inc.,52.60,51.36,51.86,62.19,1.0%,-1.4%,21.1%,18.2%
VCEL,Vericel Corporation,30.23,29.94,30.23,36.19,1.0%,0.0%,20.9%,19.7%
BMRN,Biomarin Pharmaceutical Inc.,53.85,52.80,53.31,63.66,1.0%,-1.0%,20.6%,18.2%
IDYA,IDEAYA Biosciences Inc.,26.83,25.78,26.03,31.05,1.0%,-3.0%,20.5%,15.7%
IMCR,Immunocore Holdings plc,34.02,34.19,34.15,41.14,-0.1%,0.4%,20.3%,20.9%
TEAD,Teads Holding Co.,1.66,1.67,1.68,2.00,1.0%,1.3%,20.2%,20.6%
CPRX,Catalyst Pharmaceuticals Inc.,19.52,19.19,19.38,22.94,1.0%,-0.7%,19.5%,17.5%
PRCT,PROCEPT BioRobotics Corporation,36.66,37.13,37.51,44.19,1.0%,2.3%,19.0%,20.6%
ADV,Advantage Solutions Inc.,1.56,1.61,1.63,1.92,1.0%,4.6%,18.7%,22.9%
MDXG,MiMedx Group Inc.,6.94,7.00,7.07,8.29,1.0%,1.9%,18.4%,19.5%
EVH,Evolent Health Inc.,8.94,8.95,9.04,10.56,1.0%,1.1%,18.1%,18.2%
CWAN,CLEARWATER ANALYTICS INC.,18.09,18.02,18.21,21.13,1.0%,0.6%,17.2%,16.8%
LNTH,lantea holdings inc,50.61,51.61,52.15,60.30,1.0%,3.0%,16.8%,19.1%
ENOV,enovix corporation,29.98,30.10,30.41,34.95,1.0%,1.4%,16.1%,16.6%
GDYN,Grid Dynamics Holdings Inc.,7.99,8.02,8.11,9.31,1.1%,1.4%,16.0%,16.5%
CRTO,Criteo S.A.,22.25,22.57,22.81,26.15,1.1%,2.5%,15.9%,17.5%
