symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,spy_trend_bin,rule_4a,stop_loss_pct
FINV,1.0274145473435283,1.0316362195621447,5.5914683100268245,5.42,,,0-1,False,-0.094080620193284
WELL,1.029837404320739,1.0303143986941525,193.55486293868353,187.86,,,0-1,False,-0.05000368132940525
CVE,1.0288755727336714,1.0293367528073298,17.200217139410483,16.71,,,0-1,False,-0.02715620374355432
TXG,1.027082570837948,1.0275143485598701,16.943711607752256,16.49,,,0-1,False,-0.08365039235159
XPO,1.026806856069868,1.0272341215112328,145.1687260519674,141.32,,,0-1,False,-0.043444563088281374
PMTS,1.0228043097465909,1.0262978616924159,15.609990476341647,15.21,,,0-1,False,-0.15327996018700596
UHS,1.0256058859748491,1.0260135246114903,233.56171874255963,227.64,,,0-1,False,-0.04688862703667018
AHL,1.0248078243612102,1.0252024458763604,37.97349859526039,37.04,,,0-1,False,-0.0020814660639064675
ZM,1.024227105717862,1.0246122678068306,90.20686405771337,88.04,,,0-1,False,-0.042335808972866706
PEP,1.024082135306063,1.0244649376065362,147.2975687290678,143.78,,,0-1,False,-0.008636380627515816
GOOGL,1.022793343865327,1.0231551967211132,320.76938572403617,313.51,,,0-1,False,-0.041770599368419314
UIS,1.0199115205843297,1.0229519611354823,2.925642608847479,2.86,,,0-1,False,-0.08295403126087786
ITGR,1.0217698944954732,1.02211514839843,80.62444290566816,78.88,,,0-1,True,-0.15238441622062127
BIIB,1.0200765360540913,1.0203943985553927,180.69144009618896,177.08,,,0-1,False,-0.043100819050965855
ASIX,1.016269274605215,1.0187433322747228,17.705759114934683,17.38,,,0-1,True,-0.1367753482410714
DAVA,1.0153658829950636,1.0177001698193924,6.737175124204378,6.62,,,0-1,False,-0.07267589418322795
PAR,1.0150900599733268,1.0173817282308273,38.38581260614911,37.73,,,0-1,True,-0.12164252053144531
PRCT,1.0150528566458248,1.0173387784733252,32.97194981032047,32.41,,,0-1,False,-0.07624154952308249
IMVT,1.0144056625143194,1.0165916951611904,26.59403874541674,26.16,,,0-1,False,-0.18869214251008803
GPCR,1.014337511424228,1.0165130339198643,69.46850073808352,68.34,,,0-1,True,-0.6198299311459046
BMRN,1.0136798768381097,1.0157540623916648,60.89445604038031,59.95,,,0-1,True,-0.18642578667953835
FLOC,1.0129273137620078,1.014885717730206,18.278091776321013,18.01,,,0-1,False,-0.055891851688991356
NESR,1.0124463407517232,1.0143308495560817,15.306252519801273,15.09,,,0-1,True,-0.0760682838702399
STZ,1.0059908536084392,1.0135279784176798,140.37071332201074,138.497127174681,,,0-1,False,-0.04490286136276256
SHOP,1.0130139722932665,1.0132185675048817,173.08812788685896,170.83,,,0-1,True,-0.1076748022641636
