symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b
DDOG,1.008479495825673,1.276537193006628,161.5713125188489,126.57,0.24,True,-0.06328609923083928,-0.03034935592200925
HQY,1.00384219800725,1.2493461785915398,105.64471286170061,84.56,0.11,False,-0.10735963821463479,-0.30671749433340223
IMCR,1.0158144434846696,1.2322185897064815,40.219614768019554,32.64,0.37,True,-0.022862736762693903,0.10952198453069506
CHA,1.0214575837666349,1.22105326437774,15.36085006587197,12.58,-0.1,False,,0.4611186416494257
UHS,1.0002015688504506,1.1831736277624894,243.6864403739623,205.96,0.12,False,0.06027276953275629,-0.04151805897422966
FSLR,0.9996792189498487,1.1471193243013451,272.8193888985889,237.83,-0.06,False,0.19698486443012753,0.030715273901119333
NRDS,1.002062020738672,1.1450214592762014,15.045581974889286,13.14,,,0.16143402630462456,0.1111789238124302
ENOV,1.0156932648678907,1.1434963352320673,30.817226234504215,26.95,0.22,True,-0.12948259934234752,0.42234080610541364
AVGO,0.9994044944873282,1.143307230614145,402.684239694608,352.21,0.25,True,0.19971973271739007,0.7576993037696793
WELL,0.9985307122951285,1.113501578248269,207.86847462738686,186.68,0.21,True,0.12074684437240157,0.4147637671103268
VCEL,1.0093896766306791,1.111914702621078,40.68495896890525,36.59,0.53,True,-0.04114004491626022,0.3781214927048267
CLS,1.0023077807426533,1.0973110324883906,345.32378192409647,314.7,0.23,True,0.5299224537875424,0.880955518325395
RCI,1.0166673430047077,1.0950265523203762,39.78231464579927,36.33,0.01,False,0.12451017413967058,0.17670986661621263
HRTG,1.0059207811123279,1.0917449813374749,29.247848050030953,26.79,-0.18,False,0.1308139412179361,0.1722311151764616
CTRA,1.0050875294897514,1.0829142188276535,26.997051475373404,24.93,0.06,False,0.011432883537134675,0.11406476558724038
MRVL,1.0002000201485761,1.078785760138861,89.4205516579102,82.89,0.27,True,0.10877320645333022,0.21475509157850559
AII,1.0048698539176626,1.0758300652254924,21.258402088855732,19.76,0.29,True,,0.052579082359648074
CVE,0.9988341621555047,1.0718794584915012,17.836074189298582,16.64,0.28,True,0.09808890296695183,0.41513204082734845
ZBH,1.0016088988760152,1.0683473351968193,97.70036380374914,91.45,0.16,False,-0.052121403088353224,0.5456213779781081
PEP,1.0089927635513474,1.0618175388036304,150.0985272852812,141.36,0.12,False,0.014633081947986515,0.31986356668967986
MD,0.9984263687330718,1.0611845875938617,24.046442754876907,22.66,0.42,True,0.3654139325246901,0.8945734508878687
KO,1.0210979338974875,1.0593919194798327,74.6871303233282,70.5,0.15,False,0.021376467775934493,0.685434840074016
DDI,1.026527256983744,1.0561323654680395,9.59496254027714,9.085,0.24,True,-0.036186758044153944,0.8781084386465569
BABA,1.0031090857156892,1.054203144775056,175.32452500753956,166.31,0.17,False,0.20850597531395287,1.3251635792917469
KOP,1.0204742715883455,1.0497853465178264,30.370290074760717,28.93,0.07,False,-0.0011773195093235378,0.9448634681192816
