symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2,ma20_T,f10_over_ma20_x,spy_trend_value,spy_trend_bin,rule_4a
WELL,0.9987717089029672,0.9985886188434718,205.9589026364661,206.25,208.22,0.9891408252639808,0.2,False,193.95047137643385,1.061914937225006,-0.005414264391699453,<0%,False
IBM,0.9985807367948956,0.9983692267586952,302.715533245504,303.21,308.58,0.980995311573997,0.29,True,303.04410787941185,0.9989157531020579,-0.005414264391699453,<0%,False
MD,0.9980563567638212,0.997766874151931,24.395400073014713,24.45,24.09,1.0126774625576884,0.44,True,22.5175,1.0833973608533236,-0.005414264391699453,<0%,False
MU,0.997989471007836,0.9976900496119072,229.7281108236377,230.26,236.48,0.9714483712095642,0.26,True,231.59202514559303,0.9919517335677532,-0.005414264391699453,<0%,False
TXG,0.9965961793893674,0.9960900726443496,18.676688862081555,18.75,18.81,0.9929127518384666,,,16.1755,1.1546282255313007,-0.005414264391699453,<0%,False
TX,0.9957857791541864,0.9957206707184008,36.40354772146474,36.56,36.83,0.9884210622173428,-0.28,False,35.73930288985824,1.0185858362613724,-0.005414264391699453,<0%,False
ASML,0.9930704656970896,0.9929637029180228,1033.6454258265742,1040.97,1060.0,0.9751371941760134,0.43,True,1023.7245,1.009691011425998,-0.005414264391699453,<0%,False
CVE,0.9929804728913746,0.9928723335519242,17.434838177171788,17.56,17.86,0.9761947467621382,0.16,False,17.50978941409029,0.9957194666854081,-0.005414264391699453,<0%,False
HLF,0.9919673582508672,0.9907793698427052,13.216996793701686,13.34,12.73,1.0382558361116798,0.13,False,9.756499999999999,1.354686290544938,-0.005414264391699453,<0%,False
ERIE,0.983701863871288,0.9813144759287636,288.7419713972794,294.24,295.49,0.9771632589843292,,,286.9347020881793,1.0062985386429304,-0.005414264391699453,<0%,False
TSLA,0.9792991258592556,0.978984679169041,417.6152844399295,426.58,430.17,0.9708145255130052,-0.0,False,426.1445,0.9799851563024502,-0.005414264391699453,<0%,False
