symbol,actual1_T
AAPL,255.41
ACCO,3.96
ADV,0.99
AENT,7.32
AHCO,10.23
AHL,37.34
AII,18.3
ALAB,163.25
ALIT,1.53
ALK,49.81
AMTM,34.89
AMZN,238.42
ARCO,7.78
ARDT,8.46
ASIX,16.78
ASML,1413.35
ATR,126.35
AVGO,324.85
AVNW,21.39
AXON,605.07
BA,248.43
BABA,171.37
BHVN,12.74
BIIB,173.12
BILL,49.35
BMRN,56.78
BRZE,25.12
BTM,1.1
BWMX,18.22
CAL,12.68
CBZ,38.41
CCJ,121.26
CDE,25.45
CG,61.21
CHA,12.19
CHE,448.03
CHMI,2.7
CIVI,27.78
CLDX,26.57
CLS,308.25
CMPS,6.9
CON,22.18
COP,98.45
COUR,6.34
CPRX,23.99
CRM,229.4
CRNT,2.25
CRNX,52.52
CRTO,20.69
CSTM,22.59
CTRA,27.39
CVE,18.92
CVNA,473.71
CVS,83.87
CVX,167.5
CWAN,24.13
CWT,44.51
DAR,42.4
DAVA,6.94
DBRG,15.41
DDI,8.975
DDL,2.76
DDOG,136.64
DHR,236.71
DIS,111.31
DOX,83.43
DUOL,151.56
DVN,38.63
DXCM,73.34
EEFT,74.03
EFX,214.49
ENOV,22.72
ERIE,280.55
EVH,3.71
FANG,153.52
FINV,5.19
FLOC,20.76
FSLR,242.97
GDEV,23.0
GDYN,8.65
GE,295.06
GOOGL,333.26
GPCR,89.57
HAL,34.16
HBM,25.43
HLF,16.85
HQY,85.33
HRTG,25.89
HTO,52.72
IBM,296.33
IDYA,34.47
IMCR,35.06
IMVT,26.6
IMXI,15.47
INSW,57.07
ITGR,86.24
JANX,14.64
KELYA,10.11
KINS,15.31
KNF,72.88
KO,72.56
KOP,29.13
KRO,5.52
LFST,7.31
LKQ,33.77
LNTH,67.81
LVO,4.38
LW,43.72
MA,527.36
MANH,177.27
MATV,12.68
MAX,10.94
MD,21.33
MDB,411.25
MDLZ,58.53
MDXG,5.25
META,672.36
MNKD,5.58
MPAA,12.81
MRVL,81.77
MSFT,470.28
MTDR,42.55
MU,389.09
NESR,20.26
NRDS,12.98
NVDA,186.47
NX,18.56
PACS,35.03
PAR,31.58
PEP,145.87
PFE,25.88
PFGC,93.74
PG,149.49
PMTS,13.72
PRCT,29.61
PRU,108.98
QCOM,154.52
QUAD,6.11
RARE,24.31
RCI,36.49
RCKT,3.63
SBUX,96.33
SHOP,136.31
SLB,49.7
SLGN,43.25
SLP,20.11
SLVM,50.32
SMCI,30.8
SMP,39.4
SNDX,21.4
SNPS,503.01
SPB,64.53
SPGI,535.23
SPNT,19.5
SPRY,10.48
SSTK,19.19
STZ,161.55
TBLA,4.14
TCOM,63.97
TEAD,0.6787
TNC,76.43
TRVG,2.835
TSLA,435.2
TWLO,133.97
TX,42.4
TXG,22.5
TXO,11.45
UAL,107.76
UBER,81.98
UHS,206.1
UIS,2.85
UPWK,21.87
UTL,49.52
UTZ,10.28
VCEL,37.7
VERA,47.22
W,110.13
WDAY,190.85
WELL,183.63
WMT,117.64
XOM,134.84
XPO,148.79
ZBH,87.32
ZM,95.46
ZTS,123.92
