symbol,actual1_T
AAPL,266.25
ACCO,3.27
ADV,0.9583
AENT,6.53
AHCO,9.11
AHL,36.99
AII,19.27
ALAB,139.29
ALIT,1.96
ALK,37.82
AMRK,25.86
AMTM,24.38
AMZN,217.14
ARCO,7.18
ARDT,8.64
ASIX,14.38
ASML,981.04
ATR,118.58
AVGO,346.82
AVNW,20.72
AXON,519.61
BA,179.38
BABA,153.28
BHVN,9.63
BIIB,168.18
BILL,47.04
BMRN,52.48
BRZE,27.0
BTM,1.55
BWMX,13.56
CAL,9.63
CBZ,50.0
CCJ,81.98
CDE,13.86
CG,50.78
CHA,13.07
CHE,429.33
CHMI,2.18
CIVI,27.55
CLDX,25.07
CLS,282.28
CMPS,5.2
CON,19.46
COP,87.47
COUR,7.9
CPRX,22.77
CRM,225.37
CRNT,1.89
CRNX,41.97
CRTO,19.78
CSTM,15.14
CTRA,25.4
CVE,18.06
CVNA,313.25
CVS,76.04
CVX,150.31
CWAN,20.75
CWT,44.38
DAR,32.13
DAVA,6.11
DBRG,9.2
DDI,8.74
DDL,1.72
DDOG,159.57
DHR,222.18
DIS,102.7
DOX,74.98
DUOL,168.01
DVN,35.16
DXCM,58.42
EEFT,70.93
EFX,206.65
ENOV,26.83
ERIE,293.06
EVH,3.69
FANG,146.25
FI,59.77
FINV,4.77
FLOC,16.02
FSLR,245.84
GDEV,21.9
GDYN,8.11
GE,290.62
GOOGL,289.45
GPCR,34.34
HAL,25.62
HBM,14.58
HLF,9.64
HQY,100.73
HRTG,26.23
HTO,44.46
IBM,290.4
IDYA,33.16
IMCR,39.01
IMVT,22.79
IMXI,15.09
INSW,53.01
ITGR,68.13
JANX,28.59
KELYA,8.08
KINS,14.31
KNF,69.11
KO,71.21
KOP,27.29
KRO,4.33
LFST,6.18
LKQ,28.76
LNTH,53.59
LVO,4.33
LW,55.59
MA,527.88
MANH,168.67
MATV,11.62
MAX,11.54
MD,22.74
MDB,329.09
MDLZ,55.75
MDXG,6.55
META,589.15
MNKD,4.97
MNMD,10.88
MPAA,12.6
MRVL,76.68
MSFT,478.43
MTDR,40.46
MU,201.37
NESR,13.39
NRDS,13.3
NVDA,180.64
NX,11.25
PACS,26.14
PAR,32.09
PEP,146.1
PFE,24.4
PFGC,94.3
PG,148.19
PMTS,11.9
PRCT,27.89
PRU,104.12
QCOM,159.59
QUAD,5.3
RARE,31.18
RCI,37.78
RCKT,2.84
SBUX,82.62
SHOP,144.56
SLB,35.19
SLGN,38.47
SLP,16.68
SLVM,44.73
SMCI,31.56
SMP,36.03
SNDX,17.05
SNPS,385.6
SPB,54.32
SPGI,490.91
SPNT,19.75
SPRY,6.73
SSTK,19.72
STZ,130.45
TBLA,3.93
TCOM,69.81
TEAD,0.63
TNC,69.24
TRVG,2.8
TSLA,395.23
TWLO,118.88
TX,35.26
TXG,16.46
TXO,12.89
UAL,90.05
UBER,83.36
UHS,225.38
UIS,2.39
UPWK,17.16
UTL,49.01
UTZ,9.54
VCEL,37.85
VERA,27.87
W,97.51
WDAY,216.81
WELL,197.58
WMT,107.11
XOM,117.02
XPO,125.64
ZBH,89.07
ZM,78.42
ZTS,115.89
