symbol,actual1_T
AAPL,268.56
ACCO,3.31
ADV,1.03
AENT,6.72
AHCO,9.1
AHL,36.82
AII,20.76
ALAB,142.01
ALIT,2.01
ALK,38.62
AMRK,25.72
AMTM,25.52
AMZN,222.69
ARCO,7.25
ARDT,8.63
ASIX,14.37
ASML,1039.33
ATR,118.0
AVGO,354.42
AVNW,21.91
AXON,531.09
BA,185.7
BABA,158.89
BHVN,9.46
BIIB,167.93
BILL,48.52
BMRN,52.56
BRZE,27.22
BTM,1.67
BWMX,13.86
CAL,9.71
CBZ,50.42
CCJ,86.24
CDE,14.7
CG,51.97
CHA,14.22
CHE,429.8
CHMI,2.26
CIVI,28.42
CLDX,24.92
CLS,312.48
CMPS,5.25
CON,19.23
COP,87.98
COUR,8.1
CPRX,22.51
CRM,227.88
CRNT,1.97
CRNX,42.9
CRTO,19.88
CSTM,14.89
CTRA,25.76
CVE,18.25
CVNA,329.75
CVS,76.55
CVX,151.7
CWAN,20.69
CWT,44.13
DAR,34.09
DAVA,6.13
DBRG,9.26
DDI,9.225
DDL,1.73
DDOG,176.31
DHR,222.41
DIS,104.67
DOX,75.39
DUOL,174.48
DVN,35.28
DXCM,59.73
EEFT,69.64
EFX,206.26
ENOV,27.17
ERIE,285.06
EVH,3.54
FANG,148.69
FI,61.17
FINV,5.54
FLOC,16.57
FSLR,251.87
GDEV,20.25
GDYN,8.13
GE,300.82
GOOGL,292.81
GPCR,36.51
HAL,26.46
HBM,15.48
HLF,9.22
HQY,103.55
HRTG,28.34
HTO,44.44
IBM,288.53
IDYA,33.13
IMCR,38.65
IMVT,23.16
IMXI,15.07
INSW,53.76
ITGR,67.66
JANX,28.81
KELYA,8.32
KINS,14.29
KNF,69.3
KO,71.11
KOP,27.74
KRO,4.38
LFST,6.18
LKQ,29.6
LNTH,52.79
LVO,4.58
LW,56.05
MA,530.36
MANH,171.5
MATV,11.99
MAX,11.59
MD,22.93
MDB,337.19
MDLZ,56.08
MDXG,6.48
META,590.32
MNKD,5.0
MNMD,10.93
MPAA,12.53
MRVL,81.32
MSFT,487.12
MTDR,41.03
MU,225.92
NESR,13.97
NRDS,13.66
NVDA,186.52
NX,11.35
PACS,16.83
PAR,33.96
PEP,147.11
PFE,24.88
PFGC,93.87
PG,146.99
PMTS,11.9
PRCT,27.93
PRU,103.56
QCOM,166.11
QUAD,5.18
RARE,31.86
RCI,38.32
RCKT,2.88
SBUX,83.68
SHOP,146.0
SLB,35.86
SLGN,38.03
SLP,16.32
SLVM,44.54
SMCI,33.73
SMP,36.64
SNDX,16.71
SNPS,386.3
SPB,54.66
SPGI,490.8
SPNT,19.85
SPRY,7.09
SSTK,20.14
STZ,129.27
TBLA,3.93
TCOM,72.45
TEAD,0.6927
TNC,68.97
TRVG,2.85
TSLA,403.99
TWLO,120.15
TX,35.74
TXG,15.65
TXO,13.1
UAL,91.33
UBER,89.53
UHS,227.94
UIS,2.47
UPWK,18.16
UTL,48.0
UTZ,9.57
VCEL,38.95
VERA,28.55
W,97.94
WDAY,223.86
WELL,196.9
WMT,100.61
XOM,117.35
XPO,126.72
ZBH,89.45
ZM,80.71
ZTS,117.08
