bin,count,mean_f10_vs_a1_pct,trend_7d
<0%,79,-10.107220647078721,
0-2%,10,0.9190617805461754,
2-5%,19,3.797427468877595,
5-10%,24,7.585591577033017,
10-20%,28,14.156570410726577,
>20%,31,119.26512665714411,
