symbol,actual1_T
AAPL,271.01
ACCO,3.69
ADV,0.8162
AENT,8.01
AHCO,9.67
AHL,37.18
AII,20.18
ALAB,179.56
ALIT,1.88
ALK,51.52
AMTM,30.48
AMZN,226.5
ARCO,7.29
ARDT,8.64
ASIX,17.22
ASML,1163.78
ATR,122.54
AVGO,347.62
AVNW,21.6
AXON,563.45
BA,227.77
BHVN,10.84
BIIB,177.82
BILL,50.56
BMRN,59.45
BRZE,32.55
BTM,1.32
BWMX,15.83
CAL,12.25
CBZ,50.8
CCJ,98.56
CDE,17.55
CG,60.86
CHA,12.31
CHE,423.79
CHMI,2.52
CIVI,27.79
CLDX,27.01
CLS,302.4
CMPS,6.55
CON,19.41
COP,96.7
COUR,7.08
CPRX,23.15
CRM,253.62
CRNT,2.19
CRNX,46.73
CRTO,20.04
CSTM,19.77
CTRA,26.6
CVE,17.53
CVNA,400.25
CVS,79.4906521087048
CWAN,24.11
CWT,42.95
DAR,37.64
DAVA,6.09
DBRG,15.38
DDI,8.77
DDL,2.66
DDOG,133.77
DHR,230.4
DIS,111.85
DOX,80.16
DUOL,176.48
DVN,37.87
DXCM,66.54
EEFT,74.1
EFX,214.03
ENOV,26.51
ERIE,276.394194914147
EVH,3.89
FANG,152.34
FINV,5.22
FLOC,19.02
FSLR,274.34
GDEV,14.83
GDYN,8.83
GE,320.75
GOOGL,315.15
GPCR,68.12
HAL,29.6
HBM,20.1
HLF,12.82
HQY,91.07
HRTG,27.28
HTO,49.25
IBM,291.5
IDYA,33.85
IMCR,33.78
IMVT,25.91
IMXI,15.34
INSW,46.99
ITGR,76.78
JANX,13.65
KELYA,8.64
KINS,16.26
KNF,72.74
KO,69.12
KOP,26.67
KRO,4.48
LFST,6.96
LKQ,30.03
LNTH,67.27
LVO,4.54
LW,42.29
MA,562.280044065856
MANH,167.28
MATV,11.82
MAX,11.95
MD,21.29
MDB,399.65
MDLZ,53.65
MDXG,6.48
META,650.41
MNKD,5.6
MPAA,12.36
MRVL,89.3255979827089
MSFT,472.94
MTDR,43.36
MU,315.42
NESR,15.79
NRDS,12.93
NVDA,188.85
NX,15.37
PACS,39.51
PAR,35.73
PEP,142.23
PFE,24.7648389570552
PFGC,88.05
PG,140.799014991389
PMTS,14.22
PRCT,30.76
PRU,113.87
QUAD,5.81
RARE,23.6
RCI,37.93
RCKT,3.46
SBUX,83.97
SHOP,157.2
SLB,40.2
SLGN,41.25
SLP,18.11
SLVM,47.33558081852
SMCI,30.96
SMP,37.06
SNDX,21.3
SNPS,480.42
SPB,60.04
SPGI,512.66
SPNT,21.07
SPRY,11.49
SSTK,18.69
STZ,140.245602490852
TBLA,4.43
TCOM,74.49
TEAD,0.6598
TNC,73.96
TRVG,2.81
TSLA,438.07
TWLO,138.36
TX,39.13
TXG,16.62
TXO,10.99
UAL,113.01
UBER,82.86
UHS,219.88
UIS,2.6
UPWK,19.84
UTL,48.99
UTZ,10.29
VCEL,35.61
VERA,48.62
W,106.56
WDAY,205.79
WELL,186.94
WMT,112.76
XPO,138.79
ZBH,90.02
ZM,83.32
ZTS,125.380793407126
