symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev
HTO,1.0469140255490765,1.0530974583821329,53.370979190806494,50.68
PFGC,1.049950184916142,1.051105247576599,105.38381212202981,100.26
BILL,1.0489498723583985,1.050103834563138,53.77581736797829,51.21
BTM,1.0497649998451573,1.0497649998451573,3.00232789955715,2.86
AMZN,1.0484248428960168,1.0495782275096128,235.32593438993032,224.21
MSFT,1.0473622034575258,1.0485144190488631,549.0126349581752,523.61
CG,1.0460239348032059,1.0471746781493123,61.23877517817178,58.48
TBLA,1.045929906876576,1.0470805467814444,3.7694899684132,3.6
EFX,1.0450788887346316,1.046228592424341,244.60824490881097,233.8
UTL,1.039630476053897,1.0457708897488096,52.48724095649275,50.19
META,1.0442278177836186,1.0453765852000736,771.8642554483263,738.36
NVDA,1.0439997170175446,1.0451482334976392,194.66930997127028,186.26
MANH,1.043575542227443,1.0447235920678166,203.56439191441405,194.85
TWLO,1.0374242463542511,1.0435516293008604,117.46217139410486,112.56
WDAY,1.0411552699816091,1.0423006572517584,253.01848454786432,242.75
INSW,1.0406125508863813,1.0417573411048122,50.28562685512929,48.27
UBER,1.0389665926540756,1.0401095721343192,97.84310745067539,94.07
BIIB,1.0329538128469462,1.0390547918820092,155.74392275519435,149.89
TCOM,1.0371893182657943,1.0383303425453885,75.58006563387883,72.79
BA,1.0360854893683367,1.0372252993126592,229.5898200028571,221.35
ALAB,1.0356099754233568,1.0367492622491445,171.03252579324138,164.97
PRU,1.0343081254692175,1.0354459801144187,105.8018702480913,102.18
MA,1.0325588402995567,1.03369477053538,592.9996790130315,573.67
XPO,1.0315190445499194,1.0326538308940973,129.8768723115506,125.77
MNMD,1.0310457735894083,1.0310457735894083,12.764346677036874,12.38
HLF,1.0298198718547187,1.0309527889188468,8.598146259583181,8.34
SMP,1.0296367359035499,1.0307694514976442,42.71508607006238,41.44
CWT,1.0237732131091435,1.0298199683775358,51.058474032158216,49.58
KO,1.0230589487893929,1.0291014853680567,71.73866454500723,69.71
ITGR,1.0277543745884898,1.0277543745884898,74.93357145124679,72.91
PG,1.0264868151873299,1.0276160655162576,156.70117383057413,152.49
AHL,1.0263298936370921,1.02745897133476,37.75911719655243,36.75
ZM,1.0251394334281394,1.0262672014864016,86.49379974127393,84.28
DHR,1.0191660389867407,1.0251855827066763,228.62663679941588,223.01
CBZ,1.024008583039973,1.024008583039973,54.56941739020016,53.29
SSTK,1.0173031859751545,1.023311727047123,25.29626589260488,24.72
TXG,1.0146477845656177,1.02064064192731,14.054221639339058,13.77
CHMI,1.0198182561998657,1.0198182561998657,2.4781583625656736,2.43
ZBH,1.0134511623059606,1.0194369520067101,105.03258916525134,103.03
GDYN,1.0175773025896324,1.0175773025896324,8.150794193742955,8.01
DDOG,1.0108609358889253,1.0168314268252288,159.10361335534355,156.47
UHS,1.0128142167351957,1.0167210167316258,214.20278380501895,210.68
MPAA,1.0155266664793985,1.0166438594186449,17.20161410136347,16.92
