bin,count,mean_f10_vs_a1_pct,trend_7d
<0%,20,-3.559679084197177,
0-2%,15,1.1069863469993813,
2-5%,22,3.726263470436616,
5-10%,38,7.303576620590974,
10-20%,49,14.030608693621861,
>20%,39,33.69437587427891,
