symbol,f10_over_c1_x,f10_T,f10_date,a1_prev,a1_prev_date,f10_over_prev_a1_x,a1_T,a1_over_prev_pct
MTDR,0.9996893089559413,49.05622803606292,20251001,45.63,20250930,1.075087180277513,,
WSR,1.0479835030199558,13.109939604133267,20251001,12.27,20250930,1.068454735463184,,
INSW,1.038060162906702,49.04730877287662,20251001,46.08,20250930,1.0643947216336072,,
HLF,1.0128078552627104,8.98546181806638,20251001,8.45,20250930,1.0633682624930627,,
XOM,1.016137859174558,119.14269027475754,20251001,112.73,20250930,1.0568853923069061,,
BA,1.0361287319968966,229.38750797606386,20251001,217.08,20250930,1.056695724968048,,
DVN,0.9997696888918964,37.01585534356598,20251001,35.06,20250930,1.055785948190701,,
MDLZ,1.0419213525009832,66.06080252694402,20251001,62.63,20250930,1.0547789003184418,,
SNPS,1.0377622786032468,506.4874048824622,20251001,481.61,20250930,1.0516546684712988,,
IMXI,1.0311009011453136,14.65929707464961,20251001,13.97,20250930,1.0493412365533006,,
CAL,0.9996133345098406,13.666028515420392,20251001,13.03,20250930,1.0488126258956556,,
ZM,1.0227615490215876,86.46532078855891,20251001,82.5,20250930,1.0480644944067747,,
MPAA,1.0206648528771856,16.95889549372232,20251001,16.24,20250930,1.0442669638991577,,
COP,0.99982203668731,98.5331787193854,20251001,94.57,20250930,1.0419073566605204,,
META,1.0406423637449516,774.4854339613657,20251001,743.4,20250930,1.0418152192108767,,
KO,1.046720626164321,68.78997912731543,20251001,66.04,20250930,1.0416411133754608,,
UPWK,1.0096728988692234,19.33825296423866,20251001,18.57,20250930,1.041370649662825,,
CVX,1.0144328667792686,162.50939699369854,20251001,156.1,20250930,1.0410595579352886,,
AVGO,1.0260917657133846,343.40298971444895,20251001,329.91,20250930,1.0408990018927857,,
SMP,1.0312822056322097,42.42773059157791,20251001,40.8,20250930,1.0398953576367136,,
FANG,0.9997835114583464,148.34739944604055,20251001,143.1,20250930,1.0366694580436098,,
HAL,1.0151460653266633,25.496546086570056,20251001,24.6,20250930,1.0364449628687014,,
NFLX,1.0295134127369892,1246.9327819399693,20251001,1206.41,20250930,1.0335895607131649,,
NKE,1.036544946291766,71.8853005507849,20251001,69.55,20250930,1.033577290449819,,
TCOM,1.023190108780455,77.7096581800289,20251001,75.2,20250930,1.0333731140961289,,
WDAY,1.0354899720539121,255.57060014920395,20251001,247.69,20250930,1.0318163839848358,,
MA,1.035756229416248,585.6746734972461,20251001,568.14,20250930,1.0308632968938045,,
BHVN,0.9978710080680018,15.097669084617703,20251001,14.66,20250930,1.0298546442440453,,
RCI,1.0276267579645404,36.66150576974968,20251001,35.61,20250930,1.029528384435543,,
MNKD,0.9991027298273866,5.545099760321265,20251001,5.39,20250930,1.028775465736784,,
MDB,1.0234123125190553,325.98780932048703,20251001,317.0,20250930,1.02835271079018,,
UBER,1.0205175625040492,100.50321232996302,20251001,97.93,20250930,1.0262760372711428,,
AHL,1.0267461370020747,37.64648569070332,20251001,36.7,20250930,1.0257898008366026,,
WMT,1.0231225497080199,105.58469817939397,20251001,103.04,20250930,1.0246962168031246,,
SNDX,0.9986325877790166,15.745372375041665,20251001,15.38,20250930,1.0237563312770912,,
ALK,0.9996029192214706,50.9413577562261,20251001,49.78,20250930,1.0233298062721192,,
BILL,0.9999095775608079,54.19486008158601,20251001,52.97,20250930,1.0231236564392299,,
UIS,0.9993142180467052,3.9882988762083142,20251001,3.9,20250930,1.0226407374893114,,
HRTG,0.999736368701134,24.879893335026427,20251001,24.36,20250930,1.0213420909288353,,
CG,0.9999368617510453,64.00225357534008,20251001,62.7,20250930,1.0207695945030315,,
CSTM,0.9997907013366603,15.339736948619862,20251001,15.03,20250930,1.0206079140798312,,
CCJ,0.9999810665253531,85.5849134140728,20251001,83.87,20250930,1.020447280482566,,
HQY,0.9997358860938907,96.60738627164649,20251001,94.77,20250930,1.0193878471208873,,
MANH,0.9999237550640749,211.6089244218346,20251001,207.67,20250930,1.018967228881565,,
SBUX,1.0446381828982203,87.17513960095872,20251001,85.64,20250930,1.0179254974423018,,
DUOL,0.9996097908353461,326.7767815590229,20251001,321.84,20250930,1.0153392417319878,,
