symbol,f10_over_c1_x,f10_T,f10_date,a1_prev,a1_prev_date,f10_over_prev_a1_x
HRTG,1.0271031326997535,29.18,20250923,27.15,20250922,1.0747697974217312
BIIB,1.0476824907089264,149.41,20250923,140.66,20250922,1.0622067396559078
PFGC,1.0323955669224212,108.99,20250923,103.31,20250922,1.054980156809602
MSFT,1.046631424602562,542.49,20250923,514.45,20250922,1.0545048109631645
AMZN,1.0354475195371529,239.82,20250923,227.63,20250922,1.0535518165443922
SMP,1.0424886191198786,41.22,20250923,39.38,20250922,1.0467242254951752
META,1.0278530427747743,800.42,20250923,765.16,20250922,1.0460818652308015
MDLZ,1.0412549019607842,66.38,20250923,63.5,20250922,1.0453543307086612
INSW,1.0356842989084802,49.34,20250923,47.23,20250922,1.0446749947067544
DDOG,1.0386581239651573,144.28,20250923,138.35,20250922,1.0428623057462956
LW,1.0362722212246365,57.71,20250923,55.37,20250922,1.0422611522485101
HAL,1.0452729693741678,23.55,20250923,22.64,20250922,1.0401943462897527
AXON,1.0363751322614776,803.17,20250923,775.92,20250922,1.0351195999587586
AVGO,1.016375387647451,350.68,20250923,338.79,20250922,1.035095486879778
UAL,1.012320135427443,107.64,20250923,104.18,20250922,1.0332117488961412
ZM,1.0238745694262976,86.2,20250923,83.53,20250922,1.0319645636298336
RCI,1.0220401243289066,36.17,20250923,35.06,20250922,1.031660011409013
AHL,1.026724843196073,37.65,20250923,36.65,20250922,1.0272851296043657
KELYA,0.9992912827781715,14.1,20250923,13.73,20250922,1.0269482884195194
TX,0.9963057686842854,35.06,20250923,34.15,20250922,1.0266471449487555
W,0.9800627240143369,87.5,20250923,85.27,20250922,1.0261522223525272
EFX,1.0224706019327046,263.46,20250923,257.05,20250922,1.0249367827270959
TCOM,1.0148968678380441,79.71,20250923,77.82,20250922,1.0242868157286045
IMXI,1.0270645385149202,14.8,20250923,14.45,20250922,1.0242214532871974
MRVL,1.0387565603552684,77.19,20250923,75.53,20250922,1.021978021978022
CVS,1.0242828552368244,76.77,20250923,75.14,20250922,1.0216928400319403
MANH,1.011572904707233,220.27,20250923,215.8,20250922,1.020713623725672
UPWK,0.9835493519441676,19.73,20250923,19.33,20250922,1.0206932229694776
CVNA,1.0161228602770478,398.31,20250923,390.85,20250922,1.0190866061148778
MDB,1.0192254195901462,329.75,20250923,323.59,20250922,1.019036434994901
DHR,0.9997415887125949,193.44,20250923,190.43,20250922,1.0158063330357612
ATR,0.9997028452566673,134.57,20250923,132.71,20250922,1.0140155225680054
LKQ,0.9996745850959974,30.72,20250923,30.32,20250922,1.013192612137203
UBER,1.0203978079967524,100.55,20250923,99.37,20250922,1.0118748113112608
BILL,1.031124689707848,54.0,20250923,53.41,20250922,1.0110466204830557
DAVA,0.9989200863930886,9.25,20250923,9.15,20250922,1.010928961748634
PAR,0.9992932862190812,42.42,20250923,41.97,20250922,1.01072194424589
NVDA,1.0492619195746848,185.52,20250923,183.61,20250922,1.0104024835248624
SPNT,0.9994356659142213,17.71,20250923,17.53,20250922,1.0102681118083285
ZTS,0.9996576749281116,146.01,20250923,144.62,20250922,1.0096113953809984
UHS,1.0380906971816062,195.95,20250923,194.1,20250922,1.0095311695002576
DVN,0.9997059688326964,34.0,20250923,33.71,20250922,1.0086027884900624
LNTH,0.999406528189911,50.52,20250923,50.11,20250922,1.008181999600878
PRU,0.9999035121574681,103.63,20250923,102.85,20250922,1.007583859990277
SPRY,0.9979757085020241,9.86,20250923,9.79,20250922,1.007150153217569
SLGN,0.999533473291346,42.85,20250923,42.55,20250922,1.0070505287896594
FANG,0.999713938353715,139.79,20250923,138.83,20250922,1.0069149319311386
HLF,1.0054764512595837,9.18,20250923,9.12,20250922,1.006578947368421
ALIT,0.9970238095238095,3.35,20250923,3.33,20250922,1.006006006006006
AHCO,0.9988776655443322,8.9,20250923,8.85,20250922,1.0056497175141244
PEP,0.9999294831112052,141.8,20250923,141.03,20250922,1.00545983124158
MPAA,1.0211225105612554,16.92,20250923,16.83,20250922,1.005347593582888
CG,0.9997066158134077,68.15,20250923,67.79,20250922,1.005310517775483
CCJ,1.0059171597633136,86.7,20250923,86.27,20250922,1.0049843514547352
HTO,0.9997949138638228,48.75,20250923,48.51,20250922,1.0049474335188622
JANX,0.9978876214617659,23.62,20250923,23.51,20250922,1.004678860059549
SPGI,0.9997636026949293,507.5,20250923,505.69,20250922,1.0035792679309459
CBZ,0.9992584352984798,53.9,20250923,53.78,20250922,1.0022313127556712
EEFT,0.9996642793196061,89.33,20250923,89.19,20250922,1.0015696826998544
TXG,1.0,13.05,20250923,13.04,20250922,1.0007668711656443
KNF,0.9996039603960396,75.72,20250923,75.67,20250922,1.0006607638430025
XPO,1.0,130.97,20250923,130.94,20250922,1.000229112570643
FINV,1.0,7.67,20250923,7.67,20250922,1.0
COP,0.9996739839165398,91.99,20250923,92.01,20250922,0.9997826323225735
MA,0.9998973323522871,584.35,20250923,584.54,20250922,0.9996749580867007
PFE,0.9995841995841995,24.04,20250923,24.05,20250922,0.9995841995841995
SMCI,1.0216015710233473,46.82,20250923,46.87,20250922,0.9989332195434181
VCEL,0.9993704752911552,31.75,20250923,31.81,20250922,0.9981138006916065
ITGR,0.9996133771505896,103.42,20250923,103.64,20250922,0.9978772674642995
TNC,0.9996286209457786,80.75,20250923,80.94,20250922,0.9976525821596245
SNDX,0.9986550100874244,14.85,20250923,14.89,20250922,0.9973136333109469
STZ,0.9996243708211253,133.06,20250923,133.47,20250922,0.9969281486476362
CHE,0.9997349530646051,452.63,20250923,455.96,20250922,0.9926967277831389
MTDR,0.9995605361459021,45.49,20250923,45.87,20250922,0.9917157183344235
COUR,1.0128755364806867,11.8,20250923,11.9,20250922,0.9915966386554622
DOX,0.9997615357100273,83.85,20250923,84.62,20250922,0.9909004963365633
CRM,0.9996362754607178,247.35,20250923,249.71,20250922,0.990549036882784
SHOP,1.0140220439574772,155.48,20250923,157.12,20250922,0.9895621181262728
CPRX,0.998991935483871,19.82,20250923,20.05,20250922,0.9885286783042394
GOOGL,0.9801288092994032,249.58,20250923,252.53,20250922,0.9883182196174712
KINS,0.999271137026239,13.71,20250923,13.89,20250922,0.9870410367170627
