symbol,actual1_T
AAPL,267.44
ACCO,3.34
ADV,1.07
AENT,6.86
AHCO,9.1
AHL,36.98
AII,23.17
ALAB,139.52
ALIT,2.03
ALK,39.05
AMRK,25.62
AMTM,21.79
AMZN,222.55
ARCO,7.29
ARDT,8.7
ASIX,14.3
ASML,1004.06
ATR,119.31
AVGO,340.5
AVNW,20.87
AXON,533.77
BA,189.63
BABA,159.72
BHVN,9.45
BIIB,168.83
BILL,48.5
BMRN,54.16
BRZE,27.23
BTM,1.84
BWMX,13.79
CAL,9.67
CBZ,50.1
CCJ,83.3
CDE,14.38
CG,51.67
CHA,14.6
CHE,435.33
CHMI,2.29
CIVI,28.72
CLDX,25.58
CLS,299.92
CMPS,5.39
CON,19.24
COP,89.68
COUR,8.19
CPRX,22.66
CRM,233.5
CRNT,2.04
CRNX,43.01
CRTO,19.81
CSTM,14.75
CTRA,26.17
CVE,18.52
CVNA,317.22
CVS,77.94
CVX,153.62
CWAN,20.83
CWT,45.0
DAR,35.05
DAVA,6.22
DBRG,9.41
DDI,9.26
DDL,1.68
DDOG,176.46
DHR,225.51
DIS,106.28
DOX,76.02
DUOL,175.45
DVN,35.87
DXCM,60.17
EEFT,69.79
EFX,204.52
ENOV,28.24
ERIE,290.17
EVH,4.0
FANG,149.58
FI,61.34
FINV,5.97
FLOC,16.78
FSLR,252.19
GDEV,20.75
GDYN,8.15
GE,296.01
GOOGL,284.28
GPCR,34.5
HAL,26.79
HBM,15.11
HLF,8.95
HQY,102.74
HRTG,29.2
HTO,45.97
IBM,289.95
IDYA,33.71
IMCR,38.06
IMVT,23.69
IMXI,15.08
INSW,54.68
ITGR,67.75
JANX,29.02
KELYA,8.46
KINS,14.09
KNF,68.2
KO,71.22
KOP,27.93
KRO,4.42
LFST,6.2
LKQ,29.97
LNTH,53.5
LVO,4.41
LW,56.18
MA,527.58
MANH,172.1
MATV,11.94
MAX,11.88
MD,22.96
MDB,337.86
MDLZ,55.78
MDXG,6.72
META,597.69
MNKD,5.06
MNMD,11.41
MPAA,13.08
MRVL,78.68
MSFT,493.79
MTDR,41.16
MU,228.5
NESR,14.25
NRDS,13.59
NVDA,181.36
NX,11.92
PACS,14.43
PAR,35.9
PEP,148.77
PFE,25.45
PFGC,94.58
PG,146.99
PMTS,12.5
PRCT,28.4
PRU,102.64
QCOM,165.06
QUAD,5.34
RARE,32.83
RCI,38.52
RCKT,2.94
SBUX,83.33
SHOP,140.45
SLB,36.04
SLGN,37.92
SLP,16.33
SLVM,45.21
SMCI,34.9
SMP,36.77
SNDX,17.09
SNPS,383.82
SPB,54.31
SPGI,490.28
SPNT,19.9
SPRY,7.085
SSTK,20.13
STZ,130.53
TBLA,3.94
TCOM,72.44
TEAD,0.752
TNC,69.25
TRVG,2.9
TSLA,401.25
TWLO,120.68
TX,36.02
TXG,15.56
TXO,13.33
UAL,91.92
UBER,90.86
UHS,228.84
UIS,2.54
UPWK,17.08
UTL,47.96
UTZ,10.05
VCEL,39.03
VERA,28.91
W,95.81
WDAY,225.64
WELL,198.29
WMT,101.39
XOM,119.03
XPO,128.83
ZBH,89.08
ZM,81.31
ZTS,118.14
