ticker,F10_T,C1_T,A1_T-1,f10_over_prev_a1_x
AAPL,239.7007579244774,239.8784855028335,,
ACCO,5.18075792447739,3.973330052988604,,
ADBE,384.8313137489881,360.7664473142906,,
ADV,1.8771546602434883,1.5416941722785122,,
AENT,7.582664918017175,6.769749685218558,,
AHCO,9.271776241646958,9.15,,
AHL,37.699977500357136,36.88658558052965,,
ALAB,243.2804138029555,244.37341223172842,,
ALIT,4.488580538404152,3.2535753635747824,,
ALK,57.6717690989032,57.25,,
AMRK,24.320847684957382,23.780089925648646,,
AMTM,25.70286668068761,24.8422992760333,,
AMZN,236.42275944032636,226.23861428131235,,
ARCO,6.931592554086444,6.825,,
ARDT,14.422748924620242,12.855483057517558,,
ASIX,21.68683743115189,19.48140817697393,,
ASML,740.5717511626799,735.812014428469,,
ATR,143.9117967571943,132.43553379917168,,
AVGO,320.11343562006954,302.7226628281164,,
AVNW,25.012460159362547,21.763916432035618,,
AXON,767.9597514325169,726.0879001375857,,
BA,229.70320796495292,221.50341075217116,,
BABA,176.08988337486707,172.92535934411922,,
BHVN,17.16316725131347,16.2,,
BIIB,149.85847216710846,142.65676594135584,,
BILL,46.53876351169029,46.14,,
BMRN,64.80948211139506,53.909241024154475,,
BRZE,31.714858811764895,27.019692019348728,,
BTM,4.541294582625673,3.54389439601684,,
BWMX,14.858904184060568,13.384708495690719,,
CAL,15.08392342978683,14.914875420033933,,
CBZ,63.64856855446739,52.64785488319933,,
CCJ,77.49195576260695,77.18,,
CDE,13.710612291868383,13.610037172492593,,
CG,63.52416834653418,63.195878443699335,,
CHE,490.55927175759115,462.2542006456666,,
CHMI,2.9143550102379328,2.88,,
CIVI,36.53963135505785,34.93512727602385,,
CLDX,24.611203155505468,23.61,,
CLS,201.7361086331963,200.63,,
CMPS,7.367081197123856,4.715181526903762,,
CON,22.627400715861654,20.712761314573,,
COP,100.28445941334263,94.76413658953504,,
COUR,11.442702794400088,11.177282749019213,,
CPRX,24.347138577165442,20.862926331353375,,
CRM,276.97962988682724,256.84224470115265,,
CRNT,3.0793035824828183,2.504706792896614,,
CRNX,36.049353184870085,34.54945021052845,,
CRTO,26.7910099442866,23.21551159424591,,
CSTM,15.053187489087474,14.94,,
CTRA,26.33638065268805,24.08646869157208,,
CVE,16.93601355534039,16.937596269985658,,
CVNA,380.8774809923652,366.7930699877429,,
CVS,73.60158838748592,73.22075923305005,,
CVX,159.0578923747242,155.46083637216245,,
CWAN,21.095041070776656,17.779537986796353,,
CWT,47.44960885541499,44.659075990483394,,
DAR,32.332505039602545,31.9,,
DAVA,11.33686405771337,9.180088025840233,,
DBRG,11.41588573990889,11.215396657879465,,
DDI,12.175413842637418,9.694863973492636,,
DDL,2.256543634228028,2.1123212360439356,,
DDOG,140.10449429374137,132.7458748338511,,
DHR,200.79303526928143,199.44,,
DIS,118.50776336883541,113.59482969379401,,
DOX,87.46306245138965,81.71980213187983,,
DUOL,326.64106139188266,282.8257981047168,,
DVN,35.40330518563197,34.98576517468694,,
DXCM,81.30645454040412,74.38173831187886,,
EEFT,100.30614327550356,90.739714139821,,
EFX,238.90217687020842,237.57,,
ENOV,31.24796157997492,30.56567265985068,,
ERIE,263.58109422866306,316.33762434953707,,
EVH,10.514442905668163,8.779647981092566,,
FANG,152.3290212060126,142.44653491786332,,
FI,143.7319688973191,129.70253049376888,,
FINV,8.916132759797462,8.048844899428076,,
FLOC,20.648810058570497,16.08285916297574,,
FSLR,202.1353834066126,201.49,,
GDEV,17.006953937239093,15.33,,
GDYN,9.348527285281188,7.998789893834619,,
GE,295.3091332677259,293.89517026972027,,
GOOGL,250.70699905557055,256.22446356892584,,
GPCR,33.660328169394134,19.82641401124187,,
HAL,22.916806677671783,21.62376241637394,,
HBM,14.789935497055602,14.176488791676238,,
HLF,9.930982047904001,9.95,,
HQY,96.36267979873335,95.54,,
HRTG,24.307601942826302,24.08,,
