ticker,F10_T,C1_T,A1_T-1,f10_over_prev_a1_x
SPNT,19.608234393104873,17.609350967778592,,
SPRY,15.414029261440295,9.810781096317806,,
SSTK,22.58323232964556,21.0731573548459,,
STZ,144.20827566229107,132.63575382154553,,
TBLA,3.7029578101934892,3.5158081667187564,,
TCOM,77.82089518420342,76.00352049310692,,
TEAD,1.730796574657545,1.69,,
TMUS,246.55205476897194,237.73124356557034,,
TNC,88.50473805971333,80.65863601329852,,
TRVG,3.6575600228567806,3.4537953859486152,,
TSLA,414.52800820621894,443.00115324966606,,
TWLO,109.92925259122872,102.48261845204631,,
TX,34.534758297487336,34.51793185724876,,
TXG,12.593525221821876,11.7328933111066,,
TXN,188.30429965397374,182.52057239598594,,
TXO,16.04433639942223,14.084346398665083,,
UAL,99.81561260932367,94.9343236085528,,
UBER,99.22275305153886,96.71628180767992,,
UHS,205.91453095982604,204.93940936535597,,
UPWK,17.777176314661673,17.71,,
W,85.37738833510579,86.44499465990229,,
WDAY,241.99990841415215,240.73,,
WELL,175.81747710353804,174.96086986502632,,
WMT,104.5995822288535,101.81188137709397,,
WSR,12.82314832304249,12.093289351379498,,
XOM,116.99963548197648,114.34565477769588,,
XPO,129.53627827336075,126.18866910110809,,
ZBH,101.49159985555784,98.34807499002665,,
ZM,86.5412720829828,84.60297045406304,,
ZTS,155.64851942826303,143.657866053225,,
