symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2
SNDX,1.0246779855353896,1.02846656790511,20.435630704274537,19.87,0.1,False
LW,1.0275131381478795,1.0279519672269843,61.27621676640053,59.61,0.08,False
PAR,1.0237859264944749,1.0274338927327555,35.014947064332304,34.08,,
VERA,1.0227447921199968,1.0262289923219396,34.20421231409025,33.33,0.2,False
SHOP,1.0254026778297523,1.0258070000470805,163.4520873875018,159.34,0.17,False
AHL,1.0253405742501946,1.0257438831779688,37.921751361089505,36.97,,
ZM,1.024472479957876,1.0248616376921484,86.5290680703481,84.43,0.22,True
KOP,1.0205532922995821,1.0236940064340048,30.321954110105484,29.6201344537815,,
INSW,1.0221435548532096,1.0224948651877785,54.28425239281917,53.09,,
KO,1.022012386376856,1.022361570180328,74.5097112347423,72.88,0.15,False
ARDT,1.019320213570944,1.0222683916005542,9.251528943985017,9.05,0.16,False
BMRN,1.0167737824337026,1.019326019229282,56.59298058760973,55.52,0.06,False
IMVT,1.0165922241707759,1.0191163163507484,24.15305669751274,23.7,,
CAL,1.01624596259623,1.0187164099359196,12.020853637243853,11.8,,
QUAD,1.0159571688100906,1.0183829062439351,5.794598736527991,5.69,0.17,False
FLOC,1.0158965490591467,1.0183129052441005,17.056741162838684,16.75,,
ENOV,1.015637544633553,1.018013832723618,30.85599926985286,30.31,,
ALK,1.0152096729550493,1.0175198198864344,43.254767543372324,42.51,,
IMCR,1.015149662201122,1.0174505376217473,40.83029007476072,40.13,,
RCI,1.016457917054967,1.016717548706833,39.804492031872506,39.15,0.04,False
AMRK,1.014142138302496,1.0162875395596047,27.714161203790418,27.27,,
IMXI,1.0142242066939808,1.0144480996008816,15.379033189949366,15.16,,
GDYN,1.010235534119544,1.0117814079844618,8.772144807225283,8.67,,
AHCO,1.0102049713464678,1.011746175642522,9.722880747924634,9.61,0.28,True
WMT,1.011130257520153,1.0113049079968193,110.33336546245297,109.1,0.17,False
CON,1.0097239543353536,1.0111917082936823,21.0631232837574,20.83,,
IDYA,1.0096563699078227,1.0111138102477784,36.27876351169029,35.88,,
VCEL,1.0092826891298896,1.0106831328945056,40.80127807495119,40.37,,
PEP,1.010357271013794,1.0105196659780096,149.53670017142585,147.98,0.19,False
ZTS,1.0089634069615694,1.0103151895467875,129.0071465532293,127.69,0.07,False
DDOG,1.0088361496726035,1.010168547007992,160.01069784606594,158.4,0.19,False
KNF,1.008709887341076,1.0100230565028607,74.77200687290679,74.03,,
KRO,1.0086239011187552,1.0099239787977223,5.150612291868383,5.1,,
MATV,1.0082534496653335,1.0094971548825413,12.718782144474442,12.5991262907069,,
ATR,1.0081000382756014,1.009320412362484,124.96396025459914,123.81,,
LFST,1.0078838059953088,1.0090713087790708,6.619507785590704,6.56,,
AMZN,1.0074306285648693,1.0085492922283588,231.1191558070507,229.16,0.25,True
SLGN,1.0073140557443396,1.0084150230513267,39.88281416167997,39.55,0.0,False
SPB,1.0070645334629853,1.0081276377206965,60.11465103728513,59.63,,
DAR,1.0069569755210872,1.0080037653145066,36.892937810510944,36.6,,
HBM,1.0067662225411622,1.0077840885807767,16.719138029555086,16.59,0.11,False
MAX,1.006650204978869,1.0076504854731532,12.847543689782702,12.75,0.42,True
DVN,1.006519513670031,1.0074999899705064,36.67299963492643,36.4,0.32,True
NESR,1.0064756043772825,1.007449428240368,14.104291995365152,14.0,,
HRTG,1.0064099183545354,1.007373791755172,28.83103792003302,28.62,0.55,True
CHMI,1.0058192530321473,1.0066937160534712,2.375797169886192,2.36,,
UAL,1.005672641458757,1.0065249301397226,102.25286765289441,101.59,0.23,True
CTRA,1.0056285974654027,1.006474226134943,26.56085482770115,26.39,0.31,True
SPNT,1.0051860688487135,1.0059648185989176,21.054843653275345,20.93,,
AII,1.0050950791428879,1.0058600860551838,21.11300320629831,20.99,,
ITGR,1.0047463083362103,1.005458664224864,72.4332421707592,72.04,,
SLVM,1.0039793935737915,1.0045761218191982,48.07901319026682,47.86,,
HQY,1.0038973922727972,1.0044817691570107,105.46054094379454,104.99,0.26,True
UPWK,1.0037056581191552,1.0042611642641532,19.66343359629212,19.58,0.32,True
CLS,1.0033691048243651,1.0038739643609171,333.52708591927114,332.24,0.34,True
DHR,1.0030057502987637,1.0034559737071995,229.2495517531468,228.46,0.24,True
