symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,spy_trend_bin,rule_4a,stop_loss_pct
ZM,1.0297885273405303,1.03026471738143,88.94275305153886,86.33,,,1-2,False,-0.020559793217687305
SBUX,1.029243531036452,1.0297107575809046,88.11234952619799,85.57,,,1-2,False,-0.039702971323218095
CVNA,1.0282497540488023,1.0287006601764606,445.99317121950446,433.55,,,1-2,False,-0.12694743463945446
UHS,1.0275151081849516,1.0279539695405977,232.43067205282455,226.11,,,1-2,False,-0.034018651895788565
WELL,1.0271494993865198,1.0275823728065223,194.8707211790289,189.64,,,1-2,False,-0.05644357816110679
PMTS,1.0238285119695731,1.0274831847241372,15.309499452389645,14.9,,,1-2,False,-0.12039338272224631
CVE,1.025666747585524,1.0260753797558768,17.340673917874316,16.9,,,1-2,False,-0.04085166389410788
AHL,1.0248078243612102,1.0252024458763604,37.97349859526039,37.04,,,1-2,False,-0.0020948005524288327
PEP,1.023187090510408,1.0235553382015443,147.63762198219075,144.24,,,1-2,False,-0.014150344761728495
ITGR,1.0230104868497905,1.023375865717735,80.36570673481373,78.53,,,1-2,True,-0.14792092346204044
CRTO,1.0202749828757207,1.023372195059074,20.764221837748607,20.29,,,1-2,False,-0.054343484567109246
GOOGL,1.0227487951949727,1.0231099248442346,320.8063480341582,313.56,,,1-2,False,-0.041507555881317826
BIIB,1.0204677004331062,1.0207918822913455,180.50662854557865,176.83,,,1-2,False,-0.04063274986078591
ASIX,1.0167673787846532,1.019318622711959,17.511893938191456,17.18,,,1-2,True,-0.1220808619571595
PAR,1.0156944164461852,1.0180795006437857,37.86237662894239,37.19,,,1-2,False,-0.1046468584731376
SHOP,1.0177524152487725,1.018032830531673,170.90735158965728,167.88,,,1-2,False,-0.0890490796295419
PRCT,1.0153891760272795,1.0177270631587645,32.719925080554276,32.15,,,1-2,False,-0.06660578141690354
GPCR,1.0149199398658728,1.017185335258475,68.53794788971604,67.38,,,1-2,True,-0.5733942928750956
BMRN,1.0136195668456383,1.0156844665208988,60.98169536991476,60.04,,,1-2,True,-0.18997318072006464
FLOC,1.0123652920559154,1.0142373566550196,18.530116506087207,18.27,,,1-2,False,-0.05975857416823038
NESR,1.0120876881440304,1.01391714665276,15.441958143521532,15.23,,,1-2,True,-0.0776290185789158
PRU,1.0136591665788854,1.0138740439361102,114.90234539927938,113.33,,,1-2,False,-0.0491004655357371
STZ,1.006202853613337,1.0137736769233618,139.49832002666625,137.603020478911,,,1-2,False,-0.036497282404362896
VERA,1.0116772598591108,1.0134437753665184,52.95243726290059,52.25,,,1-2,True,-0.31402949235866817
QUAD,1.0113595366057744,1.013077366189988,6.4634335962921226,6.38,,,1-2,False,-0.09324438609755692
AAPL,1.0126221644771953,1.0128205220453719,277.269746115141,273.76,,,1-2,False,-0.020329360737646796
UTZ,1.0106539328365953,1.0122637646120547,10.557911064903731,10.43,,,1-2,True,-0.12102318011380653
HBM,1.010283443020148,1.0118366373501377,19.639749130966173,19.41,,,1-2,True,-0.15840661838842585
FSLR,1.0112547427988958,1.0114313687205634,271.3164646592911,268.25,,,1-2,False,-0.07896382815878045
GDYN,1.009678241480931,1.0111390193266394,9.272144807225283,9.17,,,1-2,False,-0.04069144360149879
IMXI,1.0106969631846061,1.0108647415649488,15.526882430437611,15.36,,,1-2,False,-0.003737906801611124
LKQ,1.0092827711383519,1.0106832274062312,30.876372597260364,30.55,,,1-2,True,-0.07009634977328649
BRZE,1.0086583299275356,1.0099636491191573,35.601218631450294,35.25,,,1-2,True,-0.21297254763630413
TX,1.0096131435256646,1.0097637583270238,38.56287793050904,38.19,,,1-2,False,-0.02753363883148774
AHCO,1.0084137135667857,1.0096818007149675,10.26846391327122,10.17,,,1-2,False,-0.09777406546641909
LW,1.0081552769088444,1.009384050870782,42.23262868843352,41.84,,,1-2,False,-0.07293866749901212
MD,1.0091481025129443,1.0092913641889376,22.093387962095843,21.89,,,1-2,False,-0.053008656397951714
CAL,1.0080157919092394,1.0092233570769398,13.190549276995604,13.07,,,1-2,False,-0.04385516454501248
CSTM,1.0078242615024628,1.0090027152498926,19.08024134537547,18.91,,,1-2,True,-0.1053236170046642
SPB,1.00769148929366,1.0088497699111145,60.843729623339314,60.31,,,1-2,False,-0.06566864241138026
SLP,1.007383843036551,1.0084954038531129,18.425211028396372,18.27,,,1-2,False,-0.0286910995766525
DOX,1.007201469546771,1.0082853501278555,81.37038709424347,80.7017448819675,,,1-2,True,-0.08002820738066774
KINS,1.0068801784014383,1.0079153219901615,17.22527285281186,17.09,,,1-2,True,-0.1749846943178156
TWLO,1.007710152758007,1.0078307210261785,142.6282036396248,141.52,,,1-2,True,-0.12547763208570717
LFST,1.0066284621421298,1.007625447446973,7.174293185822448,7.12,,,1-2,True,-0.12731929003332676
HTO,1.0066045793623648,1.0075979453507393,49.261463548197646,48.89,,,1-2,False,-0.051486037497264436
CLS,1.0064563521867995,1.007427259473523,305.47209361756165,303.22,,,1-2,False,-0.11581047241358411
AENT,1.006010154760192,1.006913501890789,8.488280820939352,8.43,,,1-2,True,-0.2424529315038041
TEAD,1.0059809650287739,1.00687989483742,0.8224194981032047,0.8168,,,1-2,False,-0.34142587420934645
COP,1.0056686003912783,1.0065202779836917,93.23397334962937,92.63,,,1-2,False,-0.03772635287286552
CCJ,1.005271188069136,1.006062796572695,93.402870033809,92.84,,,1-2,False,-0.07998349802182347
ALAB,1.0045541611447455,1.005237528041298,170.99592970746497,170.105,,,1-2,True,-0.19714591389538505
CG,1.0040411060166747,1.0046471311592005,60.61036142283456,60.33,,,1-2,True,-0.10669996881849719
GE,1.0037019068646642,1.0042568482833125,312.9063487881145,311.58,,,1-2,True,-0.1181633490423688
SPNT,1.0033781536036204,1.0038843743468981,22.27619426675767,22.19,,,1-2,False,-0.05465501041263643
CWAN,1.0030994842816805,1.003563797742524,24.185887525594833,24.1,,,1-2,True,-0.17259295754528858
CHMI,1.00273431940462,1.003143758462926,2.6159339407011473,2.6077358490566,,,1-2,True,-0.1300522438417755
WMT,1.0026790809710935,1.0030802231761105,112.87661751400772,112.53,,,1-2,False,-0.019261945778261902
HLF,1.0025927003596105,1.0029808702344827,12.798035904191998,12.76,,,1-2,False,-0.09610703238796237
MDB,1.0016149914092791,1.001856511126412,423.9255641180299,423.14,,,1-2,False,-0.12595719414385786
TBLA,1.0014044451126312,1.001614427172835,4.567361787908128,4.56,,,1-2,True,-0.1783300266846577
DBRG,1.0013122607726754,1.0015084393631355,15.273062420652314,15.2500586319218,,,1-2,True,-0.38547000658208075
DDL,0.9991234955508274,0.9989927902115746,2.67730067776702,2.68,,,1-2,True,-0.4195951376400686
IBM,0.9985386620421712,0.9985160214307834,305.28628839224774,305.74,,,1-2,False,-0.02235301269723
TSLA,0.9729005315802887,0.9724916203036622,446.9960483563753,459.64,,,1-2,False,-0.0773345966842427
PACS,0.971362259007245,0.9709308298467286,37.885720980619354,39.02,,,1-2,True,-0.258791142876705
ERIE,0.8461228957115629,0.8441075283254152,241.38535151861473,285.965168439485,,,1-2,False,-0.046885402594427084
