symbol,actual1_T
AAPL,267.46
ACCO,3.32
ADV,1.08
AENT,7.04
AHCO,9.33
AHL,36.86
AII,24.15
ALAB,141.39
ALIT,2.14
ALK,39.11
AMRK,25.38
AMTM,21.49
AMZN,232.87
ARCO,7.24
ARDT,8.28
ASIX,14.42
ASML,1020.0
ATR,119.34
AVGO,342.65
AVNW,21.55
AXON,543.23
BA,191.81
BABA,157.71
BHVN,8.27
BIIB,164.68
BILL,49.63
BMRN,54.46
BRZE,26.98
BTM,1.9
BWMX,13.91
CAL,9.93
CBZ,49.8
CCJ,83.03
CDE,14.46
CG,51.38
CHA,14.29
CHE,432.38
CHMI,2.29
CIVI,27.71
CLDX,26.0
CLS,309.37
CMPS,5.33
CON,19.24
COP,88.72
COUR,8.12
CPRX,22.56
CRM,237.03
CRNT,2.0
CRNX,43.52
CRTO,19.91
CSTM,14.91
CTRA,25.97
CVE,17.97
CVNA,323.12
CVS,78.41
CVX,154.82
CWAN,19.97
CWT,45.47
DAR,34.43
DAVA,6.33
DBRG,9.37
DDI,9.19
DDL,1.69
DDOG,180.26
DHR,220.44
DIS,105.69
DOX,75.05
DUOL,178.27
DVN,35.07
DXCM,58.49
EEFT,70.72
EFX,204.86
ENOV,28.3
ERIE,287.28
EVH,3.87
FANG,146.37
FI,62.7
FINV,5.9
FLOC,16.46
FSLR,253.54
GDEV,20.61
GDYN,8.1
GE,300.13
GOOGL,285.02
GPCR,37.44
HAL,26.62
HBM,15.33
HLF,8.8
HQY,100.17
HRTG,30.18
HTO,47.08
IBM,297.17
IDYA,33.34
IMCR,36.57
IMVT,24.3
IMXI,15.05
INSW,53.6
ITGR,67.1
JANX,28.72
KELYA,8.54
KINS,14.41
KNF,67.51
KO,70.68
KOP,27.86
KRO,4.49
LFST,6.25
LKQ,29.89
LNTH,52.5
LVO,4.36
LW,56.25
MA,536.85
MANH,170.94
MATV,12.12
MAX,11.99
MD,23.02
MDB,339.6
MDLZ,55.57
MDXG,7.1
META,602.01
MNKD,4.98
MNMD,11.34
MPAA,12.58
MRVL,83.45
MSFT,507.49
MTDR,40.08
MU,241.95
NESR,13.92
NRDS,13.7
NVDA,186.6
NX,12.23
PACS,15.7
PAR,36.7
PEP,147.83
PFE,25.08
PFGC,94.07
PG,145.82
PMTS,12.25
PRCT,29.08
PRU,103.51
QCOM,166.75
QUAD,5.25
RARE,32.54
RCI,38.53
RCKT,3.04
SBUX,83.69
SHOP,139.93
SLB,35.8
SLGN,37.56
SLP,16.98
SLVM,45.66
SMCI,34.1
SMP,36.67
SNDX,17.18
SNPS,390.24
SPB,55.93
SPGI,488.95
SPNT,19.73
SPRY,7.32
SSTK,20.76
STZ,130.96
TBLA,3.915
TCOM,70.89
TEAD,0.7321
TNC,69.88
TRVG,2.95
TSLA,408.92
TWLO,120.22
TX,36.09
TXG,15.7
TXO,13.38
UAL,89.95
UBER,92.11
UHS,226.5
UIS,2.55
UPWK,16.19
UTL,48.0
UTZ,10.01
VCEL,39.43
VERA,29.46
W,99.53
WDAY,224.95
WELL,197.27
WMT,102.95
XOM,117.68
XPO,127.92
ZBH,88.64
ZM,81.86
ZTS,118.8
