bin,count,mean_delta_f10_act_pct
<0%,53,-0.5481006078860878
0-2%,12,2.052806072338246
2-5%,25,2.4114716308842814
5-10%,38,8.421179753254927
10-20%,18,15.152200916288646
>20%,23,39.31653654718199
