symbol,sent,tech,prices,seq20,pstar
PRCT,missing,missing,missing,missing,ok
PRU,missing,missing,missing,missing,ok
QUAD,missing,missing,missing,missing,ok
RARE,missing,missing,missing,missing,ok
RCI,missing,missing,missing,missing,ok
RCKT,missing,missing,missing,missing,ok
SBUX,missing,missing,missing,missing,ok
SHOP,missing,missing,missing,missing,ok
SIS,missing,missing,missing,missing,missing
SLB,missing,missing,missing,missing,ok
SLGN,missing,missing,missing,missing,ok
SLP,missing,missing,missing,missing,ok
SLVM,missing,missing,missing,missing,ok
SMCI,missing,missing,missing,missing,ok
SMP,missing,missing,missing,missing,ok
SNDX,missing,missing,missing,missing,ok
SNPS,missing,missing,missing,missing,ok
SPB,missing,missing,missing,missing,ok
SPGI,missing,missing,missing,missing,ok
SPNT,missing,missing,missing,missing,ok
SPRY,missing,missing,missing,missing,ok
SSTK,missing,missing,missing,missing,ok
STZ,missing,missing,missing,missing,ok
TBLA,missing,missing,missing,missing,ok
TCOM,missing,missing,missing,missing,ok
TEAD,missing,missing,missing,missing,ok
TNC,missing,missing,missing,missing,ok
TOT,missing,missing,missing,missing,missing
TRVG,missing,missing,missing,missing,ok
TSLA,missing,missing,missing,missing,ok
TWLO,missing,missing,missing,missing,ok
TX,missing,missing,missing,missing,ok
TXG,missing,missing,missing,missing,ok
TXO,missing,missing,missing,missing,ok
UAL,missing,missing,missing,missing,ok
UBER,missing,missing,missing,missing,ok
UHS,missing,missing,missing,missing,ok
UIS,missing,missing,missing,missing,ok
UPWK,missing,missing,missing,missing,ok
UTL,missing,missing,missing,missing,ok
UTZ,missing,missing,missing,missing,ok
VCEL,missing,missing,missing,missing,ok
VERA,missing,missing,missing,missing,ok
VLE,missing,missing,missing,missing,missing
W,missing,missing,missing,missing,ok
WDAY,missing,missing,missing,missing,ok
WELL,missing,missing,missing,missing,ok
WMT,missing,missing,missing,missing,ok
XPO,missing,missing,missing,missing,ok
ZBH,missing,missing,missing,missing,ok
ZM,missing,missing,missing,missing,ok
ZTS,missing,missing,missing,missing,ok
