symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
LVO,LiveOne Inc.,4.29,0.56,0.50,4.76,-11.9%,-88.4%,745.3%,11.0%
GPCR,Structure Therapeutics Inc.,26.62,19.92,19.83,33.14,-0.5%,-25.5%,66.3%,24.5%
JANX,Janux Therapeutics,23.31,23.26,23.07,36.98,-0.8%,-1.0%,59.0%,58.7%
SPRY,ARS Pharmaceuticals Inc.,10.31,9.89,9.81,15.20,-0.8%,-4.8%,53.8%,47.5%
CMPS,COMPASS Pathways plc,6.43,4.75,4.72,7.27,-0.7%,-26.7%,53.0%,13.0%
PACS,PACS Group Inc.,,11.08,11.00,16.93,-0.7%,,52.8%,
RARE,ULTRAGENYX PHARMACEUTICAL INC.,30.90,31.12,30.93,44.95,-0.6%,0.1%,44.4%,45.5%
MNMD,Mind Medicine (MindMed) Inc.,12.22,9.12,9.07,12.75,-0.5%,-25.8%,39.9%,4.4%
ALIT,Alight Inc.,3.27,3.27,3.25,4.44,-0.5%,-0.7%,35.9%,35.6%
RCKT,Rocket Pharmaceuticals Inc.,3.21,3.23,3.21,4.37,-0.5%,0.1%,35.5%,36.3%
SNDX,Syndax Pharmaceuticals Inc.,15.60,15.77,15.70,21.16,-0.4%,0.6%,34.2%,35.6%
IMVT,Immunovant Inc.,16.73,16.79,16.72,22.53,-0.4%,-0.1%,34.2%,34.7%
PMTS,CPI Card Group Inc.,15.30,15.37,15.32,19.99,-0.4%,0.1%,30.0%,30.7%
ACCO,ACCO Brands Corporation,4.06,3.97,3.97,5.13,0.1%,-2.1%,29.4%,26.5%
VERA,Vera Therapeutics Inc.,30.14,29.32,29.36,37.61,0.1%,-2.6%,28.3%,24.8%
FLOC,Flowco,15.52,16.08,16.08,20.48,0.0%,3.7%,27.3%,32.0%
BTM,Bitcoin Depot Inc.,3.83,3.56,3.54,4.50,-0.3%,-7.5%,26.7%,17.6%
DDI,DoubleDown Interactive Co. Ltd.,,9.72,9.69,12.08,-0.2%,,24.3%,
CRNT,Ceragon Networks Ltd.,2.37,2.50,2.50,3.06,0.2%,5.7%,22.3%,29.0%
DAVA,Endava plc,9.17,9.20,9.18,11.26,-0.3%,0.1%,22.3%,22.7%
PAR,PAR Technology Corporation,38.17,40.02,39.92,48.95,-0.2%,4.6%,22.3%,28.2%
PRCT,PROCEPT BioRobotics Corporation,34.80,34.92,34.84,42.53,-0.2%,0.1%,21.8%,22.2%
KOP,Koppers Holdings Inc.,26.94,28.18,28.12,34.21,-0.2%,4.4%,21.4%,27.0%
ADV,Advantage Solutions Inc.,1.46,1.55,1.54,1.86,-0.2%,5.6%,20.7%,27.7%
IDYA,IDEAYA Biosciences Inc.,27.64,25.84,25.79,31.11,-0.2%,-6.7%,20.4%,12.5%
CBZ,CBIZ Inc.,56.72,52.76,52.65,63.24,-0.2%,-7.2%,19.9%,11.5%
BMRN,Biomarin Pharmaceutical Inc.,55.43,54.02,53.91,64.40,-0.2%,-2.7%,19.2%,16.2%
EVH,Evolent Health Inc.,8.21,8.80,8.78,10.45,-0.2%,6.9%,18.8%,27.2%
UIS,Unisys Corporation,3.92,3.85,3.84,4.57,-0.2%,-2.1%,18.7%,16.4%
VCEL,Vericel Corporation,32.44,31.61,31.55,37.45,-0.2%,-2.7%,18.5%,15.4%
CWAN,CLEARWATER ANALYTICS INC.,17.55,17.81,17.78,20.97,-0.2%,1.3%,17.7%,19.5%
MDXG,MiMedx Group Inc.,6.71,7.12,7.11,8.38,-0.2%,5.9%,17.7%,24.9%
BRZE,Braze Inc.,28.42,27.06,27.02,31.54,-0.2%,-4.9%,16.5%,11.0%
GDYN,Grid Dynamics Holdings Inc.,8.33,8.01,8.00,9.30,-0.1%,-4.0%,16.1%,11.6%
CPRX,Catalyst Pharmaceuticals Inc.,20.84,20.89,20.86,24.22,-0.1%,0.1%,15.9%,16.2%
LFST,LIFESTANCE HEALTH GROUP,5.35,5.24,5.24,6.03,-0.1%,-2.1%,15.1%,12.8%
DUOL,Duolingo Inc.,322.63,283.19,282.83,324.99,-0.1%,-12.3%,14.8%,0.7%
CRTO,Criteo S.A.,21.55,23.25,23.22,26.66,-0.1%,7.7%,14.7%,23.7%
AVNW,Aviat Networks Inc.,22.79,21.79,21.76,24.89,-0.1%,-4.5%,14.2%,9.2%
MU,Micron Technology Inc.,183.75,118.98,119.42,135.36,0.4%,-35.0%,13.8%,-26.3%
TXO,TXO Partners L.P.,14.24,14.09,14.08,15.97,-0.0%,-1.1%,13.3%,12.1%
QUAD,Quad/Graphics Inc.,6.05,6.06,6.06,6.87,-0.1%,0.1%,13.2%,13.5%
KNF,Knife River Corporation,72.30,73.73,73.66,82.92,-0.1%,1.9%,12.5%,14.7%
ARDT,Ardent Health Inc.,14.02,12.81,12.86,14.36,0.4%,-8.3%,12.2%,2.5%
AENT,Alliance Entertainment Holding Corporation,6.71,6.74,6.77,7.55,0.4%,0.9%,12.0%,12.5%
SPB,Superior Plus Corp.,55.02,53.70,53.66,59.72,-0.1%,-2.5%,11.2%,8.6%
SPNT,SiriusPoint Ltd.,18.59,17.62,17.61,19.53,-0.1%,-5.3%,10.9%,5.1%
ASIX,AdvanSix Inc.,19.62,19.49,19.48,21.60,-0.1%,-0.7%,10.8%,10.1%
BWMX,Betterware de México S.A.P.I. de C.V.,12.97,13.39,13.38,14.80,-0.1%,3.2%,10.5%,14.1%
FI,FISERV,127.54,129.78,129.70,143.20,-0.1%,1.7%,10.3%,12.3%
FINV,FinVolution Group,7.22,8.05,8.05,8.88,-0.1%,11.5%,10.3%,23.0%
EEFT,Euronext Worldwide,88.03,90.79,90.74,99.94,-0.1%,3.1%,10.1%,13.5%
UTZ,Utz Brands Inc.,12.45,12.23,12.22,13.44,-0.0%,-1.8%,9.9%,8.0%
SLGN,Silgan Holdings Inc.,42.62,42.69,42.67,46.84,-0.0%,0.1%,9.7%,9.9%
TNC,Tennant Company,82.75,80.69,80.66,88.21,-0.0%,-2.5%,9.3%,6.6%
