bin,count,mean_f10_vs_a1_pct,trend_7d
<0% (F10/C1),4,,
0-2% (F10/C1),2,,
2-5% (F10/C1),11,,
5-10% (F10/C1),5,,
10-20% (F10/C1),5,,
>20% (F10/C1),11,,
