symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
GDEV,GDEV Inc.,15.63,14.75,14.57,28.45,-1.2%,-6.8%,92.9%,82.0%
JANX,Janux Therapeutics,23.56,24.21,24.07,38.47,-0.6%,2.1%,58.9%,63.3%
GPCR,Structure Therapeutics Inc.,20.20,22.28,22.16,34.88,-0.6%,9.7%,56.5%,72.7%
BHVN,Biohaven Pharmaceutical Holding Co Ltd.,13.74,16.00,15.91,24.16,-0.6%,15.8%,51.0%,75.8%
CMPS,COMPASS Pathways plc,5.14,5.18,5.16,7.59,-0.4%,0.4%,46.6%,47.7%
RARE,ULTRAGENYX PHARMACEUTICAL INC.,29.00,32.04,31.93,45.64,-0.3%,10.1%,42.5%,57.4%
PACS,PACS Group Inc.,10.43,11.25,11.21,16.02,-0.3%,7.5%,42.5%,53.6%
VERA,Vera Therapeutics Inc.,24.24,24.34,24.28,33.86,-0.3%,0.1%,39.1%,39.7%
CLDX,Celldex Therapeutics Inc.,24.50,23.00,22.93,31.25,-0.3%,-6.4%,35.8%,27.5%
CRNT,Ceragon Networks Ltd.,2.03,1.99,1.99,2.68,-0.3%,-2.2%,34.4%,31.8%
RCKT,Rocket Pharmaceuticals Inc.,3.22,3.30,3.29,4.43,-0.3%,2.1%,34.3%,37.6%
PMTS,CPI Card Group Inc.,15.21,14.38,14.34,19.24,-0.3%,-5.7%,33.8%,26.5%
IMVT,Immunovant Inc.,15.53,17.23,17.20,22.93,-0.2%,10.7%,33.1%,47.7%
ALIT,Alight Inc.,3.59,3.60,3.59,4.74,-0.3%,-0.0%,31.8%,32.1%
FLOC,Flowco,16.40,15.63,15.62,20.14,-0.1%,-4.8%,28.8%,22.8%
SNDX,Syndax Pharmaceuticals Inc.,15.84,17.12,17.10,22.03,-0.1%,8.0%,28.7%,39.1%
ACCO,ACCO Brands Corporation,4.00,4.06,4.05,5.20,-0.1%,1.4%,28.2%,30.1%
CRNX,CRINETICS PHARMACEUTICALS INC.,33.77,34.79,34.77,43.52,-0.0%,3.0%,25.1%,28.9%
DDI,DoubleDown Interactive Co. Ltd.,9.34,9.58,9.58,11.75,-0.0%,2.6%,22.6%,25.8%
MNKD,MANNKIND CORPORATION,5.38,5.56,5.55,6.80,-0.1%,3.2%,22.3%,26.4%
KELYA,Kelly Services Inc.,13.78,13.92,13.91,16.91,-0.1%,0.9%,21.5%,22.7%
