symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev
TBLA,1.0271328242184838,1.0331994225008512,3.895161822828209,3.77
RCI,1.0274173435940361,1.0285476176083088,37.86083780416185,36.81
DAVA,1.0271931210651375,1.0271931210651375,9.142018777479723,8.9
PRU,1.025814396056235,1.0269429066488955,108.03439377946381,105.2
AHL,1.0257045424537512,1.0268329321951597,37.81825689274773,36.83
BIIB,1.0251738244472115,1.0263016303394419,160.86251753940414,156.74
PEP,1.020959314173329,1.0220824836327846,144.70643803272966,141.58
HAL,1.0143312074311823,1.020322194979882,27.885405588800175,27.33
AENT,1.0202546545620463,1.0202546545620463,6.427604323740892,6.3
QUAD,1.0195493487583809,1.0195493487583809,5.7910403009476035,5.68
INSW,1.0120962302754535,1.0180740172835274,53.31653628513833,52.37
LW,1.0161982438518489,1.0173161756013336,62.96169810796654,61.89
IMXI,1.0160804829161867,1.0171982851154684,15.268146259583181,15.01
DBRG,1.0155894046195895,1.0155894046195895,11.110548086538309,10.94
SHOP,1.014373903510745,1.015489828281767,158.46718770336977,156.05
AVNW,1.0144101292100813,1.0144101292100813,23.666188314471196,23.33
LKQ,1.0136919772886022,1.0136919772886022,30.43103315820384,30.02
GDYN,1.0135471497546606,1.0135471497546606,8.858402088855733,8.74
KNF,1.0133907966838553,1.0133907966838553,72.03181782828844,71.08
DAR,1.0133094144903376,1.0133094144903376,32.34483651053158,31.92
UHS,1.005841967198716,1.0117828143867937,229.0575113490262,226.39
MPAA,1.0049292849906117,1.0108647415649488,17.467742734242314,17.28
AHCO,1.0108205259315624,1.0108205259315624,9.713985254202314,9.61
CHE,1.0105367252828608,1.0105367252828608,435.127008539547,430.59
ITGR,1.0089113278999953,1.0089113278999953,67.23385089125568,66.64
ZBH,1.0076936547452477,1.0076936547452477,89.19096538150188,88.51
SPGI,1.007662895049609,1.007662895049609,493.75481857430833,490.0
W,1.0010619548632138,1.0069745696611465,99.38839002555515,98.7
SSTK,1.0069250622106503,1.0069250622106503,22.122143616767985,21.97
DHR,1.006367205131692,1.006367205131692,212.01137910509357,210.67
CWT,1.005889959761088,1.005889959761088,46.62299963492643,46.35
SBUX,1.0050103792470488,1.0050103792470488,82.63195338169236,82.22
CSTM,1.0045524125917082,1.0045524125917082,15.500243726290059,15.43
WELL,0.9986015036652421,1.0044995861956243,188.6048423040904,187.76
HRTG,1.0040201265506685,1.0040201265506685,27.961960524436122,27.85
GE,1.0038484576069453,1.0038484576069453,306.44481865367214,305.27
WMT,1.0035205245577572,1.0035205245577572,102.03796693703275,101.68
AVGO,1.0031736008832743,1.0031736008832743,356.7185007380835,355.59
AMZN,1.0031401086781708,1.0031401086781708,243.80317201314264,243.04
CVS,1.0029402852374825,1.0029402852374825,78.89128283678036,78.66
AII,1.0006844008430271,1.0017852656296815,24.87432814558499,24.83
XPO,1.0012248032338833,1.0012248032338833,136.40686719258426,136.24
CCJ,1.0011183271561828,1.0011183271561828,90.34091784257393,90.24
TWLO,1.0009336019076045,1.0009336019076045,127.59901557118143,127.48
HLF,1.0004334385996632,1.0004334385996632,9.203987635116901,9.2
TX,0.9990473037573407,1.0001463675540603,35.63521507595117,35.63
ASML,0.9992963312422639,0.9992963312422639,1028.475784114538,1029.2
MRVL,0.9989285586726089,0.9989285586726089,93.23000238091458,93.33
MDB,0.9971003791594761,0.9981973011213372,355.1885456580054,355.83
DDOG,0.9964024383060843,0.9964024383060843,190.133513277567,190.82
AAPL,0.9844047525499694,0.9866998841442389,266.1820277455913,269.77
CLS,0.9752396750722355,0.9809997746408492,334.28548320661577,340.76
GOOGL,0.9744647337696257,0.9802202562694665,279.1177179727306,284.75
IBM,0.9731113988305283,0.9788589280706625,305.8151063078364,312.42
CVE,0.9744193443988206,0.9754913146851365,16.398008999857144,16.81
FSLR,0.9671748149585907,0.9728872807009267,264.60588260503806,271.98
TSLA,0.9675744641936369,0.9686389043459962,431.9257738369232,445.91
MU,0.9593883790925526,0.9650548554775854,230.00152370597294,238.33
MD,0.9338964728053863,0.9394123852601762,20.497978246377045,21.82
ERIE,0.8448111927756911,0.8457405795960661,238.14363240266027,281.58
