symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b
DDOG,1.008479495825673,1.2874208168832584,161.5713125188489,125.5,0.26,True,-0.07191442977091456,-0.014118170734067226
CHA,1.0214575837666349,1.2653089016369004,15.36085006587197,12.14,0.07,False,,0.3243954902833409
HQY,1.00384219800725,1.253496830347658,105.64471286170061,84.28,0.2,False,-0.11010215664018153,-0.14340352323944688
ENOV,1.0156932648678907,1.2496847621453453,30.817226234504215,24.66,0.05,False,-0.20161877782274384,-0.11719102814993186
IMCR,1.0158144434846696,1.2451893117033919,40.219614768019554,32.3,0.37,True,-0.03335667642288109,0.0989755284027089
UHS,1.0002015688504506,1.2075042880628428,243.6864403739623,201.81,0.08,False,0.03848534794482217,-0.06074636797160936
NRDS,1.002062020738672,1.1511539384000984,15.045581974889286,13.07,,,0.15333027425788015,0.12254853651325495
HRTG,1.0059207811123279,1.1478747272382634,29.247848050030953,25.48,-0.18,False,0.07286920932739349,0.011969587999589115
AVGO,0.9994044944873282,1.1355693288249287,402.684239694608,354.61,0.22,True,0.2041282846036201,0.8576948819481764
FSLR,0.9996792189498487,1.1303421813829504,272.8193888985889,241.36,-0.07,False,0.2112531722879165,0.1354062725472441
RCI,1.0166673430047077,1.1156005228771528,39.78231464579927,35.66,0.01,False,0.10226728281532527,-0.0693728522336785
ZBH,1.0016088988760152,1.105958385824645,97.70036380374914,88.34,0.12,False,-0.08327712343693239,0.09923927041840155
WELL,0.9985307122951285,1.1042150046607535,207.86847462738686,188.25,0.25,True,0.12880758942464698,0.6493250227080513
AII,1.0048698539176626,1.1037591946446381,21.258402088855732,19.26,0.29,True,,-0.12967071461933521
VCEL,1.0093896766306791,1.098109553816606,40.68495896890525,37.05,0.67,True,-0.027936654527900062,0.45402724834109776
MD,0.9984263687330718,1.0846388252087011,24.046442754876907,22.17,,,0.33301265670564906,0.6040195197123427
MRVL,1.0002000201485761,1.0767074251403996,89.4205516579102,83.05,0.29,True,0.1095479911236159,0.24676404904060875
CTRA,1.0050875294897514,1.0713115664830717,26.997051475373404,25.2,0.07,False,0.022918239606420032,0.2688789412222647
KOP,1.0204742715883455,1.056725472329879,30.370290074760717,28.74,0.06,False,-0.00770975683019548,0.8962379955231419
DDI,1.026527256983744,1.0555514345739427,9.59496254027714,9.09,0.24,True,-0.03520596070772786,0.8767123287671227
CLS,1.0023077807426533,1.0510219805335295,345.32378192409647,328.56,0.15,False,0.5878784598313531,1.0838678446084962
BABA,1.0031090857156892,1.0497845937820465,175.32452500753956,167.01,0.22,True,0.212109335876433,1.1717349623222004
SPNT,1.0053850054328142,1.04959033542589,20.92883128839225,19.94,,,0.044225079207143025,0.05311314438741365
KO,1.0210979338974875,1.0483875677053371,74.6871303233282,71.24,0.2,False,0.03194480456929627,0.8565810838238263
PEP,1.0089927635513474,1.0461285704298942,150.0985272852812,143.48,0.12,False,0.02991328141655414,0.4627564563745063
ZM,1.0227192528936218,1.044847560495756,86.92086855764194,83.19,0.03,False,0.03955533673395428,-0.011181886456565508
ZTS,1.0088274286518315,1.039015537122855,129.48211623625022,124.62,0.25,True,-0.14254161893261497,0.43955252873825934
QCOM,1.0151345210825935,1.0377948322565511,171.53710782368532,165.29,0.19,False,0.043093802713974894,-0.10860026327336648
BMRN,1.0164564381569863,1.0324348586944445,56.99040419993334,55.2,0.28,True,-0.03237341971854679,0.2891265165169718
IDYA,1.0099209989706082,1.0266953200890307,36.026738781924095,35.09,0.39,True,0.3760568461671192,0.49684946154433723
CON,1.0102009177029903,1.025710320273868,20.801405295154044,20.28,0.46,True,-0.023304870472310002,0.8851815505397451
CWT,1.0044855355463758,1.0243495846191804,45.60404350724591,44.52,0.13,False,-0.03137374352726163,1.007792733528995
BIIB,0.9991218937321573,1.0202258106756008,181.90626204345963,178.3,0.22,True,0.24829523337449988,0.525288057542631
ATR,1.0078384421065842,1.019231794212893,125.87512658529229,123.5,0.33,True,-0.10769441965817828,0.7022692454998101
AHL,1.0247318808505625,1.019074082567341,37.9808910572848,37.27,0.01,False,,0.946257197696748
AAPL,1.0205350336744465,1.0177318294011628,265.67889406517355,261.05,0.13,False,0.1160407975628499,0.1272322982663791
ARDT,1.0207283702313363,1.016946940654034,8.98981095538166,8.84,-0.51,False,-0.285281157779844,0.3343999999999994
IBM,0.9981407466013894,1.0157039623995898,307.92081324105965,303.16,0.29,True,0.11537526181848556,0.5505831879478162
FANG,1.004471301285271,1.0143154810828738,153.37464389454135,151.21,0.11,False,0.06648592148305088,0.717514352712866
DVN,1.005929071486735,1.0128326470732647,37.31275471817908,36.84,0.16,False,0.10418415058146535,0.7411501279499584
CVE,0.9988341621555047,1.0122630073381715,17.836074189298582,17.62,0.29,True,0.16127331444012394,0.9806807727690893
TWLO,1.0017179796960844,1.0008944686972987,129.9461288709703,129.83,-0.13,False,0.12848746347170503,-0.054609141719622716
CVS,1.0036912624565804,1.0002614795869682,80.7010961730766,80.68,0.22,True,0.14200785590431386,0.8044722806674173
IMXI,1.0128022463205202,0.996011153944817,15.438172886144663,15.5,0.02,False,0.1873573256116805,0.9395218002812934
SNDX,1.0248068449449905,0.995953317542195,20.38716441008873,20.47,0.28,True,0.44684761096974834,0.25527549824150086
ARCO,1.008884884863728,0.9830263479741266,7.667605514198187,7.8,0.29,True,0.08357412758390748,0.8178866314129326
SBUX,1.0208036868927701,0.9822319104545595,88.95092181076491,90.56,0.12,False,0.05166465182769708,0.9665884972522267
KRO,1.0088323808943154,0.9811364971948082,5.121532515356899,5.22,-0.32,False,-0.09936334305284766,0.897907140344706
UPWK,1.003459536473355,0.9786926290215655,19.818525737686702,20.25,0.34,True,0.2632957983717521,0.3671759487432238
GOOGL,0.9894600864782594,0.9771959796328528,328.3085332772496,335.97,0.3,True,0.48521631097438167,0.9431239388794566
SHOP,1.026646804200968,0.9730925408850509,162.93461504579292,167.44,0.41,True,0.2555262952676316,0.5983413611995535
CVX,1.0240734834480152,0.9725050217024619,159.36439790638244,163.87,0.23,True,0.10988971541931924,0.9533663509769478
TSLA,0.967521394655273,0.9708399249789005,434.1596144505643,447.2,0.05,False,0.22498181462982325,0.3435588482109456
INSW,1.022774991220419,0.9703767743693144,54.19554284852621,55.85,0.26,True,0.32783654177632915,1.0258347978910374
AMZN,1.006837761314322,0.9688978519989209,235.0546188949382,242.6,0.13,False,0.11014912423602885,0.7894199142828661
XPO,1.0012322577715995,0.9663172272980721,142.26122220282218,147.22,0.04,False,0.16118203630409367,0.7773777994908847
DHR,1.0032255440180795,0.9662976917494637,227.62108426850367,235.56,0.24,True,0.14882715359979004,0.739717243752151
CHMI,1.0041242346225732,0.9622344364497267,2.5018095347692895,2.6,,,0.04279468976857981,0.6356472795497192
TBLA,1.0027463790518745,0.960770687520945,4.092883128839225,4.26,0.08,False,0.2129149820625249,0.5141609629454797
KNF,1.008327602001568,0.9594560106503728,75.55716083871685,78.75,,,-0.025361637243933144,0.9021434193795788
MATV,1.008558077343382,0.9512068783030402,12.613003206298313,13.26,0.22,True,0.44302970943519426,0.9812435098650051
QUAD,1.015587094182649,0.9470121605694973,5.843065030713799,6.17,,,0.07919960819981808,0.3824593128390596
SLGN,1.0072370011540521,0.941136178272061,39.97005349121443,42.47,0.11,False,-0.09000722080448753,0.8961060209424077
SPB,1.0072234756852607,0.9357817011703612,59.8432397898446,63.95,0.31,True,0.12768099764941554,0.920349977372154
XOM,1.0239568600696871,0.9340786976427053,118.19831839970794,126.54,0.02,False,0.14463215101111904,0.9973436599884791
W,1.000770743158093,0.9315258897279157,110.89815717210837,119.05,,,0.6864923367658162,1.0610074565581578
PRU,1.0020162486923405,0.930699213168657,108.50091427120203,116.58,0.2,False,0.12135509096942676,0.6163864114071463
WMT,1.0077130892636248,0.9253547906937115,111.37570260789512,120.36,0.2,False,0.19301320085560736,1.1839587620118361
DAR,1.006947801949892,0.9216441326011016,36.902631069348104,40.04,0.28,True,0.19280266920877032,1.0226995870101314
AHCO,1.0100144989147595,0.9209563658916535,9.771347042110444,10.61,0.65,True,0.14412034291260034,0.8546812176909824
TXG,0.9965218192934807,0.9130043087282904,18.73484841510452,20.52,0.46,True,0.6206482593037215,0.947101449275362
DXCM,1.0090246818668736,0.9128709858923891,64.12918675894034,70.25,0.21,True,-0.04741758636634208,0.9344172215398541
ALK,1.014868767827134,0.9110560418531446,43.59403160267297,47.85,0.01,False,-0.04573111754159587,-0.046403627454565076
SLVM,1.0042962740339336,0.9105593631837396,47.60404350724591,52.28,0.12,False,0.0773694709596584,1.0362095014268924
LFST,1.0082022689773504,0.9050135493196879,6.561348232567737,7.25,,,0.2689244771156034,0.6938562481359973
PAR,1.023160338950363,0.902719928517968,35.431757194330245,39.25,0.29,True,-0.22538755291540435,1.1229419570452654
AENT,1.0149448838798096,0.9003084117869677,6.815334677227346,7.57,0.26,True,0.4323015212290926,0.31864826610049557
STZ,1.0069812915487346,0.8975931881202464,137.47537269249693,153.16,0.26,True,-0.021822503830386197,1.1016238410885302
UAL,1.005555380651274,0.8968754324785365,102.61151822986936,114.41,0.22,True,0.2535279784026365,0.5690030110404815
TX,0.9993694669774189,0.8855465235522867,36.803313518833036,41.56,0.07,False,0.2906752131974335,1.0975837277029483
ERIE,0.842778351974767,0.88279217895106,248.42654707861783,281.41,,,-0.1554960429163219,0.3084030746022072
ITGR,1.0046854138098331,0.8770721270785529,72.56894779447946,82.74,-0.58,False,-0.1869535225135459,0.815165200456651
FLOC,1.0153465379566236,0.8766493836170678,17.269992857256234,19.7,0.42,True,0.12103795595515843,0.9734555154018233
CAL,1.0165746449126283,0.852401021979243,11.933614307709401,14.0,0.28,True,0.01504440819285846,0.887972376750432
AMTM,0.9998788065106676,0.8345776199674373,28.626012364883096,34.3,0.21,True,0.4334371147376559,1.0203450475688562
MDB,1.0280465095185074,0.8313445801875885,341.8405779273345,411.19,0.18,False,0.4979610185508332,0.2314320075976101
CDE,1.0055436016011192,0.8292042021688497,17.38012007745909,20.96,0.43,True,0.665276288086442,0.9387655763239877
ASML,0.9885838367894695,0.8248671671750257,1047.7132810590308,1270.16,0.4,True,0.47387092211271686,0.887972033000124
HLF,0.9928638772000222,0.8088217812065887,12.625708004634848,15.61,0.35,True,0.6662930583576179,0.9778585786922073
CVNA,1.0032176518665876,0.8022314583983402,375.8855498325423,468.55,0.13,False,0.3852069769140054,0.8953324474690778
