symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2
SBUX,1.0291341510037877,1.029599579715788,87.07323645656417,84.57,0.14,False
BILL,1.0285792796247133,1.0290355939704223,56.833635854986426,55.23,0.13,False
MNMD,1.0241779148708996,1.027887636621447,13.804530959826035,13.43,0.25,True
UIS,1.0230958047006606,1.0266351757055656,2.8848448437326395,2.81,0.48,True
PMTS,1.0228691351043582,1.0263728741716474,15.590603958667323,15.19,,
DHR,1.0252045344242549,1.0256056241349238,237.3969338185108,231.47,0.15,False
NX,1.0220497700547828,1.0254248553652705,15.699254535642293,15.31,-0.52,False
AHL,1.0247318808505625,1.0251252647040432,37.9808910572848,37.05,0.27,True
SNDX,1.0205842780678123,1.0237298371807149,22.112564483103444,21.6,0.18,False
CBZ,1.0197595833475237,1.0227763053496102,53.70598379390803,52.51,0.23,True
PAR,1.0195480060044912,1.0225317124986824,38.05863033920096,37.22,0.24,True
UHS,1.0207877063297652,1.0211170615514609,231.87526233710577,227.08,0.29,True
ASIX,1.0169444484285597,1.0195231517435026,17.444041126331328,17.11,0.25,True
UAL,1.0187585666520167,1.019055172559168,116.99772436151808,114.81,0.15,False
CRNX,1.0161906944210528,1.0186525831313524,49.61856732432818,48.71,0.33,True
PEP,1.018233458289638,1.0185216103595034,146.40229627307502,143.74,0.11,False
PRCT,1.0155654169145636,1.0179305509420908,33.46955651497595,32.88,0.4,True
LW,1.0147450176833372,1.0169834090159273,43.201455214996585,42.48,-0.12,False
UPWK,1.0162812339004414,1.016538032940065,21.316802550753163,20.97,-0.07,False
UTZ,1.0140139355896265,1.0161395786261052,10.486560451421406,10.32,-0.24,False
BMRN,1.0134333845346284,1.0154696257987461,61.090652688052565,60.16,0.38,True
XOM,1.0149435394458324,1.0151789243000993,121.02963135505784,119.22,0.21,True
FLOC,1.0129053994206876,1.0148604348034502,18.287785035158173,18.02,,
FI,1.0126279042690078,1.0145402985357383,68.93801328550342,67.95,0.0,False
ZM,1.0137144753737621,1.0139302347710517,89.01293531055063,87.79,,
XPO,1.0136051591635469,1.0138191753276151,143.09043840573958,141.14,-0.05,False
CAL,1.0118525143340142,1.0136458996395916,13.32944358026063,13.15,-0.1,False
IMVT,1.0114883642215233,1.0132259303470996,27.235513007730034,26.88,-0.02,False
QUAD,1.011064501119609,1.0127371524849034,6.511899890477928,6.43,-0.31,False
WELL,1.0123915104375663,1.0125861982199384,190.06242940588243,187.7,0.26,True
AXON,1.0104817068939003,1.0120652042938765,598.2823455183251,591.15,0.06,False
LKQ,1.0098993024156577,1.011393822439877,30.604777067030682,30.26,0.29,True
MD,1.0104907192344552,1.0106552286422086,22.012070879827306,21.78,0.23,True
IMXI,1.0102624791145471,1.0104233724731,15.545363585498643,15.385,0.08,False
AENT,1.0084823002832244,1.0097608246523968,8.012452143616768,7.935,0.17,False
ALK,1.0079953841501093,1.0091998468652086,51.85268813193442,51.38,-0.12,False
AHCO,1.0079402514761706,1.0091363334634569,10.333556054665799,10.24,-0.42,False
GDYN,1.0078509657442352,1.009033477611107,9.353740337454962,9.27,0.27,True
SHOP,1.0085755285743567,1.0087097462034975,170.92586649418263,169.45,0.21,True
DBRG,1.0071645463449332,1.00824282419963,13.732267265598958,13.62,0.49,True
DOX,1.0070956067123595,1.008163424923734,82.01409461754575,81.35,0.24,True
SPB,1.0069462980233517,1.0079914684636615,60.31820947286551,59.84,0.3,True
DXCM,1.0069364994902221,1.0079801839160347,67.95802399961906,67.42,-0.45,False
BRZE,1.0067049034714453,1.0077134743990415,36.10637378771765,35.83,,
HTO,1.006261442024987,1.007202828924957,49.755819748892876,49.4,0.31,True
COP,1.0061899726411712,1.0071205383225408,92.45366541800924,91.8,0.18,False
AAPL,1.006807462716391,1.006913818232631,275.7030725702767,273.81,0.12,False
STZ,1.005997939647893,1.0068994382131842,141.45930207457025,140.49,0.19,False
LNTH,1.0056990056921211,1.006555281299417,67.11710615704513,66.68,-0.42,False
CLS,1.0056698282044325,1.006521691465649,310.6025287693846,308.59,0.36,True
SLP,1.0053115309620795,1.0061092348386014,19.297175124204376,19.18,0.15,False
LFST,1.005303692585078,1.0061002121241545,7.133250503960254,7.09,-0.12,False
SLB,1.0051976073888256,1.0059781000921946,38.19698846050063,37.97,0.33,True
CVE,1.005371304062677,1.0054551003673382,16.82126382914557,16.73,-0.64,False
WMT,1.0051069226795835,1.005186573161728,112.18887343058046,111.61,0.09,False
DIS,1.0043499276950867,1.0050024960780908,115.05268575101984,114.48,0.26,True
CVS,1.004166883966087,1.0047918614417164,79.49913207726861,79.12,0.39,True
ALAB,1.0040849469755122,1.0046975774952587,170.7684472468691,169.97,0.18,False
BA,1.0038099974833554,1.004381213161924,219.11580546340537,218.16,0.21,True
CDE,1.0030497174603619,1.003506549617921,18.78564260884748,18.72,0.36,True
GOOGL,1.003392461730155,1.003445280842653,315.1721282598689,314.09,0.22,True
VERA,1.0029520078310954,1.0033941540561995,55.85895255630863,55.67,0.14,False
SPNT,1.0027550325937025,1.0031675830584401,22.731777432104252,22.66,,
GE,1.00225915015958,1.0025972527189686,317.5726797987333,316.75,0.26,True
ITGR,1.002084776291981,1.0023967197960335,78.89864581514578,78.71,-0.3,False
CG,1.0018899573474056,1.002172687036339,61.12251218234631,60.99,-0.12,False
CSTM,1.001863548625179,1.0021423192325243,18.940489833494706,18.9,0.28,True
HAL,1.0018372341940693,1.0021120600937519,28.089201044427867,28.03,0.27,True
GPCR,1.0015124394631982,1.0017385960585634,69.81116275932128,69.69,0.22,True
HBM,1.001263037224922,1.0014518463900723,19.888833669306837,19.86,-0.04,False
CHMI,1.001111900943942,1.0012780881784944,2.7635275233726446,2.76,,
TBLA,1.001111900943942,1.0012780881784944,4.325521340931096,4.32,0.36,True
MRVL,1.0011045743276985,1.0012696651207798,86.59981333629624,86.49,0.42,True
QCOM,1.0006306548038892,1.000724861819834,174.8966841002524,174.77,0.17,False
PRU,1.0004380097604757,1.000503425042459,114.60766733861367,114.55,0.12,False
FSLR,0.9997480033237945,0.9997103982996599,272.1311675211504,272.21,0.26,True
BIIB,0.999665074884134,0.9996598799215193,176.2700266265615,176.33,0.21,True
DDL,0.9987633943433525,0.9985790666721442,2.7161350613482327,2.72,,
ASML,0.9986811688636701,0.9984846033099491,1063.905314518817,1065.52,0.39,True
CVNA,0.9986760249366041,0.9984786938727344,440.8982368533833,441.57,,
TX,0.9984609118028948,0.9982315761052277,38.092516944175486,38.16,0.25,True
TWLO,0.9958455928480703,0.9957814046008236,139.71808887954157,140.31,,
MDB,0.9959024588686148,0.9952936914190532,433.46035554991187,435.51,,
TXG,0.9949226670139864,0.9948442927984186,16.603951246805607,16.69,,
HLF,0.9908587172664983,0.9895085004247699,14.031230536023237,14.18,0.47,True
AMTM,0.9878932352126267,0.9877076945985335,29.542337145442136,29.91,0.17,False
IBM,0.9852679517212906,0.9850427868290265,300.0046311566483,304.56,0.2,False
PACS,0.9818262329765062,0.9815494498645095,36.62160997444485,37.31,-0.14,False
TSLA,0.9506607754989496,0.9499335518490374,461.09774606752273,485.4,0.07,False
MU,0.933867833595357,0.9329105619229286,267.4467998920652,286.68,0.3,True
ERIE,0.8468408164431496,0.8448331275090425,239.93260821256806,284.0,-0.21,False
AMRK,1.0113866186002158,,29.633426453548356,,,
