symbol,actual1_T
AAPL,261.05
ACCO,4.01
ADV,0.8328
AENT,7.57
AHCO,10.61
AHL,37.27
AII,19.26
ALAB,180.56
ALIT,1.61
ALK,47.85
AMRK,
AMTM,34.3
AMZN,242.6
ARCO,7.8
ARDT,8.84
ASIX,18.21
ASML,1270.16
ATR,123.5
AVGO,354.61
AVNW,21.62
AXON,641.51
BA,244.55
BABA,167.01
BHVN,10.97
BIIB,178.3
BILL,51.26
BMRN,55.2
BRZE,29.14
BTM,1.37
BWMX,16.22
CAL,14.0
CBZ,53.64
CCJ,108.92
CDE,20.96
CG,65.49
CHA,12.14
CHE,448.44
CHMI,2.6
CIVI,26.37
CLDX,25.93
CLS,328.56
CMPS,7.37
CON,20.28
COP,96.46
COUR,6.55
CPRX,22.35
CRM,241.06
CRNT,2.23
CRNX,54.31
CRTO,20.66
CSTM,21.97
CTRA,25.2
CVE,17.62
CVNA,468.55
CVS,80.68
CVX,163.87
CWAN,24.11
CWT,44.52
DAR,40.04
DAVA,6.64
DBRG,15.35
DDI,9.09
DDL,2.92
DDOG,125.5
DHR,235.56
DIS,112.98
DOX,82.81
DUOL,165.8
DVN,36.84
DXCM,70.25
EEFT,71.94
EFX,217.56
ENOV,24.66
ERIE,281.41
EVH,4.01
FANG,151.21
FI,66.75
FINV,5.22
FLOC,19.7
FSLR,241.36
GDEV,16.4499
GDYN,9.24
GE,327.23
GOOGL,335.97
GPCR,77.92
HAL,32.61
HBM,22.51
HLF,15.61
HQY,84.28
HRTG,25.48
HTO,52.11
IBM,303.16
IDYA,35.09
IMCR,32.3
IMVT,26.18
IMXI,15.5
INSW,55.85
ITGR,82.74
JANX,13.79
KELYA,10.09
KINS,16.32
KNF,78.75
KO,71.24
KOP,28.74
KRO,5.22
LFST,7.25
LKQ,33.32
LNTH,65.84
LVO,3.96
LW,41.87
MA,544.99
MANH,173.18
MATV,13.26
MAX,11.6
MD,22.17
MDB,411.19
MDLZ,55.94
MDXG,5.88
META,631.09
MNKD,5.64
MNMD,14.87
MPAA,13.17
MRVL,83.05
MSFT,470.67
MTDR,42.66
MU,338.13
NESR,17.77
NRDS,13.07
NVDA,185.81
NX,17.81
PACS,42.13
PAR,39.25
PEP,143.48
PFE,25.15
PFGC,92.17
PG,144.24
PMTS,13.62
PRCT,30.58
PRU,116.58
QCOM,165.29
QUAD,6.17
RARE,24.11
RCI,35.66
RCKT,3.8
SBUX,90.56
SHOP,167.44
SLB,45.9
SLGN,42.47
SLP,19.87
SLVM,52.28
SMCI,28.6
SMP,38.85
SNDX,20.47
SNPS,511.8
SPB,63.95
SPGI,542.16
SPNT,19.94
SPRY,11.31
SSTK,18.69
STZ,153.16
TBLA,4.26
TCOM,75.68
TEAD,0.6433
TNC,78.1
TRVG,2.9
TSLA,447.2
TWLO,129.83
TX,41.56
TXG,20.52
TXO,10.86
UAL,114.41
UBER,85.41
UHS,201.81
UIS,3.25
UPWK,20.25
UTL,49.12
UTZ,10.35
VCEL,37.05
VERA,49.1
W,119.05
WDAY,199.55
WELL,188.25
WMT,120.36
XOM,126.54
XPO,147.22
ZBH,88.34
ZM,83.19
ZTS,124.62
