bin,count,mean_delta_f10_act_pct
<0%,23,-2.208314156015708
0-2%,15,1.1407485874749261
2-5%,44,2.8814559124507033
5-10%,42,6.808395278194465
10-20%,37,12.764399947605783
>20%,34,25.191718645763686
