symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,pct_above_sma200,bb_percent_b,f10_over_ma20_x
QUAD,1.1192739480091929,1.121349,6.963578474944843,6.210000,,,
RARE,1.0458779703890269,1.053090,24.642301709496675,23.400000,,,
RCI,1.0345266800976944,1.035081,38.39116144981826,37.090000,,,
RCKT,1.2618153743081524,1.266962,4.789117196552436,3.780000,,,
SBUX,0.9986334619547521,0.998612,95.69701556324502,95.830000,,,
SHOP,1.077977418961264,1.079283,148.55254642783447,137.640000,,,
SLB,0.9978653877193732,0.997832,49.2130909430009,49.320000,,,
SLGN,1.0036094977962493,1.004151,43.33913683909779,43.160000,,,
SLP,1.0032880596490612,1.003781,20.848525737686703,20.770000,,,
SLVM,1.0514428121164465,1.052283,54.05576411485532,51.370000,,,
SMCI,1.0117083194880632,1.013480,32.88741289820797,32.450000,,,
SMP,1.0470271824399306,1.047792,41.618287646227834,39.720000,,,
SNDX,1.227924870871368,1.232283,25.6191603307884,20.790000,,,
SNPS,1.0232660327953715,1.023636,521.5116103712639,509.470000,,,
SPB,1.0050976654910917,1.005863,65.62250623005983,65.240000,,,
SPGI,1.0038272760335003,1.004401,542.1757103061855,539.800000,,,
SPNT,1.064770485356679,1.065842,21.274199139696197,19.960000,,,
SPRY,1.0457927138164147,1.052990,11.13010936334344,10.570000,,,
SSTK,1.1098376551721183,1.111732,21.45643390581102,19.300000,,,
STZ,1.0159882243494576,1.016240,163.33014551356328,160.720000,,,
TBLA,1.0409083228539966,1.041569,4.312097506388787,4.140000,,,
TCOM,1.1028742048387268,1.104637,68.59798463516454,62.100000,,,
TEAD,1.0083534354872123,1.009612,0.768718844145331,0.761400,,,
TNC,1.0103494154422852,1.011913,80.17384255805464,79.230000,,,
TRVG,1.1229228720309343,1.125069,3.1501923501214266,2.800000,,,
TSLA,0.978158945130184,0.977828,439.39659739527946,449.360000,,,
TWLO,1.0392775382037445,1.039911,131.46558598276218,126.420000,,,
TX,0.9977026981509401,0.997361,43.23558554626117,43.350000,,,
TXG,0.9942865215873563,0.993439,23.037856383232015,23.190000,,,
TXO,1.0204167467423901,1.023536,11.391956953064238,11.130000,,,
UAL,1.0508718557958585,1.051702,116.10790062856147,110.400000,,,
UBER,1.0865620275256314,1.088023,89.8272083379629,82.560000,,,
UHS,1.0556720612463344,1.056585,217.35004952302344,205.710000,,,
UIS,1.0181931538061801,1.020966,3.0322684560562534,2.970000,,,
UPWK,1.0336432030809373,1.034183,21.85228801923779,21.130000,,,
UTL,1.0046380731825548,1.005334,50.528091776321006,50.260000,,,
UTZ,1.0103704405722178,1.011937,10.635457135601023,10.510000,,,
VCEL,1.1038784921290448,1.105661,43.27555522928208,39.140000,,,
VERA,1.1390344858579702,1.141497,55.60802663846606,48.715000,,,
W,1.009462842078853,1.009611,111.20866041808861,110.150000,,,
WDAY,1.115569369444126,1.117573,210.30495972286153,188.180000,,,
WELL,1.0391210641736017,1.039752,189.19331034428026,181.960000,,,
WMT,1.01307227292091,1.013278,119.39452278535262,117.830000,,,
XPO,1.0111201924336455,1.011295,151.2896846081808,149.600000,,,
ZBH,1.0435281617022611,1.044233,91.41219389374773,87.540000,,,
ZM,1.0354702007536076,1.036040,87.7008194314376,84.650000,,,
ZTS,1.0697311635721043,1.070890,133.21869343343755,124.400000,,,
