bin,count,mean_f10_vs_a1_pct,trend_7d
<0%,25,-2.5215540650412223,
0-2%,12,0.9678390515613792,
2-5%,28,3.3836740894226423,
5-10%,42,7.243774396010412,
10-20%,41,13.80719201927205,
>20%,35,33.98795952266554,
