symbol,actual1_T
AAPL,247.65
ACCO,4.03
ADV,0.7969
AENT,7.53
AHCO,10.52
AHL,37.28
AII,19.63
ALAB,176.005
ALIT,1.56
ALK,48.96
AMTM,34.67
AMZN,231.31
ARCO,7.62
ARDT,8.54
ASIX,17.02
ASML,1360.09
ATR,125.01
AVGO,328.8
AVNW,21.66
AXON,610.25
BA,250.07
BHVN,12.87
BIIB,172.62
BILL,44.39
BMRN,56.77
BRZE,24.14
BTM,1.26
BWMX,18.71
CAL,14.04
CBZ,44.97
CCJ,122.33
CDE,22.91
CG,62.42
CHA,11.9
CHE,453.53
CHMI,2.69
CIVI,27.22
CLDX,26.17
CLS,309.76
CMPS,7.0
CON,21.99
COP,97.15
COUR,6.35
CPRX,24.13
CRM,221.58
CRNT,2.31
CRNX,55.41
CRTO,19.26
CSTM,23.01
CTRA,26.75
CVE,18.49
CVNA,455.02
CVS,80.8398008278841
CWAN,24.33
CWT,44.64
DAR,41.62
DAVA,6.6
DBRG,15.34
DDI,8.83
DDL,2.78
DDOG,123.46
DHR,242.05
DIS,113.19
DOX,82.84
DUOL,146.81
DVN,37.75
DXCM,72.11
EEFT,73.43
EFX,212.01
ENOV,23.68
ERIE,279.9
EVH,3.8
FANG,153.0
FINV,5.06
FLOC,20.98
FSLR,243.72
GDEV,18.3
GDYN,8.73
GE,318.5
GOOGL,328.38
GPCR,93.79
HAL,33.36
HBM,24.05
HLF,17.34
HQY,84.59
HRTG,25.93
HTO,52.84
IBM,297.54
IDYA,36.01
IMCR,35.29
IMVT,26.02
IMXI,15.51
INSW,58.07
ITGR,87.0
JANX,13.27
KELYA,10.12
KINS,16.01
KNF,80.32
KO,72.01
KOP,29.52
KRO,5.49
LFST,7.21
LKQ,33.79
LNTH,66.44
LVO,4.28
LW,44.32
MA,527.57
MANH,166.04
MATV,12.58
MAX,11.06
MD,22.07
MDB,381.44
MDLZ,57.35
MDXG,5.33
META,612.96
MNKD,5.71
MPAA,13.42
MRVL,82.55
MSFT,444.11
MTDR,43.76
MU,389.11
NESR,19.84
NRDS,12.9
NVDA,183.32
NX,18.96
PACS,36.07
PAR,33.39
PEP,146.74
PFE,25.4631326687117
PFGC,95.8
PG,145.039171518741
PMTS,13.595
PRCT,30.95
PRU,109.49
QUAD,6.21
RARE,22.75
RCI,36.75
RCKT,3.69
SBUX,96.43
SHOP,138.54
SLB,48.52
SLGN,42.77
SLP,20.43
SLVM,51.33
SMCI,32.24
SMP,40.16
SNDX,20.52
SNPS,521.95
SPB,63.89
SPGI,531.16
SPNT,20.01
SPRY,10.44
SSTK,18.99
STZ,163.38
TBLA,4.09
TCOM,62.1
TEAD,0.6883
TNC,79.66
TRVG,2.805
TSLA,431.44
TWLO,120.27
TX,43.37
TXG,22.68
TXO,11.04
UAL,110.96
UBER,84.26
UHS,203.68
UIS,2.99
UPWK,19.69
UTL,50.44
UTZ,10.36
VCEL,37.72
VERA,45.77
W,110.39
WDAY,183.41
WELL,186.0
WMT,119.36
XPO,149.82
ZBH,86.55
ZM,81.18
ZTS,125.08
