symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,spy_trend_bin,rule_4a
DDI,1.0290879366479406,1.0335757218782886,9.178152410279203,8.88,0.34,True,<0,False
CRNT,1.0273761418927936,1.0315917180530443,2.4139246202441234,2.34,0.45,True,<0,True
MDB,1.0279784403665002,1.0284248962295306,416.1418500103173,404.64,,,<0,False
CWAN,1.0275785192508649,1.0280184195812427,24.970567411628387,24.29,0.29,True,<0,False
PG,1.0263461001739753,1.0267658303503597,153.94300094442946,149.93,0.15,False,<0,False
BIIB,1.0252976930280269,1.0257003023715865,178.26671255218173,173.8,0.14,False,<0,False
PFE,1.0251752395088183,1.025575851408063,26.76752972175045,26.1,0.13,False,<0,True
PRU,1.024989768611621,1.0253873560370264,111.53138271614735,108.77,0.06,False,<0,False
DHR,1.0245574534999664,1.0249479953762284,246.06951472992492,240.08,0.23,True,<0,True
KOP,1.0208248999954328,1.024008094408936,30.157038380343167,29.45,0.04,False,<0,True
SNPS,1.0232660327953715,1.0236355631759748,521.5116103712639,509.47,0.2,False,<0,True
TXO,1.0204167467423901,1.023536114381333,11.391956953064238,11.13,-0.19,False,<0,True
AHL,1.0231464427487609,1.0235140300536087,38.13613275979746,37.26,0.39,True,<0,False
PEP,1.0228771014756468,1.0232403142284028,147.75590137458136,144.4,0.11,False,<0,True
KELYA,1.018736014614731,1.0215931580397533,10.59392104887224,10.37,,,<0,True
UIS,1.0181931538061801,1.0209658101199506,3.0322684560562534,2.97,0.35,True,<0,False
ASIX,1.0169698616641962,1.0195525068710038,17.434347867494168,17.1,-0.09,False,<0,False
CRNX,1.0143222004184103,1.0164953618960566,55.85642013618831,54.95,0.35,True,<0,True
STZ,1.0159882243494576,1.0162403279838432,163.33014551356328,160.72,0.17,False,<0,True
DAVA,1.0140180020658107,1.0161442717283518,6.950426818621926,6.84,,,<0,True
NX,1.0122106437547242,1.0140589699634397,19.46993222329804,19.2,-0.04,False,<0,True
BHVN,1.0119465086476715,1.0137543094092636,13.949259297471468,13.76,0.23,True,<0,True
SMCI,1.0117083194880632,1.0134795962467786,32.88741289820797,32.45,0.1,False,<0,True
