symbol,actual1_T
AAPL,283.1
ACCO,3.48
ADV,0.9291
AENT,6.43
AHCO,9.75
AHL,37.0
AII,20.69
ALAB,165.19
ALIT,2.36
ALK,42.52
AMTM,28.21
AMZN,233.88
ARCO,7.45733333333333
ARDT,8.79
ASIX,15.28
ASML,1087.99
ATR,123.28
AVGO,385.346436714411
AVNW,21.28
AXON,533.21
BA,186.46
BHVN,9.32
BIIB,177.78
BILL,50.67
BMRN,55.03
BRZE,28.33
BTM,1.41
BWMX,14.79
CAL,12.3648239700375
CBZ,48.61
CCJ,87.53
CDE,16.96
CG,54.06
CHA,14.9015017064846
CHE,437.73
CHMI,2.36716981132075
CIVI,29.1780316344464
CLDX,25.92
CLS,318.37
CMPS,5.24
CON,20.4776290538078
COP,90.26
COUR,8.09
CPRX,22.69
CRM,232.454970844014
CRNT,1.98
CRNX,45.25
CRTO,19.41
CSTM,16.89
CTRA,26.95
CVE,17.7339432833315
CVNA,375.26
CVS,78.4688703581499
CWAN,21.29
CWT,45.21
DAR,36.77
DAVA,6.25
DBRG,9.53378501628664
DDI,9.11
DDL,1.72
DDOG,157.9
DHR,223.829018383628
DIS,106.050137540453
DOX,75.0586830706961
DUOL,185.45
DVN,37.6104421862126
DXCM,63.52
EEFT,74.52
EFX,208.94
ENOV,29.36
ERIE,292.262908815305
EVH,4.0
FANG,156.16
FINV,5.14
FLOC,16.87
FSLR,263.54
GDEV,24.709
GDYN,8.68
GE,288.117109059434
GOOGL,314.679357818622
GPCR,34.57
HAL,26.4657961552412
HBM,16.86
HLF,12.63
HQY,102.41
HRTG,28.57
HTO,46.86
IBM,305.67
IDYA,34.31
IMCR,37.59
IMVT,22.75
IMXI,15.3
INSW,50.6110520047638
ITGR,71.75
JANX,33.99
KELYA,8.72
KINS,15.01
KNF,73.81
KO,71.95
KOP,29.62
KRO,4.87
LFST,6.41
LKQ,29.47
LNTH,59.08
LVO,4.64
LW,59.5
MA,543.148963064485
MANH,176.58
MATV,12.3
MAX,12.62
MD,24.08
MDB,328.87
MDLZ,55.8809497515185
MDXG,6.67
META,640.350804663328
MNKD,5.43
MPAA,13.17
MRVL,91.0343659942363
MSFT,486.74
MTDR,43.51
MU,240.366097424317
NESR,13.96
NRDS,15.41
NVDA,179.910189214243
NX,13.0251578947368
PACS,33.52
PAR,34.32
PEP,148.057703194086
PFE,24.8533550613497
PFGC,95.4
PG,146.409526555684
PMTS,13.4
PRCT,30.41
PRU,108.22
QUAD,5.76
RARE,33.37
RCI,38.5584078507756
RCKT,3.16
SBUX,84.91
SHOP,149.28
SLB,36.3243028941456
SLGN,39.34
SLP,17.11
SLVM,47.365301777594
SMCI,33.41
SMP,37.35
SNDX,19.12
SNPS,438.29
SPB,57.95
SPGI,495.27
SPNT,21.02
SPRY,9.4
SSTK,19.7096450617284
STZ,136.967211273031
TBLA,4.06
TCOM,70.28
TEAD,0.6463
TNC,72.51
TRVG,3.17
TSLA,430.14
TWLO,127.56
TX,37.23
TXG,18.08
TXO,12.44
UAL,101.12
UBER,86.57
UHS,239.43
UIS,2.65
UPWK,19.88
UTL,49.94
UTZ,9.7809206137425
VCEL,38.82
VERA,33.0
W,110.04
WDAY,213.35
WELL,203.9
WMT,111.305862231154
XPO,143.43
ZBH,94.5101658793804
ZM,84.94
ZTS,126.705098165953
