symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,spy_trend_bin,rule_4a,stop_loss_pct
FINV,1.0299050961184626,1.0345231849295278,5.358830097934954,5.18,,,<0,True,-0.06783997064527669
KELYA,1.0267344123373634,1.0308482032094297,9.081772670275075,8.81,,,<0,False,-0.058371745755713245
CVE,1.029732110974401,1.0302073727063878,17.163254829288423,16.66,,,<0,False,-0.0036027534252305315
RARE,1.024132976678528,1.027835615971033,34.4324931350296,33.5,,,<0,False,-0.046850200288143795
SNDX,1.023740011027089,1.0273807470343246,21.338698115902922,20.77,,,<0,True,-0.11749498315042428
UHS,1.025829173084927,1.0262404573380823,233.42865442612023,227.46,,,<0,False,-0.05046007844111933
AHL,1.0243527747180674,1.024739982948972,38.017853367406865,37.1,,,<0,False,-0.0056612878538598865
PMTS,1.0209953019463365,1.0242051607914504,16.172199488897,15.79,,,<0,False,-0.2738088704698749
BIIB,1.0236852043784528,1.0240615489394904,179.00595875462295,174.8,,,<0,False,-0.030266357630702956
UIS,1.0207367561555896,1.0239061618013068,2.8771763146616722,2.81,,,<0,False,-0.12226617111296278
ITGR,1.0228325856920952,1.023195075654566,80.40266904493579,78.58,,,<0,True,-0.1437571522138289
WMT,1.0212557486821947,1.0215926763106116,116.82933846288154,114.36,,,<0,False,-0.07976469143148979
ENOV,1.0185894197967058,1.0214237381668725,27.333299233345507,26.76,,,<0,False,-0.0537612012295412
ASIX,1.0183874482874644,1.0211903315390976,16.910911890287455,16.56,,,<0,True,-0.12172416656401241
PFE,1.0036746201581626,1.0210604225133602,25.296439183505026,24.7746740797546,,,<0,False,-0.014938678125282379
SBUX,1.0203130844365624,1.0206347678584375,90.15266904493579,88.33,,,<0,True,-0.0698942390373668
MNKD,1.0164124642544803,1.018908701818823,5.950426818621926,5.84,,,<0,True,-0.12787996547945524
PAR,1.0157626454172008,1.018158283757593,37.80421707591943,37.13,,,<0,True,-0.128296940820803
PRCT,1.0155068572225916,1.0178629367130323,32.63268575101982,32.06,,,<0,False,-0.1006504331469128
TX,1.0165526353826484,1.0168137859790718,37.84580911414105,37.22,,,<0,False,-0.04346172581162788
CBZ,1.0145908121228007,1.0168054063416494,53.20942691385851,52.33,,,<0,False,-0.08174034016937459
DAVA,1.0140180020658107,1.0161442717283518,6.950426818621926,6.84,,,<0,True,-0.11823362139714433
IMVT,1.013607439811608,1.0156704724493677,27.09808820494913,26.68,,,<0,True,-0.21357604530892682
NESR,1.0134268524824568,1.0154620885072216,14.947601942826305,14.72,,,<0,False,-0.06698856089535199
FLOC,1.0128398012290762,1.0147847541091222,18.316864811669657,18.05,,,<0,True,-0.10913262286763215
STZ,1.0070540316428773,1.0147603108382803,136.10567943365976,134.125938884252,,,<0,False,-0.04083514891842577
TNC,1.0126518676029024,1.0145679431318668,75.66647719877463,74.58,,,<0,False,-0.054237160107069804
VERA,1.01244643364176,1.0143309567097418,51.95403160267297,51.22,,,<0,True,-0.48174116640152165
CON,1.0123400926098531,1.0142082885514574,19.706067046554818,19.43,,,<0,False,-0.02771876173800658
UTZ,1.0112340923282588,1.0129327092024492,10.402818923509152,10.27,,,<0,True,-0.13276043955231376
AAPL,1.0127107235600006,1.012910490579608,277.20321395692133,273.67,,,<0,False,-0.014315536215972924
FSLR,1.0125292501639296,1.0127261292313685,270.37762198219076,266.98,,,<0,False,-0.07265040669172318
QUAD,1.0108317376014202,1.0124687675156994,6.550672925826574,6.47,,,<0,True,-0.17161000545841354
MRVL,1.0104275211274725,1.0120027353146817,85.03799927052759,84.029416426513,,,<0,False,-0.08909307442793923
DAR,1.0102735196074908,1.011825197578157,34.77643204076125,34.37,,,<0,False,-0.02527601118956546
LKQ,1.0102600223501574,1.0118096379102317,30.091218631450293,29.74,,,<0,False,-0.048030766157716065
DUOL,1.0102378116365234,1.0117840334874144,188.15135886731957,185.96,,,<0,False,-0.09171802024139875
IMXI,1.0106969631846061,1.0108647415649488,15.526882430437611,15.36,,,<0,False,-0.01782311986760976
TEAD,1.0093207869288052,1.010727039450871,0.7488476635291503,0.7409,,,<0,False,-0.23931492618535544
AHCO,1.0091162716764275,1.0104913476958868,10.074598736527992,9.97,,,<0,False,-0.0907990979829656
AVGO,1.009098711543869,1.0104711113515203,343.2704819061137,339.713306050862,,,<0,False,-0.06310497275645754
GDYN,1.0090943291933654,1.010466061135483,9.417543689782702,9.32,,,<0,False,-0.10961276299155054
PRU,1.0097566211887363,1.0099095060034076,116.12949409533182,114.99,,,<0,True,-0.09223849796673667
AENT,1.0085558150539604,1.0098455283724437,7.89699203187251,7.82,,,<0,True,-0.21344087652900123
KNF,1.0085092124672386,1.009791832655278,74.17930802685672,73.46,,,<0,False,-0.029833373257328155
BRZE,1.0084395741393315,1.0097115964439765,35.814470325867845,35.47,,,<0,True,-0.2857330307120046
ATR,1.0082898319945666,1.009539071502727,122.54794788971604,121.39,,,<0,False,-0.03514461861481821
CSTM,1.008099646230391,1.0093199607045868,18.93484246281805,18.76,,,<0,True,-0.17219296759969538
SPB,1.0080188507787669,1.009226880977923,60.29121386962112,59.74,,,<0,False,-0.06770327886401262
MD,1.0089054328179512,1.009044860161783,22.108172886144665,21.91,,,<0,False,-0.055139656412862004
CLS,1.00769345684435,1.0088520363630105,294.87736170854436,292.29,,,<0,False,-0.08658477118912578
DOX,1.0075166860847162,1.0086484167258771,80.64812047315074,79.9566222836482,,,<0,True,-0.07896186052542353
KINS,1.0071768745527696,1.0082570230374521,17.07987397025444,16.94,,,<0,True,-0.16798212058925843
LFST,1.0069586787012133,1.0080057268031657,7.106440373962318,7.05,,,<0,True,-0.12297479190951
WDAY,1.0066345009484972,1.0076324014354958,220.29867192584243,218.63,,,<0,False,-0.04294826399072371
HTO,1.0065638409892568,1.007551033732801,49.31962310122062,48.95,,,<0,True,-0.08816746344931159
MAX,1.0065201997481585,1.0075007799975395,12.896009983968508,12.8,,,<0,False,-0.06934252134658159
SLP,1.0065131517370844,1.0074926641376063,18.890487452580118,18.75,,,<0,False,-0.12429271076366888
LW,1.0064930988785492,1.0074695731506007,44.26821304423739,43.94,,,<0,False,0.17353863890672594
DVN,1.006301676752135,1.0072491563873986,36.09980976492437,35.84,,,<0,False,-0.024469522077391614
CCJ,1.006281792866801,1.0072262614203578,90.640291265218,89.99,,,<0,False,-0.09434650610996098
CVS,1.006177026081119,1.0071056317047429,77.6477245770345,77.0998812166297,,,<0,False,-0.031163194044701803
HRTG,1.006021962592897,1.0069270967022272,29.1606087204965,28.96,,,<0,False,-0.0717398310661862
COP,1.005911065048074,1.0067994179885278,92.56513848986525,91.94,,,<0,False,-0.06991944709365272
DBRG,1.0057023014421358,1.0065590754654323,13.267865010466997,13.1814071661238,,,<0,False,-0.4433908782328688
ALAB,1.005636854771998,1.0064837320003919,165.46592554086442,164.4,,,<0,False,-0.19097337832053563
CWAN,1.0055732806420576,1.0064105456503365,22.392634640719987,22.25,,,<0,False,-0.057539871252387464
SLGN,1.0053207139283824,1.0061198053295846,41.09999404771353,40.85,,,<0,True,-0.0768931239228825
KRO,1.0050799645021806,1.0058426888159748,4.646993222329804,4.62,,,<0,False,-0.036613712252339115
CG,1.004448374810301,1.0051157872807996,59.84459397469881,59.54,,,<0,True,-0.14109617476844627
UPWK,1.0042728638972396,1.0049138147445031,20.701224583736767,20.6,,,<0,False,-0.11475137807009073
ZBH,1.0040493195422444,1.0046565821401379,89.30895625040976,88.895009337581,,,<0,False,-0.003413567928444605
CHMI,1.0036285413602217,1.004172439063589,2.541314136822624,2.53075471698113,,,<0,True,-0.1380041728141549
