symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2
W,1.000770743158093,1.177012918404886,110.89815717210837,94.22,0.04,False
ENOV,1.0156932648678907,1.1396903193233807,30.817226234504215,27.04,0.25,True
CHA,1.0214575837666349,1.1369985244908933,15.36085006587197,13.51,,
MD,0.9984263687330718,1.133197113801928,24.046442754876907,21.22,,
HQY,1.00384219800725,1.132797693134255,105.64471286170061,93.26,0.31,True
BABA,1.0031090857156892,1.1241634073322617,175.32452500753956,155.96,0.26,True
ZTS,1.0088274286518315,1.1186359934017298,129.48211623625022,115.75,0.12,False
IMCR,1.0158144434846696,1.0976969096075206,40.219614768019554,36.64,0.19,False
KRO,1.0088323808943154,1.0966879047873446,5.121532515356899,4.67,0.0,False
INSW,1.022774991220419,1.094417262692371,54.19554284852621,49.52,0.21,True
KOP,1.0204742715883455,1.092849588872282,30.370290074760717,27.79,0.26,True
ATR,1.0078384421065842,1.0877560195756333,125.87512658529229,115.72,,
RCI,1.0166673430047077,1.0875427732585914,39.78231464579927,36.58,0.04,False
CDE,1.0055436016011192,1.08152582933784,17.38012007745909,16.07,0.45,True
UHS,1.0002015688504506,1.0813687169911796,243.6864403739623,225.35,0.21,True
SBUX,1.0208036868927701,1.0810758606072546,88.95092181076491,82.28,0.13,False
CWT,1.0044855355463758,1.0778549635368921,45.60404350724591,42.31,0.33,True
FSLR,0.9996792189498487,1.076550346849455,272.8193888985889,253.42,0.24,True
PACS,1.0010064176612536,1.0748280651194624,33.44864938651767,31.12,0.32,True
CVX,1.0240734834480152,1.073233200258485,159.36439790638244,148.49,0.18,False
CON,1.0102009177029903,1.0722373863481467,20.801405295154044,19.4,0.19,False
AII,1.0048698539176626,1.0671888598823158,21.258402088855732,19.92,0.07,False
KO,1.0210979338974875,1.065588961668258,74.6871303233282,70.09,0.2,False
WELL,0.9985307122951285,1.0616367447772566,207.86847462738686,195.8,0.34,True
BMRN,1.0164564381569863,1.0604838890944053,56.99040419993334,53.74,0.07,False
VCEL,1.0093896766306791,1.0600562524467234,40.68495896890525,38.38,,
DDOG,1.008479495825673,1.0589979191115482,161.5713125188489,152.57,0.12,False
ZBH,1.0016088988760152,1.058852972837858,97.70036380374914,92.27,0.16,False
IDYA,1.0099209989706082,1.057122616840496,36.026738781924095,34.08,0.07,False
ARCO,1.008884884863728,1.0532425156865641,7.667605514198187,7.28,0.05,False
TXG,0.9965218192934807,1.0501596645237958,18.73484841510452,17.84,,
SLGN,1.0072370011540521,1.0479825246778822,39.97005349121443,38.14,0.46,True
ARDT,1.0207283702313363,1.0465437666334878,8.98981095538166,8.59,0.01,False
SNDX,1.0248068449449905,1.0449597339871208,20.38716441008873,19.51,0.42,True
DAR,1.006947801949892,1.0415645235491986,36.902631069348104,35.43,0.28,True
PEP,1.0089927635513474,1.0377387118727959,150.0985272852812,144.64,0.19,False
HRTG,1.0059207811123279,1.0371577322706012,29.247848050030953,28.2,0.07,False
MATV,1.008558077343382,1.0364012494904118,12.613003206298313,12.17,0.13,False
BIIB,0.9991218937321573,1.034498760483733,181.90626204345963,175.84,0.27,True
CVS,1.0036912624565804,1.0314557281834946,80.7010961730766,78.24,0.32,True
AMZN,1.006837761314322,1.031303171704713,235.0546188949382,227.92,0.23,True
AHCO,1.0100144989147595,1.0296466851538928,9.771347042110444,9.49,0.03,False
DDI,1.026527256983744,1.0295024184846715,9.59496254027714,9.32,0.0,False
SPB,1.0072234756852607,1.027175416921466,59.8432397898446,58.26,0.35,True
AHL,1.0247318808505625,1.0265105691158054,37.9808910572848,37.0,0.44,True
DHR,1.0032255440180795,1.0196706727075378,227.62108426850367,223.23,0.28,True
SHOP,1.026646804200968,1.0190419353667706,162.93461504579292,159.89,,
KNF,1.008327602001568,1.0181533599072479,75.55716083871685,74.21,0.42,True
ITGR,1.0046854138098331,1.0135327904256908,72.56894779447946,71.6,,
NRDS,1.002062020738672,1.013170503359548,15.045581974889286,14.85,,
LFST,1.0082022689773504,1.0125537395937865,6.561348232567737,6.48,0.04,False
CLS,1.0023077807426533,1.0096300965532161,345.32378192409647,342.03,0.38,True
CHMI,1.0041242346225732,1.0087941672456813,2.5018095347692895,2.48,,
GOOGL,0.9984441710639931,1.0081813347821875,319.674137632736,317.08,0.28,True
AAPL,1.002044148213553,1.0081134043963507,279.4288734305805,277.18,0.16,False
MRVL,1.0002000201485761,1.0058554742172126,89.4205516579102,88.9,,
CTRA,1.0050875294897514,1.0051024376535147,26.997051475373404,26.86,0.2,False
CVE,0.9988341621555047,1.0048492501013286,17.836074189298582,17.75,0.36,True
HLF,0.9928638772000222,1.0044318221666546,12.625708004634848,12.57,0.16,False
IMXI,1.0128022463205202,1.0024787588405626,15.438172886144663,15.4,0.12,False
TWLO,1.0017179796960844,1.002284063794603,129.9461288709703,129.65,,
XOM,1.0239568600696871,0.9995629462977416,118.19831839970794,118.25,0.28,True
DVN,1.005929071486735,0.9976672384539861,37.31275471817908,37.4,0.25,True
PAR,1.023160338950363,0.9969543386136817,35.431757194330245,35.54,0.03,False
XPO,1.0012322577715995,0.9966458049798387,142.26122220282218,142.74,0.18,False
AMTM,0.9998788065106676,0.992580179087486,28.626012364883096,28.84,0.47,True
ZM,1.0227192528936218,0.9919076635586208,86.92086855764194,87.63,,
IBM,0.9981407466013894,0.9917573216988522,307.92081324105965,310.48,0.28,True
AVGO,0.9994044944873282,0.9911251561559673,402.684239694608,406.29,0.25,True
SLVM,1.0042962740339336,0.9905127654441512,47.60404350724591,48.06,0.42,True
TX,0.9993694669774189,0.9877432506396414,36.803313518833036,37.26,0.0,False
SPNT,1.0053850054328142,0.982113152904376,20.92883128839225,21.31,0.48,True
TBLA,1.0027463790518745,0.9791586432629725,4.092883128839225,4.18,0.15,False
QCOM,1.0151345210825935,0.9746426580891211,171.53710782368532,176.0,0.2,False
HBM,1.0060375845472784,0.9719856918912951,17.077788606530056,17.57,0.24,True
PRU,1.0020162486923405,0.9715339744914222,108.50091427120203,111.68,0.2,False
UAL,1.005555380651274,0.9707806833478653,102.61151822986936,105.7,0.22,True
FANG,1.004471301285271,0.9696822652496767,153.37464389454135,158.17,0.23,True
WMT,1.0077130892636248,0.9679793378054503,111.37570260789512,115.06,0.18,False
FLOC,1.0153465379566236,0.967506602647408,17.269992857256234,17.85,,
DXCM,1.0090246818668736,0.9668202436143576,64.12918675894034,66.33,0.04,False
STZ,1.0069812915487346,0.9588852109402032,137.47537269249693,143.37,0.09,False
QUAD,1.015587094182649,0.9500918749128128,5.843065030713799,6.15,,
NESR,1.0066181027375196,0.9465048815594463,14.046132442342184,14.84,,
UPWK,1.003459536473355,0.9446389770108056,19.818525737686702,20.98,0.41,True
TSLA,0.9773276226735246,0.9440644659493981,420.26917830669356,445.17,0.09,False
ASML,0.9885838367894695,0.9426629247274083,1047.7132810590308,1111.44,0.42,True
CAL,1.0165746449126283,0.9367044197574098,11.933614307709401,12.74,0.05,False
MU,0.9973398708998034,0.933988264877395,235.75731782035203,252.42,0.27,True
ERIE,0.842778351974767,0.895553522273316,248.42654707861783,277.4,,
ALK,1.014868767827134,0.879976415072123,43.59403160267297,49.54,0.1,False
AENT,1.0149448838798096,0.8476784424412123,6.815334677227346,8.04,,
MDB,1.0280465095185074,0.8255822294530611,341.8405779273345,414.06,0.03,False
CVNA,1.0032176518665876,0.8237143072612854,375.8855498325423,456.33,,
VERA,1.0221327593466787,0.7749961752183391,34.61132918525102,44.66,0.05,False
AMRK,1.0121006488986741,,29.109990476341647,,,
