symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2
CHA,1.026859333224872,1.133671405928445,13.887474722623452,12.25,0.9,True
DDL,0.99786032679712,1.0778036972106688,2.8130676497198457,2.61,0.05,False
CRNX,1.0171041157701066,1.077311806002165,48.629854922937724,45.14,0.02,False
W,1.0288789737383752,1.0712623530962078,105.4764912858526,98.46,0.11,False
PRCT,1.0144436810665332,1.049249917822196,34.34194981032047,32.73,0.37,True
IMVT,1.0113472669034453,1.0440200762452885,27.33244559610165,26.18,0.15,False
MD,1.001251955764789,1.0438393215217867,22.588682917731465,21.64,0.19,False
UTZ,1.012573065537719,1.0437407968493781,10.854904287233534,10.4,0.43,True
PMTS,1.0197941269923065,1.0427704909515805,16.569623101220614,15.89,-0.15,False
COP,1.0050974710571747,1.0356362919934101,95.51673521055221,92.23,0.23,True
CVE,1.0013601405734804,1.0348824721277547,17.01346784178029,16.44,0.35,True
SNDX,1.0234239243275978,1.034122276131122,20.9202936461326,20.23,0.46,True
AHCO,1.0071487610389191,1.0328635646879443,10.566194266757671,10.23,-0.26,False
CAL,1.0106629556813052,1.032824094091835,13.736560451421406,13.3,0.07,False
HAL,1.0205424339946958,1.0312772553015463,28.318873430580464,27.46,0.15,False
LW,1.0282297092522015,1.030934263206377,61.165329836034346,59.33,-0.1,False
XPO,1.0006474149252358,1.0304284195949418,145.2079728893192,140.92,0.25,True
CBZ,1.0196278845692928,1.029663148689588,53.85138267646545,52.3,0.26,True
TNC,1.0116924576372621,1.0296228119777249,77.4791166013238,75.25,0.09,False
CLS,1.0095050405158081,1.0292610837843055,278.8474128188441,270.92,0.26,True
STZ,1.006177786199378,1.0285280399393966,140.71292114410883,136.81,0.06,False
XOM,1.0191301276207414,1.0270430386874827,119.69159572863923,116.54,0.12,False
LKQ,1.0100324523255442,1.026873778445182,30.498151219821906,29.7,0.08,False
UIS,1.0232726661591844,1.026839851748385,2.8751515848954776,2.8,0.42,True
VERA,1.007306625488275,1.0261682899260947,48.93796574657545,47.69,0.41,True
ENOV,1.0201809300570779,1.0247616366358079,27.996487912890274,27.32,0.25,True
UHS,1.0234763427604154,1.024578204217246,230.26370561578386,224.74,0.35,True
AHL,1.0245042950182552,1.024341467475958,38.00306844335804,37.1,0.01,False
SPB,1.0061626160277137,1.0202438076484721,61.704345486579584,60.48,,
PG,1.0038331124561666,1.020213841601631,148.46151822986937,145.52,0.19,False
WELL,1.0103147476101362,1.019476926030437,191.14172886144664,187.49,0.3,True
FI,1.0124099317247854,1.0192111341369934,69.30635712131554,68.0,-0.04,False
BIIB,1.0059673668667928,1.0190278099595966,173.14301519023508,169.91,0.05,False
MNKD,1.0154774725087294,1.0178290089623154,6.076439183505023,5.97,0.02,False
ATR,1.0081505826070638,1.0176927221948313,124.78948159553022,122.62,-0.31,False
ASIX,1.018963848167045,1.0175002103962894,16.70735345470707,16.42,,
