bin,count,mean_delta_f10_act_pct
<0%,52,-2.34069587642223
0-2%,11,2.161635486436916
2-5%,42,2.9067130099758938
5-10%,38,6.713231204828007
10-20%,27,12.297140793808005
>20%,25,28.1610073490799
