symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,spy_trend_bin,rule_4a,stop_loss_pct
PFE,1.02878281439667,1.046496828106124,26.52357847494484,25.345111196319,,,>2,False,-0.05068601448607846
NX,1.0285336435434882,1.0329331737803051,13.947469592133347,13.5027801857585,,,>2,True,-0.16557885381262027
DDI,1.0263009335266209,1.0303460508690676,9.633735575625781,9.35,,,>2,True,-0.05348085525293034
CHA,1.0258512196711165,1.0298251604071118,14.139499452389646,13.73,,,>2,False,-0.10528941751000065
XPO,1.0277927276764844,1.0282361386975163,144.80649541277123,140.83,,,>2,True,-0.10955790215766947
UHS,1.0274899851133787,1.027928434868763,232.44545697687337,226.13,,,>2,False,-0.03586492114675133
ZBH,1.0274250752507523,1.0278624616568568,95.08289520929769,92.5054652312425,,,>2,False,-0.0701040947265964
KOP,1.0231840789707414,1.0267373313062598,28.79998214314059,28.05,,,>2,False,-0.03818679396510971
AHL,1.025416845390215,1.0258213987842286,37.91435889906509,36.96,,,>2,False,-0.00466812796729521
ASIX,1.0220181172665481,1.0253882372375622,15.708947794479453,15.32,,,>2,False,-0.08589659086385681
FSLR,1.0242048098188368,1.0245896089381472,262.1719891350931,255.88,,,>2,False,-0.04558550494914504
CLDX,1.0210350065959295,1.024251079853958,30.522682179647944,29.8,,,>2,True,-0.24538289528657609
WMT,1.023776472557312,1.0241543015364258,116.0692326651988,113.331782614273,,,>2,True,-0.1419715028440247
GOOGL,1.0226063344612444,1.0229651518122809,320.9246274265488,313.72,,,>2,True,-0.1389445653522019
IMCR,1.0197264177338254,1.0227379633959401,38.97654378501928,38.11,,,>2,False,-0.09936035929664944
TEAD,1.0187877348619754,1.0216529329891928,0.5988929493182649,0.5862,,,>2,False,-0.1607411209521653
ENOV,1.0185894197967058,1.0214237381668725,27.333299233345507,26.76,,,>2,False,-0.018013084243249655
PEP,1.0205167084354585,1.0208416823702813,148.66517420358406,145.63,,,>2,False,-0.025106219443563282
VERA,1.0178051911953516,1.0205175301459055,45.95390438247013,45.03,,,>2,True,-0.5267731683107811
PMTS,1.0177201438491335,1.0204192672667969,17.306310772844874,16.96,,,>2,True,-0.35034223017257393
PRU,1.0185149432486291,1.018807625926497,113.42385299439691,111.33,,,>2,True,-0.08559143164660077
DAVA,1.0161393023026029,1.0185932335628372,6.620856018158442,6.5,,,>2,False,-0.20536749693051237
BRZE,1.0147832619114499,1.0170275563920108,30.54133751845209,30.03,,,>2,True,-0.11977616292657778
HBM,1.0146351870677996,1.0168566284186695,17.652631069348104,17.36,,,>2,True,-0.16450123719209775
MATV,1.014592211949639,1.0168070221538414,11.98815479119379,11.79,,,>2,False,-0.026443814435844315
ARDT,1.0144337233847722,1.0166240839999987,8.722634640719988,8.58,,,>2,False,-0.30793373740281627
NESR,1.014286892115479,1.0164546092209787,14.647110918874304,14.41,,,>2,True,-0.09782668085621193
TX,1.0161129549552403,1.0163670570356094,37.89016388628752,37.28,,,>2,True,-0.07148805925165269
UTZ,1.0139897588473041,1.0161116764721985,9.726405345027775,9.57218145430287,,,>2,False,-0.060621376531795224
FLOC,1.0133035940042139,1.0153198641305645,18.11330637608927,17.84,,,>2,True,-0.1241577432560731
QUAD,1.0132310467762071,1.015236156443632,6.172635831177283,6.08,,,>2,True,-0.1574416268069483
BIIB,1.0149240234457497,1.015159096300108,183.17530733639148,180.44,,,>2,False,-0.1350047011090919
PRCT,1.0130724102094815,1.0150531220082457,34.5422577419406,34.03,,,>2,True,-0.21739070907425628
CON,1.0126427955365647,1.014557477385757,19.5606681639974,19.28,,,>2,False,-0.033938099550201106
MD,1.0130917632329133,1.0132975974647493,21.856829177314644,21.57,,,>2,False,-0.00036714281018457307
MU,1.0111771418534994,1.012867038136318,249.9994630639836,246.823574715181,,,>2,True,-0.15643198880525078
IDYA,1.0108351932478152,1.0124727518675494,35.780787050999194,35.34,,,>2,False,-0.12761882779251055
CSTM,1.0105982220961816,1.0121995342477557,17.713491849335725,17.5,,,>2,True,-0.18983768902858877
AENT,1.0105511738985262,1.0121452919880722,7.489875160711735,7.4,,,>2,False,-0.15009068233982337
CVE,1.0114925780052568,1.0116729794696253,18.001155773553034,17.7934531601212,,,>2,False,-0.027584611250029534
WELL,1.0112719681479676,1.0114488674555375,203.17984849446836,200.88,,,>2,False,-0.058941551308342666
SPB,1.0097279803882038,1.0111963487858562,57.56740813637879,56.93,,,>2,False,-0.0924981686693982
IMXI,1.0105230006499855,1.0106880216305807,15.534274892462024,15.37,,,>2,False,-0.02743772143967882
ZTS,1.0091898500159013,1.0105761407288956,118.89834828648233,117.654022784196,,,>2,False,-0.03184530876181846
GDYN,1.0087904888382977,1.0101159319659567,9.495089760479994,9.4,,,>2,True,-0.18022850113967515
ATR,1.008673525897048,1.0099811586841905,121.26843772321074,120.07,,,>2,False,-0.03230092286298125
DAR,1.0084190084826017,1.0096879013297766,36.540605149124616,36.19,,,>2,False,-0.10929369602237704
AAPL,1.0086197459757158,1.0087546616690897,280.32283293122333,277.89,,,>2,False,-0.05035128223229879
MRVL,1.0072432351723948,1.0083334538348496,92.6998429705635,91.9337175792507,,,>2,False,-0.18766794371785855
UAL,1.0070902540427327,1.0081572602060163,105.3524336915287,104.5,,,>2,True,-0.1645903288546603
CIVI,1.0069536013983789,1.0079998794669058,29.213395452282995,28.981546572935,,,>2,True,-0.09188783333029593
BA,1.006692023836201,1.0076986425559502,207.85799900001587,206.27,,,>2,True,-0.1499529517029311
DDL,1.0064045919572189,1.0073676585523932,2.1053984063745017,2.09,,,>2,True,-0.26379954022589736
DIS,1.0063767226881632,1.0073355680002871,107.68854331666581,106.904339266451,,,>2,False,-0.08050257241446035
CWAN,1.0062986161046426,1.0072456322472005,21.917664957699085,21.76,,,>2,False,-0.17696937974182636
CG,1.0062844441052354,1.0072293141366284,56.62643204076125,56.22,,,>2,True,-0.10963633451581778
KRO,1.0059984000169533,1.006899968250937,4.520980857446707,4.49,,,>2,False,-0.05625864456804852
CCJ,1.0059522552873015,1.0068468406974662,91.5223778193997,90.9,,,>2,True,-0.1272338579059975
CHMI,1.0058530225880276,1.0067325941503409,2.373419578095944,2.35754716981132,,,>2,True,-0.11217237473976394
UPWK,1.0053927385035242,1.0062027136549876,20.00330994746115,19.88,,,>2,True,-0.2054304584295653
TBLA,1.0049389584099462,1.0056803919044202,4.073005587212902,4.05,,,>2,False,-0.055176077495533105
HLF,1.0049189164527474,1.0056573243230824,11.886869573498835,11.82,,,>2,True,-0.3473462244683627
SPNT,1.0041700380797254,1.0047954908898926,21.723678513039477,21.62,,,>2,True,-0.105547696499528
BILL,1.0036820646081075,1.004234018987788,54.71066935445469,54.48,,,>2,True,-0.15749849416001116
ALAB,1.0035534466306373,1.0040860422340125,176.45808106220537,175.74,,,>2,True,-0.26068827175152587
CLS,1.0028091252660918,1.0032298018906716,341.8605872922652,340.76,,,>2,False,-0.17784185851903567
ZM,1.0021742832170382,1.0024996529826118,89.3126940842209,89.09,,,>2,True,-0.12535646900825081
CVNA,1.0019827868945475,1.002279435088821,449.00114133108997,447.98,,,>2,True,-0.3837840160683903
MDB,1.0019143084029443,1.002200688909191,419.63145045316736,418.71,,,>2,True,-0.2956447785844327
NRDS,1.0018341080732838,1.0021084653625396,15.161901080935225,15.13,,,>2,False,-0.13374148148688347
DBRG,1.0017974133798575,1.0020662703276835,15.021201876377834,14.9902280130293,,,>2,True,-0.5265303266901765
TXG,1.0011609001060966,1.0013344206282622,17.49331232837574,17.47,,,>2,False,-0.14662408231892243
IBM,0.9995528051584432,0.9994860860264233,309.02110807764956,309.18,,,>2,False,-0.06539080672916353
TSLA,0.9833890418021702,0.9831356511565682,432.1667695354042,439.58,,,>2,False,-0.12442986322387983
ERIE,0.9842594054313242,0.9819521890562226,274.33672831569874,279.378905992735,,,>2,False,-0.009237476155552704
LW,0.9789011414778427,0.9785807816216634,58.25491392993762,59.53,,,>2,False,-0.07184089637870084
