symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b,ma20_T,f10_over_ma20_x,spy_trend_value,spy_trend_bin,rule_4a
BRZE,1.0107272735780644,1.0720362993233978,32.36477587657338,30.19,,,0.0059069144862582,0.0179599232573014,33.82800000000001,0.9567451778577916,0.002253037967323568,"[0,1)%",False
CHA,1.0272574254646607,1.0698636256207783,13.790542134251837,12.89,-0.28,False,,0.4436691626957114,12.7455,1.081993027676579,0.002253037967323568,"[0,1)%",False
DDL,0.99608199825659,1.0581536168312569,3.0263193441373946,2.86,,,0.3969437540274325,0.8630952380952381,2.608,1.1603985215250745,0.002253037967323568,"[0,1)%",False
SNDX,1.019498885451258,1.0568920375782451,22.60692068379867,21.39,0.22,True,0.4720613832545912,0.3910268532526469,20.950499999999998,1.0790635394763215,0.002253037967323568,"[0,1)%",False
BILL,1.0231105618096596,1.0564990238977627,57.63202175362296,54.55,0.14,False,0.1286318741027381,0.2948979167532953,54.68150000000001,1.0539583177788274,0.002253037967323568,"[0,1)%",False
UPWK,1.0177203621311823,1.0399356252930767,21.235485468484622,20.42,0.21,True,0.2779392602986867,0.3927424288773317,20.680500000000002,1.026836172649821,0.002253037967323568,"[0,1)%",False
RCKT,1.0283534513911636,1.035385974891251,4.017297582578054,3.88,0.18,False,-0.0847380062542902,0.6570680628272253,3.492,1.150428860990279,0.002253037967323568,"[0,1)%",False
MRVL,1.0164686127295943,1.03122699964942,86.05589312074412,83.45,0.39,True,0.1099877471493708,0.190403859899929,85.66198937319885,1.0045983492845254,0.002253037967323568,"[0,1)%",False
GE,1.001643190810224,1.031202566904775,324.25133513753747,314.44,0.21,True,0.2229237636888323,0.8143180845322072,310.54912608193894,1.044122516873492,0.002253037967323568,"[0,1)%",False
BMRN,1.012683210600328,1.0307436197899935,62.205377454326126,60.35,0.31,True,0.0088490624748704,0.5039228322849095,57.653999999999996,1.0789429606675363,0.002253037967323568,"[0,1)%",False
TWLO,0.9912661300466988,1.0305809251536373,141.63273654386438,137.43,0.03,False,0.1501393672665107,0.0074086436594786,138.7885,1.0204933156844003,0.002253037967323568,"[0,1)%",False
TXG,0.9951498231762114,1.0305159646391684,19.878652957889557,19.29,0.43,True,0.5768599780195276,0.9551404093288912,17.1225,1.1609667372106618,0.002253037967323568,"[0,1)%",False
UTZ,1.0155642789234942,1.0303682907952418,10.118216615609276,9.82,0.13,False,-0.18351286213172,0.2536744692433318,10.231483989326218,0.9889295263683053,0.002253037967323568,"[0,1)%",False
IMVT,1.0117019783481145,1.0296508599457477,27.09011412517262,26.31,0.42,True,0.4225166584912836,0.3704901168344474,26.1625,1.0354558671829,0.002253037967323568,"[0,1)%",False
ZM,1.0173346292109426,1.0292517188058237,88.1554097157188,85.65,,,0.0850843739094433,0.4157076940182348,87.3565,1.0091453951991987,0.002253037967323568,"[0,1)%",False
SNPS,1.018127378744956,1.0287268253423911,529.2696643704069,514.49,0.3,True,0.0852749137956991,1.1252177145408762,479.934,1.1027967686607052,0.002253037967323568,"[0,1)%",False
LNTH,1.0044447499054217,1.0276284861347311,69.72459278424152,67.85,0.29,True,-0.0338510086005586,0.6015067018882697,66.8575,1.0428836373517036,0.002253037967323568,"[0,1)%",False
AAPL,1.0204498694625093,1.0258571408329558,265.73803376136885,259.04,0.09,False,0.1141160309514379,0.0050043323725489,270.56699999999995,0.9821524197753936,0.002253037967323568,"[0,1)%",False
UAL,1.0145308589780364,1.0246901798206276,118.32097506388789,115.47,0.23,True,0.2686113058146611,0.6899164317358042,113.02649999999998,1.0468427763744599,0.002253037967323568,"[0,1)%",False
AHL,1.0235976064651382,1.023422299507012,38.09177798765099,37.22,0.26,True,,1.094353640416066,37.11,1.0264558875680678,0.002253037967323568,"[0,1)%",False
AXON,1.0087043912470957,1.023083108450059,627.1294838177172,612.98,0.1,False,-0.0729042459908351,0.9907780667307596,584.6634999999999,1.0726332049421887,0.002253037967323568,"[0,1)%",False
MDB,0.9580655344250352,1.0201421803481066,421.849194417549,413.52,,,0.5359701819260982,0.3717884188611038,423.79400000000004,0.9954109648025903,0.002253037967323568,"[0,1)%",False
AENT,1.0087946295971164,1.0178858849143675,7.944599331756638,7.805,0.45,True,0.4746227709190671,0.4918699186991871,7.750000000000002,1.0251095911944048,0.002253037967323568,"[0,1)%",False
GPCR,1.0286292139615192,1.0178705667954508,68.1769705639593,66.98,0.32,True,1.4234631484056717,0.7765828230173588,66.08099999999999,1.0317182028716168,0.002253037967323568,"[0,1)%",False
CRNX,1.0124810981053476,1.016276224003266,54.10654616593388,53.24,0.21,True,0.5271746028242383,1.2307991552739803,48.775,1.1093089936634317,0.002253037967323568,"[0,1)%",False
ZBH,1.0297169404792768,1.0147522135183418,95.4678882478056,94.08,0.28,True,-0.0527518090654163,0.5431276297335195,91.20441261122706,1.0467463745943113,0.002253037967323568,"[0,1)%",False
GDYN,1.0055916302686525,1.0125560001897005,9.983802161870448,9.86,0.13,False,-0.0585337948553864,0.7039784221173306,9.467999999999998,1.0544784708354933,0.002253037967323568,"[0,1)%",False
WELL,1.0153624118342657,1.0120067344258383,188.54697469087793,186.31,0.17,False,0.1220523436095968,0.4313373373977629,187.135,1.007545219712389,0.002253037967323568,"[0,1)%",False
CCJ,1.0276068497628923,1.0103557815498017,106.85522745670704,105.76,0.4,True,0.4835674278794168,1.109141738663073,94.578,1.1298106056028574,0.002253037967323568,"[0,1)%",False
IMXI,1.0084528979363503,1.0098891038626356,15.622984436754972,15.47,,,0.1899464485737521,1.1162268388545742,15.400250000000003,1.0144630403243433,0.002253037967323568,"[0,1)%",False
XPO,1.0084210895542534,1.008903426656082,145.1307579244774,143.85,0.14,False,0.1556633991942309,0.6718573645598196,143.1965,1.0135077178875,0.002253037967323568,"[0,1)%",False
HTO,1.0055320817431557,1.0063631183423385,50.84146473865494,50.52,,,0.0415012413183102,1.2313786075866162,49.584999999999994,1.0253396135656943,0.002253037967323568,"[0,1)%",False
BA,1.0024794831288102,1.0061143955722491,228.770291265218,227.38,0.15,False,0.1588622975603815,1.0948211947691389,217.1455,1.0535345713598394,0.002253037967323568,"[0,1)%",False
DBRG,1.0032761228385327,1.0050731346634036,15.447974079776513,15.37,-0.21,False,0.395944852907764,0.7460425265137661,14.418105211726385,1.071428863427389,0.002253037967323568,"[0,1)%",False
DHR,1.0021101118976796,1.0048572714313553,236.14145878636847,235.0,0.26,True,0.1670702273777278,1.0025144924650553,230.13674349635795,1.026091945157404,0.002253037967323568,"[0,1)%",False
TX,0.9969075934034188,1.0043500597844603,40.52552491230298,40.35,0.24,True,0.2613266918734591,1.0335546597106966,38.665,1.048119097693081,0.002253037967323568,"[0,1)%",False
SHOP,1.0128867274996958,1.003818096538905,168.92250928556692,168.28,,,0.2653001254525522,0.6544388334633444,165.673,1.0196139943477025,0.002253037967323568,"[0,1)%",False
TBLA,1.0176823736275336,1.0036577520590266,4.285618601292043,4.27,0.5,True,0.2172124121378364,0.5385050962627401,4.225999999999999,1.0141075724780038,0.002253037967323568,"[0,1)%",False
HBM,0.999508736016579,1.0032229793770389,21.17803709464929,21.11,0.18,False,0.8109363199588642,1.1888256595964823,19.877000000000002,1.065454399288086,0.002253037967323568,"[0,1)%",False
FI,1.0121943561940128,1.0025136828363694,69.67470095712767,69.5,0.05,False,-0.4837421267902729,0.9821198799056372,68.0515,1.0238525375212546,0.002253037967323568,"[0,1)%",False
ARDT,1.019421653500028,1.00240417223786,9.232142426310691,9.21,-0.82,False,-0.2857315510865099,0.3940871685461741,8.9345,1.0333138313627726,0.002253037967323568,"[0,1)%",False
ZTS,1.0095351062344875,1.0015696355390045,127.04910826812272,126.85,0.1,False,-0.1400005764899174,0.5693357927502105,123.9350110689182,1.025126856183301,0.002253037967323568,"[0,1)%",False
CVNA,0.9822744944474896,1.0001987196844562,442.6679493579466,442.58,,,0.383660353691474,0.8368598100454565,442.85,0.9995889112745774,0.002253037967323568,"[0,1)%",False
CBZ,1.0192630607681907,0.9997880882186516,54.25849954762622,54.27,0.22,True,-0.1390942948129756,0.8344814658606303,52.802499999999995,1.027574443399957,0.002253037967323568,"[0,1)%",False
WMT,1.002528417522048,0.9994643735322388,113.00943671529024,113.07,0.16,False,0.1733148207455028,1.1278122130394856,113.59439218369182,0.9948504899127796,0.002253037967323568,"[0,1)%",False
AHCO,1.0070844285095386,0.996759019249717,10.585580784431992,10.62,0.12,False,0.143103634206837,0.9128586609989364,10.211500000000001,1.0366332844765207,0.002253037967323568,"[0,1)%",False
MD,1.0086632039262304,0.9947373116094196,22.12295781019349,22.24,0.44,True,0.3677738114652604,0.9306220095693768,21.997,1.0057261358455012,0.002253037967323568,"[0,1)%",False
INSW,1.001755529253341,0.9946651963670992,54.21919985397057,54.51,0.01,False,0.3017284658968657,1.08623281064226,49.2235,1.1014901389371046,0.002253037967323568,"[0,1)%",False
TCOM,1.00275338224138,0.994546974147243,76.4010985539912,76.82,-0.15,False,0.1886034962645395,1.2563395388033398,73.0365,1.0460673574718284,0.002253037967323568,"[0,1)%",False
UTL,1.0056866317727495,0.9944756315697628,48.94809058586373,49.22,,,-0.0184495679984724,0.6546770946259872,48.9505,0.999950778559233,0.002253037967323568,"[0,1)%",False
DIS,1.0047809860673138,0.9944017177330778,113.5308441135855,114.17,0.15,False,0.0280625913519543,0.4933419379210469,112.86230447680691,1.0059234980171432,0.002253037967323568,"[0,1)%",False
CVS,1.0039080674395084,0.9943992607860848,80.14858041935842,80.6,0.23,True,0.139552037675362,0.7324717765894223,78.76250860879476,1.01759811660454,0.002253037967323568,"[0,1)%",False
ASIX,1.0153535901158126,0.9941750797990548,18.074102950746816,18.18,,,-0.088570929158239,0.9501851851851856,17.0345,1.0610292612490426,0.002253037967323568,"[0,1)%",False
LFST,1.004384534401255,0.9941475527832848,7.336808939540642,7.38,0.14,False,0.3072124483072824,1.0914302957151478,7.0680000000000005,1.0380318250623433,0.002253037967323568,"[0,1)%",False
PACS,0.9957780052267882,0.9908199106139268,40.980311502992016,41.36,0.74,True,1.6885411539159043,0.8809927240107642,37.68749999999999,1.0873714494989593,0.002253037967323568,"[0,1)%",False
DOX,1.0065571267324722,0.9907648957303562,83.29360478405104,84.07,0.24,True,-0.0050199221124191,1.0588959605974355,80.48498806717919,1.0348961562189405,0.002253037967323568,"[0,1)%",False
BIIB,0.9851462172103168,0.9897379110128478,184.0912514483897,186.0,0.18,False,0.3033160381663846,0.943973821829414,176.9195,1.040536805995889,0.002253037967323568,"[0,1)%",False
QCOM,0.9981617048424912,0.9889131115695232,179.8536276011492,181.87,0.25,True,0.0690003170308732,-0.0385113967808144,,,0.002253037967323568,"[0,1)%",False
CHMI,1.0037577991411797,0.988628637219052,2.5308893112807733,2.56,,,0.0391638635271505,0.6540577716643745,2.5502075471698116,0.9924248377703699,0.002253037967323568,"[0,1)%",False
CSTM,1.0002935777119717,0.987987570646047,20.00674830558245,20.25,0.27,True,0.5430227311185065,1.4700715228109171,19.090999999999998,1.0479675399707953,0.002253037967323568,"[0,1)%",False
CHE,1.0081905665755533,0.9871768232664716,443.42008547483374,449.18,0.12,False,-0.0805285600614793,1.015709918478261,434.01399999999995,1.0216723088997908,0.002253037967323568,"[0,1)%",False
EFX,1.0068436567970531,0.986932722892978,215.180941572356,218.03,-0.0,False,-0.0756580360005554,0.6995008627064323,219.10999999999999,0.9820681008276939,0.002253037967323568,"[0,1)%",False
CVE,1.0199198206645723,0.9866215479559052,16.170727170997285,16.39,0.31,True,0.0990970758997866,0.3962024027692934,16.843898412693243,0.9600347125586635,0.002253037967323568,"[0,1)%",False
GOOGL,0.997017320182679,0.9863716224100608,321.0047807971302,325.44,0.26,True,0.4818132086440081,1.0559033008692458,312.85049999999995,1.0260644646472683,0.002253037967323568,"[0,1)%",False
CG,1.0006702214995111,0.9857618829012704,63.75907858605419,64.68,0.4,True,0.2216469679728383,0.9948219273031216,60.955500000000015,1.04599385758552,0.002253037967323568,"[0,1)%",False
SBUX,1.0023021454287973,0.9857047220435852,86.91944238980334,88.18,0.11,False,0.043957382958057,1.047566371681415,86.099,1.0095290582910759,0.002253037967323568,"[0,1)%",False
