symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b,f10_over_ma20_x,f1_over_prev_a1_x,rule2_ok,spy_trend_value,spy_trend_bin,persist_2of3_ok,rule_4a,stop_loss_pct
CTRA,1.0283790217415227,1.067306890119111,29.681804614212474,27.81,0.13,False,0.1250091020153885,0.7868209047717413,1.1233958940337405,1.0661885152065844,True,,,True,True,-0.13696594309228816
FANG,1.0253302924547691,1.0600667955402225,168.1689964445009,158.64,0.09,False,0.1083723191978132,0.7598276678659562,1.103572483328527,1.0590723899931214,True,,,True,True,-0.11528566689767783
EQT,1.0028698116084245,1.0579084248789556,57.92048626212282,54.75,,,0.008261297130460754,0.6331628551009468,1.0814635907598904,1.0547690422251035,True,,,True,True,-0.10356308940692527
OXY,1.0198498388251773,1.057197393366011,46.30524582943128,43.8,,,0.025192106488904242,0.5912930070798657,1.0679500410394906,1.0564160701515286,True,,,False,False,-0.06521177063099803
EXE,1.0043944091464583,1.056462358645757,112.97808463357725,106.94,,,0.004142769683789904,0.5451639620053317,1.0634032174994563,1.0516690258763068,True,,,False,False,-0.07878615857502413
OKE,1.0027996167204454,1.0547650279649357,79.44490190631895,75.32,,,0.019890021949571457,0.6023032305295362,1.0702532925544785,1.0517113200826465,True,,,True,True,-0.08520095464604927
TEAD,1.0129373476408943,1.050480345399349,0.6831273686131967,0.6503,,,-0.6460952380952381,0.3419147224456959,1.019593087482383,1.036566795681914,True,,,False,False,-0.0652982719815356
TXO,1.016763613568917,1.0488596149835807,12.303123283757401,11.73,-0.19,False,-0.12186138435969984,0.8092063778038013,1.1140601515604112,1.0309266393733612,True,,,True,True,-0.15316317554794323
PEG,1.0202272045440273,1.0465980842504843,84.0522921461564,80.31,,,-0.006882940546529714,0.6669923783466881,1.0578536683572113,1.0458101811797438,True,,,True,True,-0.04249825104582872
DUK,1.0292502162619004,1.0457462969306033,124.95622502023778,119.49,,,0.0034312663438622604,0.661620643751919,1.0541004109921106,1.044617831287647,True,,,True,True,-0.03244363617038115
EXR,1.0241474407823272,1.0455220731679942,141.3545842923128,135.2,,,-0.028897482603474134,0.22894967657055026,1.0086345471446458,1.0445860303335093,True,,,False,False,-0.030891084865343754
EIX,1.017393639078451,1.0432984530979095,63.380381025698,60.75,,,0.1153358216490814,0.4645494332847044,1.0405937657627007,1.0426211798976603,True,,,False,False,-0.034071236045598474
