bin,count,mean_f10_vs_a1_pct,trend_7d
<0%,29,-4.318901597457126,
0-2%,13,1.2916739726520632,
2-5%,31,3.546903560764011,
5-10%,32,7.638088612378151,
10-20%,45,14.436817736989042,
>20%,33,35.343591511875665,
