symbol,forecast1_T,forecast10_T,consensus1_T,actual1_T
AAPL,274.32977801939654,274.49757285598645,270.0785657370518,276.49
ACCO,3.9840811256964175,4.114168346534182,3.9887250996015937,4.075
ADV,1.14457486785924,1.1868393755654671,1.1460836653386453,0.7711
AENT,8.367630355073729,8.393174949603976,7.720438247011952,7.12
AHCO,10.923292963603753,10.955272455992763,10.113067729083665,10.03
AHL,37.34982682814559,37.44061110141109,37.35306772908367,37.37
AII,20.506023713909304,20.564522785352615,19.02390438247012,18.39
ALAB,164.16439461278392,164.6198098839701,152.62609561752987,144.67
ALIT,2.4859636354978494,2.519600601577753,1.6337450199203187,1.595
ALK,52.69419735401026,53.19489476357518,52.71207171314741,56.16
AMTM,35.96279114617228,35.96561860129204,35.891155378486054,36.43
AMZN,256.17535808955415,256.6886874414692,243.1697609561753,232.99
ARCO,8.243834859764132,8.279262868843352,8.245099601593626,8.91
ARDT,9.754658338756528,9.799897620672688,8.608486055776892,8.56
ASIX,16.454693496928623,16.775206266567196,16.466135458167333,18.17
ASML,1441.0458213361692,1437.8661575213093,1440.9323107569721,1339.13
ATR,133.44194560403804,133.77646279424135,124.96669322709162,129.15
AVGO,362.3775623402803,363.59210056189585,331.60629482071715,308.05
AVNW,25.777549403977716,25.899422469484612,22.68980079681275,25.57
AXON,549.0989131124903,552.5602056713386,461.4043824701195,430.65
BA,239.30011888700182,239.54406001492043,233.11968127490042,235.85
BHVN,11.774507150680149,12.000914271202046,11.782589641434264,10.98
BIIB,179.1254724528182,179.453181536801,179.13717131474104,185.45
BILL,46.74295050872209,46.94155485627213,41.71115537848606,37.215
BMRN,66.18041959651434,66.50011702195204,58.080637450199205,57.62
BRZE,27.25606260218092,27.50916858462564,20.843426294820716,19.47
BTM,1.6839146680211425,1.7131915033094716,0.9421633466135458,0.8735
BWMX,18.75465036269265,18.889996428628116,18.759482071713144,18.0
CAL,12.702912691862034,12.822205441183472,12.707171314741036,13.42
CBZ,50.73306971317916,51.127060959349855,40.75099601593626,37.5
CCJ,120.18297622259963,119.9333194711195,120.17406374501991,114.82
CDE,20.326770924271045,20.389323502801542,20.329003984063746,20.77
CG,60.387293415977524,60.63944119934604,60.39629482071713,58.39
CHA,11.526737353375342,11.95851621402835,11.54215139442231,11.18
CHE,465.44820518721923,466.62042908049074,435.74900398406373,443.67
CHMI,2.670614176759099,2.6762881938381926,2.670816733067729,2.585
CIVI,29.67919620323487,29.768504785638324,27.41649402390438,27.38
CLDX,31.863813431532833,32.143633989936674,24.77434262948207,24.27
CLS,285.3842224329773,287.9176018634625,285.4746613545817,276.13
CMPS,9.172750353168999,9.272296273075032,6.650677290836653,6.37
CON,22.168814780717767,22.342633450262692,22.175019920318725,22.94
COP,101.82154771352836,102.11299844446914,101.83195219123506,107.67
COUR,7.562710512531547,7.613312209330011,6.280677290836653,6.065
CPRX,25.029540404120567,25.302446786558946,25.039282868525895,25.06
CRM,240.63930969349693,241.7979813018841,211.28346613545816,199.385
CRNT,2.3970705226901163,2.46239091442993,2.3994023904382473,2.33
CRNX,49.45530884430406,50.42819518737798,49.49003984063745,47.43
CRTO,23.211806161806958,23.375018571133793,19.076693227091635,18.52
CSTM,23.702276947984952,23.72331232837574,23.703027888446215,24.3
CTRA,28.871746718306056,28.91298856367359,27.826852589641433,30.52
CVE,19.45739349375407,19.433313518833035,19.456533864541832,20.275
CVNA,426.30867002111074,427.0241136648624,408.18235059760957,392.69
CVS,75.4785415310868,76.0193722321868,75.49784860557769,75.215
CWAN,24.088448675417848,24.16650100792051,24.091235059760955,23.465
CWT,44.53543590577927,44.770423247250044,44.54382470119522,44.93
DAR,47.3508089157315,47.358282011396646,47.35107569721116,47.965
DAVA,6.262553173759146,6.378524547229409,6.266693227091634,5.565
DBRG,15.441677751146806,15.457177505118965,15.44223107569721,15.46
DDI,8.83933068522722,9.110299598419074,8.849003984063746,8.73
DDL,3.05859787939874,3.0456445135791497,3.058135458167331,3.19
DDOG,129.2609172870272,131.20945778638435,129.33047808764942,115.71
DHR,223.5387308534785,224.6356152283297,223.57788844621513,219.49
DIS,111.48313074395645,111.7563214075967,104.56163346613546,107.04
DOX,86.40407493531849,86.61359910953796,81.09561752988049,73.06
DUOL,163.4234658973667,164.64677897969875,132.42988047808765,116.9
DVN,40.15249325407533,40.267911064903736,40.15661354581673,43.38
DXCM,75.66001928540817,75.78159985555784,72.5796812749004,70.82
EEFT,80.89947572260758,81.23428540816812,72.41681274900398,70.98
EFX,215.12883128839223,215.7487264487865,199.42330677290835,181.1
ENOV,28.013372009968098,28.240348407168142,22.262749003984066,22.83
ERIE,281.42988035904193,276.8095697687338,281.2649402390438,286.38
EVH,4.7459433977238445,4.803662481547911,3.2835856573705176,3.06
FANG,164.03407493531847,164.24359910953794,158.72561752988045,168.99
FINV,6.620883160584753,6.678017253694386,5.173346613545817,5.02
FLOC,21.176747551626164,21.331468310026825,21.182270916334662,22.12
FSLR,242.96465548165904,243.44688282725673,230.7470517928287,238.06
GDEV,15.045138648592882,16.57075728956683,15.099601593625499,15.1
GDYN,8.302613093442961,8.419138029555086,8.306772908366533,7.265
GE,308.8481448310344,310.12438350184914,308.89370517928285,308.34
GOOGL,343.10265075157537,343.0798361137125,343.6806772908366,333.04
GPCR,89.88580859827623,90.30900723798035,89.90091633466136,81.26
HAL,32.83224698814304,32.8530055872129,32.83298804780876,34.34
HBM,24.108388755734037,24.185887525594833,24.111155378486057,25.56
HLF,17.389813653751528,17.295708004634843,17.38645418326693,16.91
HQY,87.1660212933128,88.05310542689799,87.19768924302788,81.34
HRTG,28.80397533372486,28.891138950175396,26.595617529880478,26.55
HTO,52.53543590577927,52.770423247250044,52.54382470119522,52.91
IBM,314.6978530896335,314.40086673227415,314.68725099601596,289.04
IDYA,37.9882118537801,38.14079693179474,34.12235059760956,33.28
IMCR,41.40345169124299,41.72831653465818,33.172749003984066,31.5
IMVT,29.651786241488228,29.790526539261283,26.13669322709163,25.15
IMXI,15.511468032253456,15.525030316979096,15.511952191235059,15.51
INSW,60.37946072284567,60.374478659068906,60.3792828685259,58.97
ITGR,85.55502007904636,85.55521507595117,85.5500796812749,85.54
JANX,26.439796034983573,26.923388358914938,14.18760956175299,13.33
KELYA,11.209413977555911,11.388768273519467,11.21581673306773,10.79
KINS,17.028493595339757,17.08670017142585,15.553784860557768,16.59
KNF,69.24313856129268,70.01120672687736,69.2705577689243,76.76
KO,75.34168433834382,75.4496290535071,75.34553784860557,77.33
KOP,29.75833839939049,30.389676592435045,29.780876494023907,31.13
KRO,5.477530118569547,5.477822613926763,5.47011952191235,6.17
LFST,7.185123132966143,7.2324527388454145,7.186812749003984,6.93
LKQ,34.69620426659894,34.780735424834525,32.55454183266932,34.37
LNTH,66.55198032570911,67.03219591752512,66.5691235059761,65.93
LVO,4.598485222456786,4.769259297471469,4.604581673306773,4.43
LW,45.0488213679148,45.31508499865082,45.058326693227094,47.77
MA,555.6987193854065,558.735564038666,555.8071314741036,554.53
MANH,168.3154975317852,169.00013166457674,150.9697609561753,138.52
MATV,12.567077109887146,12.724842462818053,12.572709163346614,13.765
MAX,10.097526507515754,10.25944358026063,10.103306772908367,8.98
MD,21.443685060554596,21.47772916302916,21.444900398406375,20.86
MDB,372.90790451738866,375.0133800257139,372.9830677290837,337.6
MDLZ,58.71570554435644,58.953183917715585,58.72418326693227,59.4
MDXG,6.573433358200663,6.631054943572325,5.113545816733067,5.11
META,706.7927070205235,710.3283116141013,706.9189243027888,668.99
MNKD,6.8709435564514845,6.904385525626577,6.023665338645418,5.78
MPAA,13.110702250757925,13.301958143521531,13.117529880478088,13.14
MRVL,88.2609011761718,88.63383275662291,78.81239043824701,73.73
MSFT,472.8102484881193,474.73067550515077,424.1547410358566,414.19
MTDR,47.26688663672006,47.40660191901716,43.72709163346614,46.965
MU,437.53803114236285,435.1178552721385,437.4516334661355,379.4
NESR,20.564733655021346,20.60846510372851,20.56629482071713,20.45
NRDS,13.308835097855589,13.346079506674496,12.365219123505975,10.92
NVDA,202.57284709766512,203.2317416390216,185.87924302788846,174.19
NX,19.03693389787464,19.285760305391978,19.04581673306773,20.1
PACS,35.216767114807695,35.20964972778209,35.39709163346613,35.85
PAR,33.30708615736258,33.64296832589959,24.797250996015936,23.57
PEP,155.20620168727478,155.26349542070759,155.20824701195218,166.18
PFE,26.665991968381455,26.72134823256774,26.66796812749004,26.78
PFGC,94.82471984571674,95.51501246011969,94.8493625498008,89.86
PG,153.22634128823353,153.5620770305233,153.2383266932271,156.87
PMTS,17.11242877097189,17.257408969698893,13.439243027888446,13.13
PRCT,34.5591753305503,34.76967448929382,29.22601593625498,28.93
PRU,113.63767019571118,113.712159013349,111.75043824701196,102.17
QUAD,6.99532110601419,7.0227181711401405,6.301195219123506,6.15
RARE,24.877262821225063,25.960584911350615,24.915936254980082,24.69
RCI,36.88560907763369,37.02981214583895,36.890756972111554,37.24
RCKT,4.526686481166966,4.567343335820067,3.496613545816733,3.33
SBUX,92.60114434691512,92.63653628513832,91.70446215139442,96.97
SHOP,144.0699769051285,144.53104708655417,132.38840637450198,114.02
SLB,48.265863398993666,48.27424826590054,48.05342629482072,51.35
SLGN,43.207406668148124,43.36821661560927,43.213147410358566,47.97
SLP,16.789653656291172,16.971222202822176,16.79613545816733,14.82
SLVM,48.54942715194997,48.91367137029571,48.56243027888446,50.77
SMCI,29.760931731242362,30.231459976825768,29.77772908366534,33.76
SMP,42.31408112569642,42.44416834653418,42.31872509960159,43.59
SNDX,25.858030983635185,26.03313820415549,21.42155378486056,20.43
SNPS,458.18288741448544,460.888701607911,458.2794820717131,418.98
SPB,65.66619148902399,66.00054332470913,65.67812749003984,68.44
SPGI,527.9284102236472,530.4080940778717,528.0169322709163,465.51
SPNT,20.453661687909715,20.57987397025444,20.45816733067729,20.29
SPRY,10.355515587054175,10.868391374740085,10.37382470119522,10.14
SSTK,20.052589720798082,20.26128283678037,20.06003984063745,19.09
STZ,155.70514948175426,156.1222589323979,155.72003984063744,166.68
TBLA,4.072187068459231,4.0923921048872245,4.072908366533865,3.74
TCOM,68.28760884747861,68.5314524769448,62.10964143426295,57.39
TEAD,0.6513476956714973,0.6610267384644688,0.6516932270916335,0.5868
TNC,78.28530225710702,79.16574363898987,78.31673306772907,81.16
