bin,count,mean_delta_f10_act_pct
<0%,78,-0.4190009351277922
0-2%,13,1.1703445725459583
2-5%,31,3.3299989463593156
5-10%,26,7.5027416708468655
10-20%,25,14.408687221094308
>20%,21,33.66400007201967
