symbol,actual1_T
AAPL,258.28
ACCO,3.905
ADV,1.03
AENT,7.39
AHCO,9.79
AHL,37.325
AII,18.67
ALAB,160.46
ALIT,1.52
ALK,53.16
AMTM,37.11
AMZN,241.73
ARCO,8.145
ARDT,8.24
ASIX,16.07
ASML,1455.16
ATR,123.86
AVGO,330.73
AVNW,21.79
AXON,509.58
BA,234.02
BABA,174.3
BHVN,12.1
BIIB,176.18
BILL,43.36
BMRN,56.99
BRZE,21.81
BTM,1.08
BWMX,18.065
CAL,12.34
CBZ,38.55
CCJ,133.63
CDE,24.59
CG,59.5
CHA,12.06
CHE,427.77
CHMI,2.76
CIVI,27.4
CLDX,24.69
CLS,299.91
CMPS,6.79
CON,21.59
COP,102.8
COUR,6.13
CPRX,24.58
CRM,214.03
CRNT,2.33
CRNX,51.88
CRTO,19.76
CSTM,23.16
CTRA,28.07
CVE,20.39
CVNA,427.77
CVS,74.39
CVX,171.145
CWAN,24.08
CWT,44.5
DAR,45.9
DAVA,6.29
DBRG,15.425
DDI,8.8
DDL,2.885
DDOG,128.18
DHR,219.46
DIS,111.54
DOX,81.07
DUOL,139.47
DVN,39.93
DXCM,74.0
EEFT,72.9
EFX,204.0
ENOV,22.715
ERIE,282.1
EVH,3.23
FANG,163.07
FINV,5.16
FLOC,20.53
FSLR,224.01
GDEV,17.895
GDYN,8.17
GE,298.7
GOOGL,338.25
GPCR,87.15
HAL,33.375
HBM,26.905
HLF,16.98
HQY,83.57
HRTG,26.49
HTO,51.91
IBM,308.9
IDYA,32.99
IMCR,33.0
IMVT,26.45
IMXI,15.47
INSW,59.275
ITGR,86.455
JANX,13.83
KELYA,10.3
KINS,15.23
KNF,69.62
KO,73.44
KOP,29.63
KRO,5.375
LFST,7.07
LKQ,32.62
LNTH,66.68
LVO,4.65
LW,45.97
MA,543.84
MANH,155.77
MATV,12.28
MAX,10.26
MD,20.995
MDB,374.02
MDLZ,57.31
MDXG,5.14
META,738.31
MNKD,5.79
MPAA,13.02
MRVL,81.34
MSFT,433.5
MTDR,44.78
MU,435.79
NESR,19.67
NRDS,12.4
NVDA,192.51
NX,18.67
PACS,34.165
PAR,27.54
PEP,148.69
PFE,26.09
PFGC,97.96
PG,149.77
PMTS,12.84
PRCT,29.12
PRU,109.87
QCOM,152.22
QUAD,6.045
RARE,24.27
RCI,38.56
RCKT,3.55
SBUX,93.88
SHOP,143.64
SLB,48.44
SLGN,42.68
SLP,17.71
SLVM,49.605
SMCI,30.12
SMP,40.33
SNDX,20.59
SNPS,480.0
SPB,63.785
SPGI,528.5
SPNT,20.57
SPRY,10.22
SSTK,19.79
STZ,154.75
TBLA,4.12
TCOM,62.02
TEAD,0.6671
TNC,76.58
TRVG,2.85
TSLA,416.56
TWLO,123.69
TX,43.53
TXG,20.8
TXO,11.975
UAL,103.94
UBER,81.72
UHS,200.15
UIS,2.655
UPWK,21.02
UTL,50.63
UTZ,10.315
VCEL,36.5
VERA,45.0
W,107.52
WDAY,174.66
WELL,185.7
WMT,117.41
XOM,140.4
XPO,150.83
ZBH,86.01
ZM,92.58
ZTS,121.695
