symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
LVO,LiveOne Inc.,4.50,4.87,4.85,8.00,-0.5%,7.7%,64.3%,77.8%
JANX,Janux Therapeutics,23.70,23.45,23.36,37.13,-0.4%,-1.4%,58.3%,56.6%
SPRY,ARS Pharmaceuticals Inc.,9.72,9.89,9.86,15.20,-0.3%,1.4%,53.8%,56.4%
GPCR,Structure Therapeutics Inc.,,25.19,25.03,37.10,-0.7%,,47.3%,
GDEV,GDEV Inc.,28.24,26.18,26.08,37.04,-0.4%,-7.7%,41.5%,31.2%
CMPS,COMPASS Pathways plc,5.87,5.84,5.81,8.08,-0.5%,-1.1%,38.5%,37.7%
ALIT,Alight Inc.,3.32,3.27,3.27,4.44,0.0%,-1.5%,35.9%,33.8%
RCKT,Rocket Pharmaceuticals Inc.,3.28,3.28,3.28,4.41,0.0%,-0.0%,34.6%,34.5%
VERA,Vera Therapeutics Inc.,28.20,28.34,28.23,36.87,-0.4%,0.1%,30.1%,30.7%
PMTS,CPI Card Group Inc.,14.90,15.51,15.49,20.10,-0.1%,3.9%,29.6%,34.8%
CLDX,Celldex Therapeutics Inc.,26.19,26.26,26.17,33.70,-0.3%,-0.1%,28.3%,28.7%
ACCO,ACCO Brands Corporation,4.00,4.08,4.06,5.22,-0.3%,1.7%,27.9%,30.6%
FLOC,Flowco,15.29,16.08,16.03,20.48,-0.3%,4.8%,27.3%,33.9%
BTM,Bitcoin Depot Inc.,3.53,3.56,3.54,4.50,-0.3%,0.4%,26.7%,27.6%
DDI,DoubleDown Interactive Co. Ltd.,9.31,9.36,9.33,11.81,-0.3%,0.2%,26.2%,26.9%
CRNT,Ceragon Networks Ltd.,2.34,2.38,2.37,2.97,-0.3%,1.4%,24.7%,26.8%
KELYA,Kelly Services Inc.,13.14,13.19,13.22,16.37,0.2%,0.6%,24.1%,24.6%
PAR,PAR Technology Corporation,40.14,40.02,40.12,48.95,0.2%,-0.1%,22.3%,21.9%
KOP,Koppers Holdings Inc.,27.75,28.51,28.58,34.46,0.3%,3.0%,20.9%,24.2%
IMCR,Immunocore Holdings plc,34.34,34.13,34.12,41.09,-0.0%,-0.6%,20.4%,19.7%
VCEL,Vericel Corporation,30.23,30.33,30.41,36.48,0.3%,0.6%,20.3%,20.7%
PRCT,PROCEPT BioRobotics Corporation,36.49,36.78,36.88,43.92,0.3%,1.1%,19.4%,20.4%
TEAD,Teads Holding Co.,1.68,1.70,1.70,2.02,0.3%,1.2%,19.4%,20.5%
MDXG,MiMedx Group Inc.,6.93,6.96,6.98,8.26,0.3%,0.7%,18.7%,19.2%
IDYA,IDEAYA Biosciences Inc.,27.19,26.91,26.96,31.91,0.2%,-0.9%,18.6%,17.4%
EVH,Evolent Health Inc.,8.95,8.98,9.00,10.58,0.3%,0.6%,17.9%,18.3%
CRNX,CRINETICS PHARMACEUTICALS INC.,43.51,46.04,45.96,53.88,-0.2%,5.6%,17.0%,23.8%
CWAN,CLEARWATER ANALYTICS INC.,18.20,18.14,18.20,21.22,0.3%,-0.0%,17.0%,16.5%
CRTO,Criteo S.A.,22.40,22.31,22.38,25.95,0.3%,-0.1%,16.3%,15.9%
GDYN,Grid Dynamics Holdings Inc.,7.74,8.01,8.04,9.30,0.3%,3.8%,16.1%,20.1%
CHMI,Cherry Hill Mortgage Investment Corporation,2.53,2.53,2.53,2.89,0.4%,0.2%,14.5%,14.3%
LFST,LIFESTANCE HEALTH GROUP,5.42,5.43,5.43,6.18,0.0%,0.2%,13.7%,13.9%
TXO,TXO Partners L.P.,14.32,14.35,14.34,16.16,-0.1%,0.1%,12.7%,12.9%
FINV,FinVolution Group,7.55,7.57,7.59,8.51,0.4%,0.6%,12.5%,12.7%
KNF,Knife River Corporation,73.98,73.73,74.01,82.92,0.4%,0.0%,12.5%,12.1%
ARCO,Arcos Dorados Holdings Inc.,6.83,6.93,6.96,7.77,0.4%,2.0%,12.0%,13.8%
AENT,Alliance Entertainment Holding Corporation,7.14,6.74,6.77,7.55,0.4%,-5.2%,12.0%,5.8%
AHCO,AdaptHealth Corp,8.68,8.91,8.94,9.95,0.4%,3.0%,11.7%,14.7%
