symbol,actual1_T
AAPL,249.34
ACCO,3.81
ADBE,330.63
ADV,1.49
AENT,5.97
AHCO,9.2
AHL,36.67
ALAB,161.465
ALIT,3.01
ALK,48.84
AMRK,27.95
AMTM,23.05
AMZN,215.57
ARCO,6.93
ARDT,14.5
ASIX,19.72
ASML,1009.81
ATR,128.1
AVGO,351.33
AVNW,23.16
AXON,644.99
BA,214.0
BABA,165.91
BHVN,17.36
BIIB,143.66
BILL,49.26
BMRN,53.09
BRZE,26.22
BTM,2.93
BWMX,13.0
CAL,13.02
CBZ,54.18
CCJ,93.46
CDE,22.28
CG,59.4
CHE,436.29
CHMI,2.43
CIVI,28.52
CLDX,27.34
CLS,269.96
CMPS,6.83
CON,20.3
COP,87.74
COUR,10.25
CPRX,21.26
CRM,236.58
CRNT,2.5
CRNX,44.15
CRTO,20.24
CSTM,15.91
CTRA,23.2
CVE,17.29
CVNA,355.42
CVS,80.67
CVX,152.11
CWAN,18.06
CWT,48.04
DAR,31.64
DAVA,8.66
DBRG,13.83
DDI,8.96
DDL,1.86
DDOG,160.02
DHR,206.1
DIS,111.71
DOX,82.43
DUOL,341.08
DVN,32.61
DXCM,65.41
EEFT,85.58
EFX,229.64
ENOV,31.19
ERIE,318.4
EVH,7.84
FANG,141.94
FI,121.11
FINV,6.58
FLOC,15.14
FSLR,244.4
GDEV,23.63
GDYN,7.74
GE,300.12
GOOGL,251.03
GPCR,29.23
HAL,22.39
HBM,17.31
HLF,8.73
HQY,92.55
HRTG,26.96
HTO,48.84
IBM,280.75
IDYA,28.38
IMCR,34.39
IMVT,17.93
IMXI,14.8
INSW,43.98
INTC,37.15
ITGR,103.8
JANX,28.28
KELYA,12.4
KINS,14.77
KNF,67.59
KO,67.08
KOP,26.43
KRO,5.21
LFST,5.19
LKQ,29.745
LNTH,56.52
LVO,4.84
LW,63.98
MA,562.81
MANH,199.81
MATV,11.12
MAX,11.02
MCD,305.25
MD,16.45
MDB,317.83
MDLZ,61.66
MDXG,6.71
META,717.55
MNKD,5.23
MNMD,12.66
MPAA,16.27
MRVL,88.89
MSFT,513.43
MTDR,43.14
MU,191.94
NESR,10.41
NFLX,1203.29
NKE,68.46
NRDS,10.89
NVDA,179.83
NX,14.26
PACS,12.69
PAR,35.75
PEP,151.16
PFE,24.39
PFGC,103.54
PG,147.42
PMTS,15.4
PRCT,33.76
PRU,103.13
QCOM,162.97
QUAD,5.78
RARE,33.43
RCI,36.86
RCKT,4.24
SBUX,82.86
SHOP,156.21
SLB,32.57
SLGN,42.93
SLP,15.6
SLVM,43.07
SMCI,53.94
SMP,39.27
SNDX,15.04
SNPS,435.9
SPB,51.52
SPGI,482.88
SPNT,18.61
SPRY,10.97
SSTK,26.41
STZ,138.89
TBLA,3.11
TCOM,69.81
TEAD,1.51
TMUS,226.65
TNC,79.96
TRVG,3.1204
TSLA,435.15
TWLO,107.86
TX,36.35
TXG,11.89
TXN,175.27
TXO,13.08
UAL,104.05
UBER,94.52
UHS,205.0
UPWK,16.81
W,81.31
WDAY,234.76
WELL,172.34
WMT,109.03
WSR,11.98
XOM,111.61
XPO,129.16
ZBH,99.38
ZM,79.51
ZTS,142.12
