symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,sentiment_7d,sentiment7d_gt_0_2,spy_trend_bin,rule_4a,stop_loss_pct
ZM,1.0298880545989002,1.0303658825662299,88.92057566546563,86.3,,,1-2,False,-0.0172216396306204
WELL,1.0296241600595502,1.0300976457820494,193.65835740702528,188.0,,,1-2,False,-0.04819460230560968
UHS,1.0288403123860257,1.029300913268734,231.65446354026128,225.06,,,1-2,False,-0.024711951751322125
RCI,1.0287584004253745,1.0292176559632447,38.94559610164918,37.84,,,1-2,True,-0.05359476104362171
PMTS,1.0245466987013778,1.0283145688774171,15.105941016809258,14.69,,,1-2,False,-0.09130038702454213
WMT,1.0273126477764831,1.0277481927173422,115.02557772892494,111.92,,,1-2,False,-0.012926891538195706
AHL,1.0248078243612102,1.0252024458763604,37.97349859526039,37.04,,,1-2,False,-0.001972666882778862
SHOP,1.024688983134637,1.0250816679586576,167.8468723115506,163.74,,,1-2,False,-0.0477690499592236
ITGR,1.0236885732870895,1.0240649726365827,80.2252499563499,78.34,,,1-2,True,-0.14356453169154004
CVE,1.0233479405458898,1.0237188020079866,17.44416838621609,17.04,,,1-2,False,-0.05020327255520918
PEP,1.0233423419441536,1.0237131124167276,147.57848228599545,144.16,,,1-2,False,-0.01600069956687067
GOOGL,1.0224906916051615,1.0228476324131468,321.0207294328662,313.85,,,1-2,False,-0.04243939086042137
CRTO,1.019593868773207,1.0225847305907454,21.055019602863446,20.59,,,1-2,False,-0.06283573982898005
BIIB,1.0211430855552313,1.0214781897875789,180.1887526785289,176.4,,,1-2,False,-0.03849402021707349
PAR,1.0164807248845735,1.0189875384282505,37.20323502801543,36.51,,,1-2,False,-0.08193953314200264
PRCT,1.0162134088127055,1.0186788148636308,32.11894303265028,31.53,,,1-2,False,-0.04099715290391226
ASIX,1.0158306204787007,1.0182367752849424,17.880237774003586,17.56,,,1-2,True,-0.1359843384142867
IMVT,1.0157138703851751,1.0181019636925708,25.80888477960667,25.35,,,1-2,False,-0.14899550846914045
GPCR,1.0146752686955365,1.0169028952965844,68.9256782432025,67.78,,,1-2,True,-0.5249999997312639
BMRN,1.0143345640180519,1.0165096320056421,59.96390319201283,58.99,,,1-2,True,-0.17529544577492295
FSLR,1.0152587872727576,1.0154992136195544,268.39644215964825,264.3,,,1-2,False,-0.06509227900697512
VERA,1.012484555643826,1.0143749327435445,51.90556530848717,51.17,,,1-2,True,-0.24387975920765015
QUAD,1.0118412782806028,1.0136329405706084,6.385887525594832,6.3,,,1-2,False,-0.06769727107389845
AAPL,1.0132927171356676,1.0135017529569395,276.767058697481,273.08,,,1-2,False,-0.018264494666948017
STZ,1.0058232047891593,1.0133336919692637,141.06862795828636,139.212412531296,,,1-2,False,-0.04591163039416568
FLOC,1.0113078094779244,1.013017716016104,19.024472706782433,18.78,,,1-2,False,-0.07352713825596235
PRU,1.0128031943983928,1.013004433390432,115.16847403215822,113.69,,,1-2,False,-0.04493261504232193
NESR,1.011098169997507,1.0127759754963521,15.829688497007984,15.63,,,1-2,True,-0.09664596768118061
UTZ,1.01061826002399,1.0122226363736486,10.567604323740891,10.44,,,1-2,True,-0.11960331943083491
GDYN,1.0096387235456872,1.0110934712486321,9.281838066062443,9.18,,,1-2,False,-0.029500220633194463
