symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev,a1_T,f10_over_a1_T_x,sentiment_7d,sentiment7d_gt_0_2,pct_above_sma200,bb_percent_b
DDOG,1.008479495825673,1.3575139683989994,161.5713125188489,119.02,117.0,1.3809513890499907,0.15,False,-0.12230763331307859,0.08297833399599863
ENOV,1.0156932648678907,1.2856581658116069,30.817226234504215,23.97,23.07,1.3358138809928137,-0.02,False,-0.2170427931679879,0.11019216735587423
HQY,1.00384219800725,1.2374922438995033,105.64471286170061,85.37,84.0,1.2576751531154835,0.28,True,-0.0981540522324833,0.16615982429464463
UHS,1.0002015688504506,1.2191637000898654,243.6864403739623,199.88,199.795,1.219682376305525,0.26,True,0.02710935621188426,0.14014046360895216
IMCR,1.0158144434846696,1.2059854503154288,40.219614768019554,33.35,33.33,1.2067091139519819,0.26,True,-0.004204139644320204,0.3679448127575705
NRDS,1.002062020738672,1.1717742971097576,15.045581974889286,12.84,12.81,1.1745184992107172,0.04,False,0.12561474870913725,0.12522137722679416
AVGO,0.9994044944873282,1.144932585637622,402.684239694608,351.71,332.6,1.2107162949326757,0.18,False,0.18037076079562153,0.762760624833466
AII,1.0048698539176626,1.1283652913405378,21.258402088855732,18.84,18.785,1.131668995946539,0.23,True,,0.07248453500157265
HRTG,1.0059207811123279,1.1197491596489644,29.247848050030953,26.12,25.66,1.1398226052233418,,,0.08976819478980658,0.26432678334491705
FSLR,0.9996792189498487,1.1193508755532307,272.8193888985889,243.73,242.11,1.1268406463945682,0.15,False,0.20934589733882358,0.2784510149752613
ZBH,1.0016088988760152,1.119005426683646,97.70036380374914,87.31,86.81,1.125450567950111,0.12,False,-0.089501264436739,0.12617770691404578
RCI,1.0166673430047077,1.1121698251551373,39.78231464579927,35.77,36.54,1.088733296272558,0.02,False,0.09838819132896703,0.13615838832928215
MRVL,1.0002000201485761,1.111366538129632,89.4205516579102,80.46,79.8,1.1205582914525087,0.25,True,0.06971636429386208,0.13562283240762454
BIIB,0.9991218937321573,1.106351186251427,181.90626204345963,164.42,165.38,1.0999290243285744,0.14,False,0.14594049082662153,0.027247474164530446
CLS,1.0023077807426533,1.1011600188906137,345.32378192409647,313.6,310.665,1.1115632012749954,0.26,True,0.4824465283995345,0.7397635901892465
MD,0.9984263687330718,1.1000202541114779,24.046442754876907,21.86,21.73,1.1066011392028028,,,0.3025084907346718,0.4285714285714275
TWLO,1.0017179796960844,1.0913423101618402,129.9461288709703,119.07,119.7,1.0855984032662516,-0.41,False,0.03110013457038785,0.016412308026004085
DDI,1.026527256983744,1.0903366523042204,9.59496254027714,8.8,8.72,1.10033974085747,0.34,True,-0.06386962256925222,0.5374552772808598
VCEL,1.0093896766306791,1.0878331275108355,40.68495896890525,37.4,36.29,1.1211066125352782,0.58,True,-0.015276380851075189,0.46946292329086303
WELL,0.9985307122951285,1.086155683077578,207.86847462738686,191.38,187.99,1.105742191751619,0.28,True,0.1424273447130351,1.171889684674466
ZM,1.0227192528936218,1.0736273290222573,86.92086855764194,80.96,81.32,1.068874428893777,,,0.009865397017055022,0.0497966287301025
KO,1.0210979338974875,1.0602942976054544,74.6871303233282,70.44,71.77,1.0406455388508877,0.18,False,0.01997819297049097,0.618540406816932
KO,1.0210979338974875,1.0602942976054544,74.6871303233282,70.44,71.77,1.0406455388508877,0.18,False,0.01997819297049097,0.618540406816932
CTRA,1.0050875294897514,1.0500603452109452,26.997051475373404,25.71,26.215,1.0298322134416709,0.13,False,0.04564902633847967,0.5150355385456536
SPNT,1.0053850054328142,1.0464415644196126,20.92883128839225,20.0,19.82,1.055945070050063,0.27,True,0.0445064184919417,0.21508310592904994
SHOP,1.026646804200968,1.0457263015582627,162.93461504579292,155.81,144.5,1.1275751906283247,,,0.15853168878988044,0.17664813588555078
ARDT,1.0207283702313363,1.0453268552769373,8.98981095538166,8.6,8.295,1.0837626227102666,-0.64,False,-0.2995145472909133,0.18649517684887337
KOP,1.0204742715883455,1.0443703602049765,30.370290074760717,29.08,28.13,1.079640599884846,0.04,False,0.0031218199692992776,0.8848389722125334
BMRN,1.0164564381569863,1.0439715002735543,56.99040419993334,54.59,56.31,1.0120831859338189,0.11,False,-0.03831755779519452,0.004873059800264894
QCOM,1.027846182927888,1.0409973591472463,165.955798995254,159.42,154.07,1.0771454468439932,0.18,False,0.004905390634750706,0.07452514348182558
AAPL,1.0205350336744465,1.0397170354368315,265.67889406517355,255.53,246.7,1.0769310663363338,0.12,False,0.09260761349064461,0.184351760565679
ZTS,1.0088274286518315,1.0387654732150038,129.48211623625022,124.65,123.22,1.0508206154540678,0.22,True,-0.1379596511174367,0.3577622216460696
DVN,1.005929071486735,1.0307390806126817,37.31275471817908,36.2,36.285,1.0283245064952207,0.04,False,0.08498228661515506,0.46535026179802186
CVS,1.0036912624565804,1.0267315034742572,80.7010961730766,78.6,80.06,1.0080076963911642,0.25,True,0.10815977802967502,0.20102460109931147
CVS,1.0036912624565804,1.0267315034742572,80.7010961730766,78.6,80.06,1.0080076963911642,0.25,True,0.10815977802967502,0.20102460109931147
PEP,1.0089927635513474,1.0258237239289312,150.0985272852812,146.32,147.66,1.016514474368693,0.11,False,0.05006089233646427,0.7424915846923095
