bin,count,mean_delta_f10_act_pct
<0%,78,-0.24465960856193594
0-2%,13,1.2982667616776515
2-5%,31,3.2574706181056157
5-10%,26,8.141978331303058
10-20%,25,15.547404018472571
>20%,21,35.073038219034224
