symbol,actual1_T
AAPL,274.11
ACCO,3.79
ADV,0.84
AENT,7.32
AHCO,10.27
AHL,37.11
AII,20.38
ALAB,143.66
ALIT,2.06
ALK,51.89
AMRK,
AMTM,29.35
AMZN,222.54
ARCO,7.4
ARDT,8.9
ASIX,15.97
ASML,1087.82
ATR,122.33
AVGO,339.81
AVNW,21.02
AXON,551.79
BA,205.5
BABA,150.09
BHVN,11.28
BIIB,175.74
BILL,54.17
BMRN,52.12
BRZE,33.12
BTM,1.32
BWMX,14.41
CAL,13.64
CBZ,53.38
CCJ,89.78
CDE,16.91
CG,57.8
CHA,14.18
CHE,430.44
CHMI,2.5
CIVI,27.95
CLDX,27.09
CLS,302.98
CMPS,6.59
CON,19.88
COP,94.36
COUR,7.85
CPRX,24.18
CRM,254.58
CRNT,1.97
CRNX,49.32
CRTO,20.3
CSTM,18.38
CTRA,26.27
CVE,17.64
CVNA,447.92
CVS,79.69
CVX,149.8
CWAN,21.29
CWT,43.81
DAR,36.19
DAVA,6.96
DBRG,14.03
DDI,8.81
DDL,2.05
DDOG,142.05
DHR,228.53
DIS,110.49
DOX,78.77
DUOL,185.97
DVN,36.17
DXCM,65.73
EEFT,76.8
EFX,217.02
ENOV,26.54
ERIE,287.04
EVH,4.12
FANG,154.06
FI,68.97
FINV,5.17
FLOC,18.09
FSLR,255.89
GDEV,16.04
GDYN,9.64
GE,300.98
GOOGL,308.22
GPCR,64.8
HAL,28.41
HBM,18.85
HLF,14.9
HQY,95.75
HRTG,29.57
HTO,48.87
IBM,308.66
IDYA,33.37
IMCR,36.02
IMVT,26.0
IMXI,15.35
INSW,48.83
ITGR,73.09
JANX,15.12
KELYA,8.98
KINS,16.17
KNF,76.27
KO,70.97
KOP,28.49
KRO,4.87
LFST,6.92
LKQ,30.52
LNTH,66.57
LVO,4.89
LW,59.46
MA,569.13
MANH,169.96
MATV,12.73
MAX,12.77
MD,22.69
MDB,416.0
MDLZ,54.26
MDXG,7.12
META,647.51
MNKD,5.94
MNMD,12.08
MPAA,12.8
MRVL,84.26
MSFT,474.82
MTDR,43.21
MU,237.5
NESR,14.83
NRDS,13.65
NVDA,176.29
NX,16.07
PACS,34.75
PAR,35.73
PEP,151.22
PFE,26.43
PFGC,94.6
PG,145.13
PMTS,16.43
PRCT,36.1
PRU,117.6
QCOM,179.26
QUAD,6.55
RARE,36.23
RCI,36.67
RCKT,3.41
SBUX,85.4
SHOP,159.85
SLB,38.9
SLGN,40.4
SLP,19.43
SLVM,51.45
SMCI,31.37
SMP,38.27
SNDX,20.88
SNPS,454.67
SPB,61.58
SPGI,499.63
SPNT,22.32
SPRY,10.59
SSTK,18.82
STZ,143.47
TBLA,3.9
TCOM,71.39
TEAD,0.6741
TNC,76.38
TRVG,2.92
TSLA,475.31
TWLO,133.96
TX,38.22
TXG,15.76
TXO,11.3
UAL,107.7
UBER,81.86
UHS,223.87
UIS,2.88
UPWK,21.38
UTL,49.75
UTZ,10.43
VCEL,36.49
VERA,49.21
W,98.58
WDAY,214.9
WELL,190.47
WMT,116.79
XOM,117.76
XPO,146.68
ZBH,92.43
ZM,86.54
ZTS,120.98
