bin,count,mean_delta_f10_act_pct
<0%,74,-1.3173537393820454
0-2%,12,0.8618759818584995
2-5%,26,3.3607319095492607
5-10%,21,7.0257210638984455
10-20%,17,13.371115823101416
>20%,19,29.451562332141695
