symbol,name,actual1_T,consensus1_T,forecast1_T,forecast10_T,delta_f1_c1_pct,delta_f1_act_pct,delta_f10_c1_pct,delta_f10_act_pct
LVO,LiveOne Inc.,4.13,4.87,4.85,8.00,-0.5%,17.4%,64.3%,93.8%
JANX,Janux Therapeutics,24.44,23.45,23.36,37.13,-0.4%,-4.4%,58.3%,51.9%
SPRY,ARS Pharmaceuticals Inc.,10.05,9.89,9.86,15.20,-0.3%,-1.9%,53.8%,51.3%
GPCR,Structure Therapeutics Inc.,28.00,25.19,25.03,37.10,-0.7%,-10.6%,47.3%,32.5%
GDEV,GDEV Inc.,27.35,26.18,26.08,37.04,-0.4%,-4.7%,41.5%,35.4%
CMPS,COMPASS Pathways plc,5.87,5.84,5.81,8.08,-0.5%,-1.1%,38.5%,37.7%
ALIT,Alight Inc.,3.32,3.27,3.27,4.44,0.0%,-1.5%,35.9%,33.8%
RCKT,Rocket Pharmaceuticals Inc.,3.28,3.28,3.28,4.41,0.0%,-0.0%,34.6%,34.5%
VERA,Vera Therapeutics Inc.,29.06,28.34,28.23,36.87,-0.4%,-2.9%,30.1%,26.9%
PMTS,CPI Card Group Inc.,,15.51,15.49,20.10,-0.1%,,29.6%,
CLDX,Celldex Therapeutics Inc.,26.19,26.26,26.17,33.70,-0.3%,-0.1%,28.3%,28.7%
ACCO,ACCO Brands Corporation,4.00,4.08,4.06,5.22,-0.3%,1.7%,27.9%,30.6%
FLOC,Flowco,14.85,16.08,16.03,20.48,-0.3%,8.0%,27.3%,37.9%
BTM,Bitcoin Depot Inc.,3.36,3.56,3.54,4.50,-0.3%,5.5%,26.7%,34.0%
DDI,DoubleDown Interactive Co. Ltd.,9.34,9.36,9.33,11.81,-0.3%,-0.1%,26.2%,26.5%
CRNT,Ceragon Networks Ltd.,2.33,2.38,2.37,2.97,-0.3%,1.8%,24.7%,27.4%
KELYA,Kelly Services Inc.,13.12,13.19,13.22,16.37,0.2%,0.7%,24.1%,24.8%
PAR,PAR Technology Corporation,,40.02,40.12,48.95,0.2%,,22.3%,
KOP,Koppers Holdings Inc.,27.98,28.51,28.58,34.46,0.3%,2.2%,20.9%,23.2%
IMCR,Immunocore Holdings plc,34.34,34.13,34.12,41.09,-0.0%,-0.6%,20.4%,19.7%
VCEL,Vericel Corporation,31.47,30.33,30.41,36.48,0.3%,-3.4%,20.3%,15.9%
PRCT,PROCEPT BioRobotics Corporation,,36.78,36.88,43.92,0.3%,,19.4%,
TEAD,Teads Holding Co.,1.65,1.70,1.70,2.02,0.3%,3.0%,19.4%,22.7%
MDXG,MiMedx Group Inc.,6.93,6.96,6.98,8.26,0.3%,0.7%,18.7%,19.2%
IDYA,IDEAYA Biosciences Inc.,27.21,26.91,26.96,31.91,0.2%,-0.9%,18.6%,17.3%
EVH,Evolent Health Inc.,8.45,8.98,9.00,10.58,0.3%,6.6%,17.9%,25.3%
CRNX,CRINETICS PHARMACEUTICALS INC.,41.65,46.04,45.96,53.88,-0.2%,10.3%,17.0%,29.4%
CWAN,CLEARWATER ANALYTICS INC.,18.02,18.14,18.20,21.22,0.3%,1.0%,17.0%,17.7%
CRTO,Criteo S.A.,22.60,22.31,22.38,25.95,0.3%,-1.0%,16.3%,14.8%
GDYN,Grid Dynamics Holdings Inc.,7.71,8.01,8.04,9.30,0.3%,4.2%,16.1%,20.6%
CHMI,Cherry Hill Mortgage Investment Corporation,2.40,2.53,2.53,2.89,0.4%,5.4%,14.5%,20.2%
LFST,LIFESTANCE HEALTH GROUP,5.42,5.43,5.43,6.18,0.0%,0.2%,13.7%,13.9%
TXO,TXO Partners L.P.,14.30,14.35,14.34,16.16,-0.1%,0.3%,12.7%,13.0%
FINV,FinVolution Group,7.53,7.57,7.59,8.51,0.4%,0.9%,12.5%,13.0%
KNF,Knife River Corporation,76.81,73.73,74.01,82.92,0.4%,-3.6%,12.5%,8.0%
ARCO,Arcos Dorados Holdings Inc.,6.84,6.93,6.96,7.77,0.4%,1.7%,12.0%,13.6%
AENT,Alliance Entertainment Holding Corporation,7.14,6.74,6.77,7.55,0.4%,-5.2%,12.0%,5.8%
AHCO,AdaptHealth Corp,8.68,8.91,8.94,9.95,0.4%,3.0%,11.7%,14.7%
KINS,Kingstone Companies Inc.,14.53,14.94,14.97,16.69,0.2%,3.0%,11.7%,14.9%
AMRK,A-Mark Precious Metals Inc.,26.78,26.70,26.68,29.80,-0.1%,-0.4%,11.6%,11.3%
SPB,Superior Plus Corp.,52.49,53.70,53.92,59.72,0.4%,2.7%,11.2%,13.8%
ARDT,Ardent Health Inc.,13.26,13.28,13.27,14.72,-0.1%,0.1%,10.8%,11.1%
ASIX,AdvanSix Inc.,19.36,19.49,19.57,21.60,0.4%,1.1%,10.8%,11.6%
DAR,DARLING INGREDIENTS INC.,30.87,32.17,32.30,35.60,0.4%,4.6%,10.7%,15.3%
QUAD,Quad/Graphics Inc.,6.39,6.56,6.56,7.24,-0.1%,2.6%,10.4%,13.3%
UTZ,Utz Brands Inc.,11.85,12.14,12.19,13.37,0.4%,2.9%,10.1%,12.8%
SLGN,Silgan Holdings Inc.,42.75,42.57,42.75,46.75,0.4%,0.0%,9.8%,9.4%
LKQ,LKQ Corporation,30.54,30.35,30.48,33.26,0.4%,-0.2%,9.6%,8.9%
TNC,Tennant Company,80.89,80.69,81.05,88.21,0.4%,0.2%,9.3%,9.0%
CRM,Salesforce Inc.,236.91,243.79,244.87,266.38,0.4%,3.4%,9.3%,12.4%
MATV,Mativ Holdings Inc.,11.24,11.43,11.48,12.44,0.4%,2.1%,8.8%,10.6%
CON,CONCENTRA GROUP HOLDING,20.94,20.85,20.94,22.65,0.5%,0.0%,8.6%,8.2%
ATR,AptarGroup Inc.,133.61,132.47,133.07,143.48,0.5%,-0.4%,8.3%,7.4%
NRDS,NerdWallet Inc.,11.00,11.02,11.02,11.89,-0.0%,0.2%,7.8%,8.1%
DDL,Dingdong (Cayman) Limited,,2.03,2.03,2.19,-0.0%,,7.7%,
