symbol,f10_over_c1_x,f10_over_prev_a1_x,f10_T,a1_prev
SSTK,1.0053981086735366,1.0609961607660825,23.02361668862399,21.7
MRVL,0.9990655785889844,1.059632289655402,92.81319225091666,87.59
INSW,1.0244244135505447,1.0501629523108615,51.66801725369439,49.2
MPAA,0.9980758919261714,1.042788724390209,17.80040352534087,17.07
WMT,1.0293963269943391,1.0305795605873767,104.56775511499818,101.465
PRU,1.0279333563756488,1.0289656664456537,107.46517420358407,104.44
ZM,1.0275752473504018,1.0287056950764708,85.96893493754067,83.57
CRNT,1.0280767112759603,1.0280767112759603,2.5496302439643816,2.48
AHL,1.0261733007347096,1.0278612821932316,37.773902120601264,36.75
DAVA,1.0272582135705919,1.0272582135705919,9.132325518642563,8.89
TXG,1.0204541457344767,1.026481297454078,13.847232702655512,13.49
RCI,1.019187463766216,1.0256202463723727,38.178713671211575,37.225
HAL,1.0167027162913775,1.0228964370636169,27.715378962238695,27.095
DDOG,1.0215226562467268,1.0226464454454836,158.48974611514103,154.98
IDYA,1.0190911728455905,1.0190911728455905,30.226244186600212,29.66
AMZN,1.0124873580640341,1.0184674552068,254.82055729274137,250.2
IMXI,1.0164509253982545,1.0175691351257077,15.253361335534358,14.99
AENT,1.0172141309294547,1.0172141309294547,6.815334677227346,6.7
MATV,1.0144777168025476,1.0149596539601735,10.682450357930826,10.525
LW,1.0123477813106831,1.0139461550149915,63.60484230409041,62.73
KNF,1.012725274234987,1.012725274234987,73.08838304153902,72.17
DBRG,1.0126954568681306,1.0126954568681306,11.818155981651085,11.67
AVNW,1.0126104700278127,1.0126104700278127,24.60643442167585,24.3
DAR,1.0128998844086412,1.012585612027503,32.63563427564642,32.23
LKQ,1.0125123340742888,1.0125123340742888,31.225880382851066,30.84
GDYN,1.012413271138288,1.012413271138288,9.081347042110444,8.97
CHE,1.0097472419626417,1.0098047479277854,443.27903922159965,438.975
SLP,1.0098023423810183,1.0098023423810183,17.60085482770115,17.43
UHS,1.003987785423952,1.0097847856164337,230.21073542483452,227.98
CRM,1.0096059950195604,1.0096859131700409,255.10724282154254,252.66
ALAB,1.007891612370131,1.0090004058957298,183.57753384866908,181.94
AII,1.0036754459064183,1.0080645365305045,24.667339208901446,24.47
ITGR,1.00803991366055,1.0072269186425675,68.68783971682988,68.195
SPGI,1.007115333632454,1.0063865081588328,500.6370323486929,497.46
DHR,1.0060983976533453,1.005956186232644,213.5041409660164,212.24
HRTG,1.0083499007977896,1.0059123103849024,24.966743543753275,24.82
CWT,1.0057641749370245,1.0055479745554816,46.778091776321006,46.52
WELL,1.0005967342884412,1.005427526982837,187.56250515864826,186.55
SBUX,1.004726212173564,1.004726212173564,83.271708464945,82.88
CSTM,1.0039907651287687,1.0039907651287687,15.742575197219093,15.68
SHOP,1.0027380809081614,1.003841204972631,163.54580911414104,162.92
CVS,1.0029873582377034,1.0028596867307993,78.78465698957159,78.56
AVGO,1.0028539625714001,1.0028539625714001,360.0045154838812,358.98
MDB,1.0011988126351805,1.0023002433323531,351.0857292344566,350.28
PEP,1.0022995925059512,1.002019032787965,143.18851978540022,142.9
W,0.9953619971963392,1.000943223538787,100.98516182282822,100.89
TWLO,0.994029706237563,0.9992164434229814,131.39696231012206,131.5
TX,0.9968712937839124,0.9990802155665517,35.85698893668354,35.89
ASML,0.9988785396144744,0.9988785396144744,1042.5794757226076,1043.75
CCJ,0.999449257256978,0.9987152162538514,95.18754726115458,95.31
TSLA,0.9953670513656997,0.9953670513656997,459.92925342454885,462.07
AAPL,0.9852770417229411,0.9863609566909551,266.4555488404946,270.14
XPO,1.000740577912304,0.9842346903767107,138.44245154838814,140.66
IBM,0.9774986034896234,0.983528531298847,301.6383652640434,306.69
GOOGL,0.9748354770415047,0.9805931892780994,278.7924496436564,284.31
CVE,0.97783736011579,0.9789130906017652,16.22058991127125,16.57
CLS,0.9671628797166758,0.9730132479735204,343.0455507055444,352.56
FSLR,0.9626448158152022,0.9683305258309423,268.60520456024506,277.39
MU,0.9601728873371754,0.9658439972966176,229.3879493579467,237.5
MD,0.9350891336487235,0.9410459520322731,20.401876240059682,21.68
ZBH,1.008114363599479,0.8554023311992089,88.26041253313439,103.18
ERIE,0.8423821153044457,0.8433088298678635,243.00787241472358,288.16
